time,side,ticker_id,mv_dn_composite_labels,accel_eps_qoq_df017,dist_upper_bb_20_2.0_df055,joint_fall_flag_1_20_df042
2005-01-14 00:00:00+00,SHORT,2504,1.0,0.16,0.004065362,1.0
2005-01-19 00:00:00+00,SHORT,1848,0.0,0.06,-0.0040687467,1.0
2005-02-01 00:00:00+00,SHORT,135,1.0,0.01,-0.0040712715,1.0
2005-02-01 00:00:00+00,SHORT,2508,0.0,-0.214,0.005332488,1.0
2005-02-04 00:00:00+00,SHORT,694,0.40485165892327396,0.04,0.0050175115,1.0
2005-02-15 00:00:00+00,SHORT,1306,0.5272578017908387,0.32,-0.0024617198,1.0
2005-03-07 00:00:00+00,SHORT,516,0.5816076007064094,-0.01,-0.0035091823,1.0
2005-03-07 00:00:00+00,SHORT,2986,1.0,-0.17,-0.0029171072,1.0
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,-0.32,-0.003362898,1.0
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,0.05,-0.0022559701,1.0
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,0.1,0.004351845,1.0
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,0.0138,-0.0016665481,1.0
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,0.03,-0.0045424863,1.0
2005-04-04 00:00:00+00,SHORT,1280,0.6986940717307935,0.11,0.0038237611,1.0
2005-04-07 00:00:00+00,SHORT,2261,0.0,0.0,0.0012920075,1.0
2005-04-08 00:00:00+00,SHORT,1064,0.34950530185589707,-0.04,0.0031739385,1.0
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,0.53,-0.0013873163,1.0
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,-0.02,-0.004762747,1.0
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,0.01,-0.004371628,1.0
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,0.51,-0.0047648503,1.0
2005-06-02 00:00:00+00,SHORT,1139,0.16522914517889173,-0.14,-0.0010066835,1.0
2005-06-03 00:00:00+00,SHORT,2041,0.146530409091677,0.0115,0.0067031872,1.0
2005-06-17 00:00:00+00,SHORT,2055,0.0,0.01,-0.0042584306,1.0
2005-06-17 00:00:00+00,SHORT,1330,0.0,0.03,-0.0030104315,1.0
2005-06-17 00:00:00+00,SHORT,3595,0.05601310025179433,-0.22,-0.0032775493,1.0
2005-06-20 00:00:00+00,SHORT,2106,0.0,-0.15,-0.0031829402,1.0
2005-06-20 00:00:00+00,SHORT,1297,0.22841790891231653,0.09,0.0064721443,1.0
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,0.19,-0.0014852362,1.0
2005-06-22 00:00:00+00,SHORT,730,0.0,-0.04,-0.002655073,1.0
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,0.06,0.0036205256,1.0
2005-07-07 00:00:00+00,SHORT,3903,0.5406124493558289,0.01,-0.0032465425,1.0
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,-0.06,-0.0020386868,1.0
2005-07-13 00:00:00+00,SHORT,3352,1.0,-0.22,0.0035486612,1.0
2005-07-14 00:00:00+00,SHORT,3352,0.8888888888888888,-0.22,-0.0043109967,1.0
2005-07-18 00:00:00+00,SHORT,1939,0.9444444444444444,0.01,-0.0026073933,1.0
2005-08-01 00:00:00+00,SHORT,3343,1.0,0.04,-0.0045662983,1.0
2005-08-12 00:00:00+00,SHORT,3283,0.0,0.09,0.010442326,1.0
2005-09-07 00:00:00+00,SHORT,2613,0.0,-0.07,0.006954184,1.0
2005-09-08 00:00:00+00,SHORT,2248,0.6753857445877683,0.02,0.0032419194,1.0
2005-09-09 00:00:00+00,SHORT,2095,0.438970012886374,0.01,0.001193443,1.0
2005-09-12 00:00:00+00,SHORT,988,1.0,-0.01,0.0055098226,1.0
2005-09-13 00:00:00+00,SHORT,3973,0.9089600274601755,-0.01,-0.0043062717,1.0
2005-09-19 00:00:00+00,SHORT,64,0.0,-0.03,-0.0023126113,1.0
2005-09-20 00:00:00+00,SHORT,2716,0.0,0.0,-0.0035136212,1.0
2005-09-29 00:00:00+00,SHORT,2690,1.0,-0.05,-0.0026741186,1.0
2005-09-30 00:00:00+00,SHORT,3255,0.3114927048252305,0.02,-4.205762E-4,1.0
2005-10-03 00:00:00+00,SHORT,2437,0.431268646291442,-0.02,3.4389968E-4,1.0
2005-10-04 00:00:00+00,SHORT,3067,0.5065484310807038,-0.01,-0.004057986,1.0
2005-10-14 00:00:00+00,SHORT,183,0.0,-0.03,-0.0031377373,1.0
2005-10-20 00:00:00+00,SHORT,2247,0.0,0.08,0.0024006257,1.0
2005-10-24 00:00:00+00,SHORT,522,0.4900319489405863,0.25,-0.0013597133,1.0
2005-10-26 00:00:00+00,SHORT,2548,0.26832861514549694,-0.31,-0.003281642,1.0
2005-11-04 00:00:00+00,SHORT,2196,0.13604803089797654,0.16,-9.929788E-4,1.0
2005-11-04 00:00:00+00,SHORT,3613,0.0,0.39,-0.0048606433,1.0
2005-11-07 00:00:00+00,SHORT,394,0.7192771624811931,-0.0122,0.015924023,1.0
2005-11-07 00:00:00+00,SHORT,424,1.0,-0.06,-0.0010616728,1.0
2005-11-22 00:00:00+00,SHORT,2142,0.16104121935960564,-0.09,-0.004446651,1.0
2005-11-22 00:00:00+00,SHORT,1700,0.0,0.14,-0.0018015768,1.0
2005-11-25 00:00:00+00,SHORT,2440,0.42940468966429285,-0.06,-0.0028378665,1.0
2005-12-02 00:00:00+00,SHORT,2936,0.422881709579737,0.05,-5.145149E-4,1.0
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,0.08,0.0105724735,1.0
2005-12-15 00:00:00+00,SHORT,2659,0.6558218543365969,0.07,-0.0038577158,1.0
2005-12-15 00:00:00+00,SHORT,3773,0.6436342042453055,0.3,6.6379516E-4,1.0
2006-01-06 00:00:00+00,SHORT,4218,0.0,0.19,-0.0037498064,1.0
2006-01-09 00:00:00+00,SHORT,1967,0.06500517645725648,-0.3574,-0.0041835154,1.0
2006-01-11 00:00:00+00,SHORT,2090,0.1520704171339358,-0.23,-7.3602033E-4,1.0
2006-01-13 00:00:00+00,SHORT,450,0.4012303173346503,0.03,-0.0039505605,1.0
2006-01-17 00:00:00+00,SHORT,995,0.3436219085493039,-0.13,6.556162E-4,1.0
2006-01-27 00:00:00+00,SHORT,131,0.16658603386740337,-0.11,-0.0016913968,1.0
2006-01-30 00:00:00+00,SHORT,664,0.11474163313189265,0.12,-0.0030258857,1.0
2006-02-01 00:00:00+00,SHORT,2125,0.6357181587399848,-0.0362,7.87144E-4,1.0
