time,side,ticker_id,mv_dn_composite_labels,earnings_price_gap_df010,dist_lower_bb_20_2.0_df055,dist_upper_bb_20_2.0_df055
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,0.0,-0.05609786,-0.0014050503
2005-01-19 00:00:00+00,SHORT,1848,0.0,0.0,-0.04028637,-0.0040687467
2005-01-20 00:00:00+00,SHORT,2979,1.0,0.0,-0.040060226,-0.0033910403
2005-01-21 00:00:00+00,SHORT,663,1.0,0.0,-0.05265657,-0.0011511474
2005-02-04 00:00:00+00,SHORT,3742,0.6762588627194943,0.0,-0.06362518,6.8419543E-4
2005-02-07 00:00:00+00,SHORT,3742,0.6850487371929544,0.0,-0.06420053,-0.0019997905
2005-02-16 00:00:00+00,SHORT,4153,1.0,0.0,-0.06404331,-0.0029469852
2005-02-16 00:00:00+00,SHORT,3469,0.4319206056117726,0.0,-0.0667854,-0.004127976
2005-03-02 00:00:00+00,SHORT,131,0.32896278869290235,0.0,-0.05803285,-0.00505437
2005-03-04 00:00:00+00,SHORT,194,0.3956311047117868,0.0,-0.0454634,-0.0038072607
2005-03-07 00:00:00+00,SHORT,516,0.5816076007064094,0.0,-0.057875253,-0.0035091823
2005-03-08 00:00:00+00,SHORT,440,0.6034642438997424,0.0,-0.038161602,-0.0025804276
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,0.0,-0.053277258,-0.003362898
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,0.0,-0.046795305,-0.0012670251
2005-03-10 00:00:00+00,SHORT,440,0.5025932986543172,0.0,-0.02714262,-0.0033349008
2005-03-10 00:00:00+00,SHORT,2665,0.26494977502041517,0.0,-0.04503754,-0.0040949667
2005-03-15 00:00:00+00,SHORT,3244,0.5301757312030042,0.0,-0.055126633,-0.0037526384
2005-03-16 00:00:00+00,SHORT,2747,1.0,0.0,-0.060228128,0.0018544566
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,0.0,-0.05753241,-0.0016665481
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,0.0,-0.05667929,-0.0022236304
2005-03-31 00:00:00+00,SHORT,443,0.5583644958462168,0.0,-0.064784765,-8.349577E-4
2005-04-01 00:00:00+00,SHORT,730,0.4511181226669267,0.0,-0.059713002,-0.004923913
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,0.0,-0.047635015,-0.0033822407
2005-04-06 00:00:00+00,SHORT,2269,0.0,0.0,-0.053985473,-0.0018128408
2005-04-06 00:00:00+00,SHORT,2818,0.33126203427535694,0.0,-0.051268842,-5.0202396E-4
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,0.0,-0.054404464,-0.0013873163
2005-04-11 00:00:00+00,SHORT,2253,1.0,0.0,-0.044069644,3.6429532E-4
2005-04-12 00:00:00+00,SHORT,4122,1.0,0.0,-0.0408163,6.9783867E-4
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,0.0,-0.057198573,-0.0030956252
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,0.0,-0.066124424,-0.0020292338
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,0.0,-0.040933162,-0.004762747
2005-04-12 00:00:00+00,SHORT,3818,0.4331873989822198,0.0,-0.06500876,0.0030592477
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,0.0,-0.04484358,6.3293945E-4
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,0.0,-0.061261807,-0.0022610065
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,0.0,-0.038347967,-0.0047648503
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.0,-0.05580985,0.0015989892
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,0.0,-0.05790504,-0.0048631523
2005-05-10 00:00:00+00,SHORT,835,0.0,0.0,-0.04791102,-5.310354E-4
2005-05-11 00:00:00+00,SHORT,610,0.0,0.022521008,-0.06105674,-0.0019510891
2005-06-01 00:00:00+00,SHORT,505,1.0,0.0,-0.047780707,-0.0045451126
2005-06-02 00:00:00+00,SHORT,1139,0.16522914517889173,0.0,-0.054735433,-0.0010066835
2005-06-02 00:00:00+00,SHORT,1817,0.0,0.0,-0.06508024,-0.0010244295
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,0.0,-0.028669696,-0.0039071934
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,0.0,-0.06477649,-0.0036992265
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,0.0,-0.06362191,0.0014091071
2005-06-17 00:00:00+00,SHORT,2055,0.0,0.0,-0.0629258,-0.0042584306
2005-06-17 00:00:00+00,SHORT,245,0.4036541124299408,0.0,-0.037205447,-0.0050830883
2005-06-17 00:00:00+00,SHORT,3013,0.0,0.0,-0.063257135,-0.0045962953
2005-06-17 00:00:00+00,SHORT,3049,1.0,0.0,-0.05189912,-0.001321915
2005-06-17 00:00:00+00,SHORT,1330,0.0,0.0,-0.039611988,-0.0030104315
2005-06-20 00:00:00+00,SHORT,907,0.5434883358259087,0.0,-0.029965581,-0.0041165
2005-06-21 00:00:00+00,SHORT,2936,0.29628963757019317,0.0,-0.02982394,-0.003977009
2005-06-21 00:00:00+00,SHORT,1330,0.0,0.0,-0.040571038,-0.0025966286
