time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055,dist_lower_bb_20_2.0_df055,price_vola_corr_50_df045
2005-01-04 00:00:00+00,SHORT,2175,0.19103622921090674,1.0,-0.033180803,-0.056175303,-0.42838356
2005-01-14 00:00:00+00,SHORT,1927,0.29495699556816035,1.0,-0.035966612,-0.022737704,-0.44992515
2005-01-19 00:00:00+00,SHORT,2440,0.23103259690555775,1.0,-0.017379949,-0.108085684,-0.45800653
2005-02-02 00:00:00+00,SHORT,135,0.9230769230769231,1.0,-0.017206468,-0.120931625,-0.49045208
2005-03-01 00:00:00+00,SHORT,3114,0.5914241687047843,1.0,-0.035644468,-0.038940515,-0.48018628
2005-03-07 00:00:00+00,SHORT,3114,0.6923076923076923,1.0,-0.042425893,-0.024288157,-0.43467858
2005-03-08 00:00:00+00,SHORT,220,0.6408572017519653,1.0,-0.023088183,-0.041351832,-0.39554226
2005-03-08 00:00:00+00,SHORT,3271,0.6225978410840511,1.0,-0.021585805,-0.049003586,-0.39443105
2005-03-09 00:00:00+00,SHORT,220,0.9411764705882353,1.0,-0.03215777,-0.028480897,-0.42154825
2005-03-09 00:00:00+00,SHORT,516,0.6356400946048764,1.0,-0.029439405,-0.031981606,-0.42259046
2005-03-09 00:00:00+00,SHORT,3271,0.41249327307283784,1.0,-0.03977543,-0.029616518,-0.4262243
2005-03-11 00:00:00+00,SHORT,516,0.49584332434403605,1.0,-0.03564936,-0.026038615,-0.47680148
2005-03-11 00:00:00+00,SHORT,2986,0.7777777777777778,1.0,-0.026000056,-0.06409377,-0.430271
2005-03-21 00:00:00+00,SHORT,516,0.25973264803663926,1.0,-0.042381085,-0.01759816,-0.45945308
2005-04-01 00:00:00+00,SHORT,3614,0.0,1.0,-0.029616062,-0.03324605,-0.4576636
2005-04-07 00:00:00+00,SHORT,4112,1.0,1.0,-0.039868787,-0.034873728,-0.46074373
2005-04-08 00:00:00+00,SHORT,2972,0.0,1.0,-0.029941954,-0.013109266,-0.40153334
2005-04-08 00:00:00+00,SHORT,3748,1.0,1.0,-0.015979694,-0.10347209,-0.3859546
2005-04-11 00:00:00+00,SHORT,3748,0.9444444444444444,1.0,-0.021507962,-0.09932846,-0.37990138
2005-04-13 00:00:00+00,SHORT,2196,0.1460024034334511,1.0,-0.037267078,-0.055481486,-0.47114444
2005-04-13 00:00:00+00,SHORT,759,0.25375036257773487,1.0,-0.02364464,-0.027075104,-0.49085018
2005-04-13 00:00:00+00,SHORT,2972,0.082235309829162,1.0,-0.019816007,-0.021637421,-0.42524177
2005-04-13 00:00:00+00,SHORT,1462,0.21014872751645144,1.0,-0.03380003,-0.0575045,-0.37816453
2005-04-20 00:00:00+00,SHORT,195,0.0,1.0,-0.040399782,-0.020259693,-0.3759519
2005-04-20 00:00:00+00,SHORT,345,0.0,1.0,-0.031260606,-0.0043359175,-0.48326963
2005-04-20 00:00:00+00,SHORT,3868,0.13286200161808223,1.0,-0.039169285,-0.0015003433,-0.44698983
2005-04-28 00:00:00+00,SHORT,1185,0.0,1.0,-0.022612335,-0.078795865,-0.48433354
2005-06-14 00:00:00+00,SHORT,4197,0.3860106158818413,1.0,-0.015678987,-0.011861343,-0.40655714
2005-06-15 00:00:00+00,SHORT,4197,0.2792687241468264,1.0,-0.026294032,-0.0027616834,-0.39607823
2005-06-15 00:00:00+00,SHORT,4223,0.0,1.0,-0.023095,-0.038393274,-0.41369668
2005-06-16 00:00:00+00,SHORT,4197,0.23143534016671075,1.0,-0.02615908,-0.0041606543,-0.38109767
2005-06-21 00:00:00+00,SHORT,3641,0.0,1.0,-0.01761288,-0.008399771,-0.45435807
2005-06-21 00:00:00+00,SHORT,2004,0.3236725301899496,1.0,-0.01625333,-0.059217036,-0.40923506
2005-06-22 00:00:00+00,SHORT,2004,0.272727418857281,1.0,-0.02048245,-0.056292668,-0.41158143
2005-06-23 00:00:00+00,SHORT,309,0.0,1.0,-0.017036026,-0.04045151,-0.4509043
2005-06-23 00:00:00+00,SHORT,2004,0.0,1.0,-0.036972802,-0.035296563,-0.43069816
2005-06-29 00:00:00+00,SHORT,2343,0.18042564693185237,1.0,-0.033231713,-0.03832543,-0.4802956
2005-06-30 00:00:00+00,SHORT,444,0.0,1.0,-0.03199137,-0.015153894,-0.41200504
2005-07-12 00:00:00+00,SHORT,629,0.0,1.0,-0.023483498,-0.036233757,-0.42983565
2005-07-29 00:00:00+00,SHORT,2527,0.47058823529411764,1.0,-0.03862921,-0.028137531,-0.43455434
2005-08-01 00:00:00+00,SHORT,64,0.6705441492257525,1.0,-0.041166022,-0.08324031,-0.46956608
2005-08-11 00:00:00+00,SHORT,2527,1.0,1.0,-0.031017419,-0.03241669,-0.4450697
2005-08-12 00:00:00+00,SHORT,4118,1.0,1.0,-0.031215778,-0.07030626,-0.39633718
2005-08-12 00:00:00+00,SHORT,1063,0.9473684210526316,1.0,-0.01563109,-0.032960173,-0.4876821
2005-08-16 00:00:00+00,SHORT,2004,0.3777217769386077,1.0,-0.027651452,-0.011243061,-0.47152603
2005-08-18 00:00:00+00,SHORT,2527,0.609048440937959,1.0,-0.031125626,-0.008186103,-0.38516843
2005-08-18 00:00:00+00,SHORT,2004,0.3150893874671947,1.0,-0.018744892,-0.007997979,-0.46939617
2005-08-19 00:00:00+00,SHORT,2004,0.2948944638196314,1.0,-0.024614802,-0.0034631307,-0.44032195
2005-08-23 00:00:00+00,SHORT,540,0.04735472126511753,1.0,-0.015965035,-0.027246024,-0.4557725
2005-08-24 00:00:00+00,SHORT,540,0.0,1.0,-0.021913467,-0.019933468,-0.44197416
2005-08-25 00:00:00+00,SHORT,540,0.0,1.0,-0.024066867,-0.017436264,-0.4331956
2005-08-26 00:00:00+00,SHORT,2381,0.297466268178743,1.0,-0.02042363,-0.041307647,-0.4823092
2005-08-29 00:00:00+00,SHORT,2381,0.27345190023621024,1.0,-0.019486617,-0.03838762,-0.40258047
2005-08-29 00:00:00+00,SHORT,3837,0.41601146636590164,1.0,-0.04057354,-0.0048124185,-0.4904121
2005-09-19 00:00:00+00,SHORT,2050,0.30254109945944296,1.0,-0.024976172,-0.042267505,-0.44552466
2005-09-23 00:00:00+00,SHORT,995,0.11890818626240257,1.0,-0.02891045,-0.017764034,-0.44692317
2005-09-27 00:00:00+00,SHORT,995,0.08634703169735305,1.0,-0.028125849,-0.019974587,-0.39634803
2005-10-05 00:00:00+00,SHORT,3182,0.1159800392246553,1.0,-0.026076825,-0.028373942,-0.4522709
2005-10-11 00:00:00+00,SHORT,3610,0.0,1.0,-0.03560009,-0.07841725,-0.3850444
2005-11-01 00:00:00+00,SHORT,304,0.0,1.0,-0.021166384,-0.04953867,-0.46095482
2005-11-01 00:00:00+00,SHORT,2979,0.0,1.0,-0.027693853,-0.011972714,-0.40454167
2005-11-03 00:00:00+00,SHORT,2106,0.0,1.0,-0.016092533,-0.09254628,-0.44793195
2005-11-04 00:00:00+00,SHORT,2106,0.0,1.0,-0.024735043,-0.08080062,-0.38902763
2005-11-04 00:00:00+00,SHORT,2896,0.0,1.0,-0.038939063,-0.13180551,-0.4922627
2005-11-04 00:00:00+00,SHORT,1869,0.44693624420185,1.0,-0.039716445,-0.06102251,-0.37607282
2005-11-07 00:00:00+00,SHORT,2175,0.24532176358369945,1.0,-0.020419048,-0.08905668,-0.45460135
2005-11-08 00:00:00+00,SHORT,2175,0.0,1.0,-0.031195471,-0.07815598,-0.42391118
2005-11-09 00:00:00+00,SHORT,4086,0.0,1.0,-0.031143973,-0.060554247,-0.43813857
2005-11-10 00:00:00+00,SHORT,787,0.0,1.0,-0.030231569,-0.03595935,-0.4702369
2005-11-14 00:00:00+00,SHORT,2508,0.0,1.0,-0.035102632,-0.02853783,-0.4179954
2005-11-23 00:00:00+00,SHORT,4136,0.0,1.0,-0.01808921,-0.026909454,-0.4279487
2005-11-23 00:00:00+00,SHORT,1298,0.0,1.0,-0.036913827,-0.08088935,-0.4407659
2005-11-23 00:00:00+00,SHORT,1770,0.0,1.0,-0.019260384,-0.09741416,-0.4350346
2005-11-25 00:00:00+00,SHORT,4136,0.0,1.0,-0.023514714,-0.021202687,-0.4223657
2005-11-25 00:00:00+00,SHORT,1298,0.0,1.0,-0.039954513,-0.0715235,-0.48584676
2005-11-25 00:00:00+00,SHORT,1770,0.0,1.0,-0.018802196,-0.0790914,-0.4338469
2005-11-28 00:00:00+00,SHORT,4136,0.0,1.0,-0.032222807,-0.013082812,-0.41801688
2005-11-30 00:00:00+00,SHORT,4136,0.0,1.0,-0.031704526,-0.01267666,-0.40208587
2005-12-01 00:00:00+00,SHORT,4136,0.0,1.0,-0.035790905,-0.010003445,-0.38856032
2005-12-13 00:00:00+00,SHORT,4016,0.4492051723295399,1.0,-0.024735363,-0.04037404,-0.46439698
2005-12-15 00:00:00+00,SHORT,3255,0.49854163986119293,1.0,-0.038373712,-0.030207997,-0.4875867
2005-12-15 00:00:00+00,SHORT,4016,0.4344669415254781,1.0,-0.028208066,-0.03775774,-0.47993073
2005-12-19 00:00:00+00,SHORT,2659,0.32618447356644303,1.0,-0.03261222,-0.03465461,-0.4582314
2006-01-04 00:00:00+00,SHORT,4070,0.0,1.0,-0.041986942,-0.0136922,-0.4874987
2006-01-10 00:00:00+00,SHORT,3203,0.42517797384007094,1.0,-0.030710224,-0.07562238,-0.48245475
2006-01-10 00:00:00+00,SHORT,4016,0.8,1.0,-0.015586002,-0.10482426,-0.4146108
2006-01-11 00:00:00+00,SHORT,4016,0.6261638388584279,1.0,-0.024463743,-0.09602042,-0.39642313
2006-01-12 00:00:00+00,SHORT,2084,0.9,1.0,-0.019483108,-0.049163233,-0.4582305
2006-01-13 00:00:00+00,SHORT,2084,0.85,1.0,-0.025725901,-0.039697006,-0.48995495
2006-01-20 00:00:00+00,SHORT,2761,0.02502891499139568,1.0,-0.015747113,-0.016647434,-0.40639403
2006-01-24 00:00:00+00,SHORT,2617,0.24455456095116967,1.0,-0.025583073,-0.023349097,-0.39964372
2006-01-25 00:00:00+00,SHORT,2617,0.4662551208651249,1.0,-0.03974523,-0.0069411765,-0.44472182
2006-01-30 00:00:00+00,SHORT,2617,0.10729076651094228,1.0,-0.03180631,-0.018589085,-0.46705237
2006-02-01 00:00:00+00,SHORT,897,0.6,1.0,-0.036961503,-0.09488023,-0.39113703
2006-02-02 00:00:00+00,SHORT,2665,0.18135307276559087,1.0,-0.03175233,-0.035199154,-0.44403395
2006-02-02 00:00:00+00,SHORT,897,0.2697140066734725,1.0,-0.03899243,-0.08555295,-0.3895056
2006-02-09 00:00:00+00,SHORT,3078,0.0,1.0,-0.041958842,-0.033943057,-0.3952654
2006-02-28 00:00:00+00,SHORT,631,0.0,1.0,-0.032394245,-0.043404263,-0.47420648
2006-02-28 00:00:00+00,SHORT,4070,0.364125747332511,1.0,-0.034908004,-0.07750501,-0.4099246
2006-03-02 00:00:00+00,SHORT,1012,0.0,1.0,-0.029684387,-0.02539805,-0.47069114
2006-03-03 00:00:00+00,SHORT,1012,0.0,1.0,-0.026952576,-0.023720045,-0.42322502
2006-03-03 00:00:00+00,SHORT,3773,0.21668359578513988,1.0,-0.040214814,-0.16503595,-0.4830217
2006-03-09 00:00:00+00,SHORT,4215,0.3644845948089917,1.0,-0.0153151695,-0.08882448,-0.45180497
2006-03-14 00:00:00+00,SHORT,1306,0.26136757161569435,1.0,-0.032430578,-0.060645662,-0.3836381
2006-03-16 00:00:00+00,SHORT,1306,0.2160446677579265,1.0,-0.025517726,-0.040550806,-0.42270362
2006-03-17 00:00:00+00,SHORT,1306,0.20468439350153084,1.0,-0.028729353,-0.028747233,-0.39253095
2006-03-27 00:00:00+00,SHORT,610,0.646883884870044,1.0,-0.03677386,-0.055096764,-0.44657552
2006-03-27 00:00:00+00,SHORT,914,0.16687764905126545,1.0,-0.019855505,-0.06319528,-0.4754638
2006-03-28 00:00:00+00,SHORT,914,0.15782685283073153,1.0,-0.02939889,-0.043331616,-0.47825354
2006-03-30 00:00:00+00,SHORT,914,0.2887576394749625,1.0,-0.031138277,-0.040842257,-0.48008826
2006-04-03 00:00:00+00,SHORT,914,0.2770284392044044,1.0,-0.022178376,-0.048941538,-0.46857166
2006-04-05 00:00:00+00,SHORT,914,0.24736820048432906,1.0,-0.026324203,-0.03341017,-0.45578447
2006-04-06 00:00:00+00,SHORT,914,0.1938313174382488,1.0,-0.039948475,-0.008752574,-0.44263333
2006-04-06 00:00:00+00,SHORT,1444,0.3113054976710516,1.0,-0.02245152,-0.0012878556,-0.41390473
2006-04-07 00:00:00+00,SHORT,2248,0.7246148396829393,1.0,-0.031259295,-0.06383007,-0.3930797
2006-04-07 00:00:00+00,SHORT,602,0.0,1.0,-0.021942772,-0.033402722,-0.4039467
2006-04-10 00:00:00+00,SHORT,602,0.0,1.0,-0.03632592,-0.018515008,-0.421786
2006-04-20 00:00:00+00,SHORT,1173,0.4661407471857192,1.0,-0.017569121,-0.073528096,-0.49175012
2006-04-26 00:00:00+00,SHORT,1677,0.7692307692307692,1.0,-0.028938698,-0.11785773,-0.42057955
2006-04-26 00:00:00+00,SHORT,1678,0.7692307692307692,1.0,-0.028937068,-0.11785616,-0.4206142
2006-05-03 00:00:00+00,SHORT,2690,0.6513702664284905,1.0,-0.03417171,-0.12428813,-0.48570204
2006-05-23 00:00:00+00,SHORT,857,0.09241315022539372,1.0,-0.028637918,-0.029261487,-0.39216423
2006-05-25 00:00:00+00,SHORT,857,0.049539936448514475,1.0,-0.034850612,-0.012809625,-0.4075018
2006-05-26 00:00:00+00,SHORT,857,0.0,1.0,-0.035922486,-0.01255744,-0.38972464
2006-06-02 00:00:00+00,SHORT,1377,0.35867461526219163,1.0,-0.027301168,-0.044621345,-0.42280695
2006-06-09 00:00:00+00,SHORT,4197,0.40037221801657796,1.0,-0.024900371,-0.037730504,-0.47838804
2006-06-09 00:00:00+00,SHORT,153,0.6810521941634591,1.0,-0.041946854,-0.060410313,-0.39153123
2006-06-12 00:00:00+00,SHORT,4197,0.34651783608843084,1.0,-0.034117952,-0.027417967,-0.4161244
2006-06-12 00:00:00+00,SHORT,652,0.15488175980174906,1.0,-0.019819142,-0.020320509,-0.43537718
2006-06-13 00:00:00+00,SHORT,4097,0.0,1.0,-0.03424129,-0.02738869,-0.4129854
2006-06-14 00:00:00+00,SHORT,4097,0.0,1.0,-0.041260842,-0.020433562,-0.39199296
2006-06-16 00:00:00+00,SHORT,9,0.0,1.0,-0.035138138,-0.02982693,-0.3790363
2006-07-05 00:00:00+00,SHORT,2176,0.040192770451879065,1.0,-0.038137153,-0.065436244,-0.39213517
2006-07-05 00:00:00+00,SHORT,629,0.0,1.0,-0.026046477,-0.157335,-0.48497102
2006-07-05 00:00:00+00,SHORT,675,0.9090909090909091,1.0,-0.021463724,-0.05006603,-0.4255081
2006-07-06 00:00:00+00,SHORT,1462,0.4362374578509654,1.0,-0.023073023,-0.13806894,-0.48473835
2006-07-06 00:00:00+00,SHORT,1471,0.5864044409094705,1.0,-0.016068798,-0.055301916,-0.40394607
2006-07-07 00:00:00+00,SHORT,675,0.7272727272727273,1.0,-0.04172451,-0.031068157,-0.4915469
2006-07-07 00:00:00+00,SHORT,1471,0.4954070537206405,1.0,-0.023725428,-0.04590451,-0.3804424
2006-07-10 00:00:00+00,SHORT,457,0.0,1.0,-0.019795675,-0.07352312,-0.43491122
2006-07-11 00:00:00+00,SHORT,457,0.11236971644031979,1.0,-0.028814707,-0.06390063,-0.45943105
2006-07-11 00:00:00+00,SHORT,739,0.5173850419878527,1.0,-0.025929293,-0.08797759,-0.48300466
2006-07-12 00:00:00+00,SHORT,2568,0.15392259048673998,1.0,-0.039185666,-0.15520827,-0.4829208
2006-07-12 00:00:00+00,SHORT,739,0.49029340590159654,1.0,-0.040146545,-0.05801592,-0.44517174
2006-07-12 00:00:00+00,SHORT,1258,0.18515736235075975,1.0,-0.04182103,-0.02673003,-0.41223836
