time,side,ticker_id,mv_dn_composite_labels,price_vola_corr_50_df045,earnings_price_gap_df010,co_fall_count_1_10_df044,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055
2005-01-04 00:00:00+00,SHORT,2327,0.6060801266439079,0.7115704,0.0,2.0,1.0,-0.041437678
2005-01-04 00:00:00+00,SHORT,395,0.0,0.45848447,0.0,3.0,1.0,-0.03306855
2005-01-04 00:00:00+00,SHORT,862,0.10726589852851108,0.48595044,0.0,2.0,1.0,-0.04122294
2005-01-04 00:00:00+00,SHORT,2990,0.0,0.74330693,0.0,2.0,1.0,-0.04555233
2005-01-04 00:00:00+00,SHORT,3198,0.4573667334569411,0.3682322,0.0,2.0,1.0,-0.025985643
2005-01-04 00:00:00+00,SHORT,1220,0.0,0.5828892,0.0,2.0,1.0,-0.029894877
2005-01-04 00:00:00+00,SHORT,3872,0.4204610197171164,0.85896075,0.0,3.0,1.0,-0.032916978
2005-01-04 00:00:00+00,SHORT,4083,0.0,0.48804003,0.0,2.0,1.0,-0.034635335
2005-01-05 00:00:00+00,SHORT,1896,0.43485001762375,0.6531883,0.0,2.0,1.0,-0.022483625
2005-01-06 00:00:00+00,SHORT,1114,0.6186275150509173,-0.111581765,0.0,3.0,1.0,-0.03968709
2005-01-06 00:00:00+00,SHORT,1896,0.4209318171531579,0.6343574,0.0,2.0,1.0,-0.025872499
2005-01-07 00:00:00+00,SHORT,1896,0.4220250912640424,0.6243262,0.0,2.0,1.0,-0.030681234
2005-01-10 00:00:00+00,SHORT,1610,0.3929480526131753,0.35119197,0.0,3.0,1.0,-0.03314339
2005-01-11 00:00:00+00,SHORT,2710,0.2287883385500032,0.8209947,0.0,2.0,1.0,-0.025040163
2005-01-11 00:00:00+00,SHORT,1610,0.3635289543427146,0.3078833,0.0,3.0,1.0,-0.035466958
2005-01-11 00:00:00+00,SHORT,1807,0.875,-0.6761888,0.0,3.0,1.0,-0.026298253
2005-01-11 00:00:00+00,SHORT,1967,0.09102251055340502,0.28337625,0.0,2.0,1.0,-0.03779974
2005-01-12 00:00:00+00,SHORT,2710,0.16539965951485244,0.8256428,0.0,3.0,1.0,-0.02665227
2005-01-12 00:00:00+00,SHORT,1610,0.21959333786945495,0.27509794,0.0,2.0,1.0,-0.037433483
2005-01-12 00:00:00+00,SHORT,1807,0.3937635715333182,-0.66500384,0.0,2.0,1.0,-0.029219247
2005-01-13 00:00:00+00,SHORT,1114,0.27795973796358175,0.30266437,0.0,2.0,1.0,-0.047800496
2005-01-13 00:00:00+00,SHORT,1967,0.0,0.28999773,0.0,3.0,1.0,-0.04580211
2005-01-13 00:00:00+00,SHORT,2004,0.5846721596321564,0.29307696,0.0,2.0,1.0,-0.031258095
2005-01-14 00:00:00+00,SHORT,2504,1.0,0.57765406,0.0,2.0,1.0,0.004065362
2005-01-18 00:00:00+00,SHORT,2504,0.9411764705882353,0.5968558,0.0,2.0,1.0,-0.0100342315
2005-01-18 00:00:00+00,SHORT,3473,0.32477944236137557,0.6545884,0.0,3.0,1.0,-0.010011374
2005-01-18 00:00:00+00,SHORT,3531,0.3769888912075975,0.87007225,0.0,3.0,1.0,-0.007275426
2005-01-19 00:00:00+00,SHORT,4107,0.3931043082744834,0.22952697,0.0,3.0,1.0,-0.03288676
2005-01-19 00:00:00+00,SHORT,2175,0.0,-0.55791414,0.0,2.0,1.0,-0.037334196
2005-01-19 00:00:00+00,SHORT,2230,0.0,0.8539679,0.0,2.0,1.0,-0.010183368
2005-01-19 00:00:00+00,SHORT,2504,0.8823529411764706,0.6431962,0.0,2.0,1.0,-0.030455012
2005-01-19 00:00:00+00,SHORT,505,0.36213316673123735,0.890608,0.0,2.0,1.0,-0.020017186
2005-01-19 00:00:00+00,SHORT,881,0.2148286671538248,0.28385597,0.0,3.0,1.0,-0.026891906
2005-01-19 00:00:00+00,SHORT,3473,0.49538995564774546,0.67204624,0.0,2.0,1.0,-0.035114363
2005-01-19 00:00:00+00,SHORT,3531,0.2902723557442182,0.84579086,0.0,2.0,1.0,-0.019989336
2005-01-19 00:00:00+00,SHORT,1650,0.3463167987723435,-0.3176524,0.0,2.0,1.0,-0.015589944
2005-01-20 00:00:00+00,SHORT,4107,0.2541963442110341,0.18711253,0.0,3.0,1.0,-0.034640945
2005-01-20 00:00:00+00,SHORT,2175,0.0,-0.5601797,0.0,3.0,1.0,-0.046755403
2005-01-20 00:00:00+00,SHORT,3182,0.691367537528172,0.32092303,0.0,3.0,1.0,-0.038619857
2005-01-20 00:00:00+00,SHORT,1719,0.0,0.625629,0.0,3.0,1.0,-0.03687726
2005-01-21 00:00:00+00,SHORT,4107,0.12727945110455174,0.17188805,0.0,3.0,1.0,-0.04586325
2005-01-24 00:00:00+00,SHORT,629,0.0,0.5707475,0.0,3.0,1.0,-0.041096527
2005-01-24 00:00:00+00,SHORT,663,0.9411764705882353,0.86926985,0.0,2.0,1.0,-0.013270322
2005-01-25 00:00:00+00,SHORT,2462,0.22585647749661153,0.6626416,0.0,2.0,1.0,-0.022958977
2005-01-25 00:00:00+00,SHORT,663,0.8823529411764706,0.9213384,0.0,2.0,1.0,-0.021255521
2005-01-25 00:00:00+00,SHORT,1919,0.08816477926190452,0.750679,0.0,2.0,1.0,-0.035899546
2005-01-27 00:00:00+00,SHORT,4107,0.08653685291819127,0.11473266,0.0,3.0,1.0,-0.040115125
2005-01-27 00:00:00+00,SHORT,2230,0.0,0.8705649,0.0,2.0,1.0,-0.04203038
2005-01-27 00:00:00+00,SHORT,2979,0.5482779940784319,-0.11083002,0.0,2.0,1.0,-0.027479943
2005-01-28 00:00:00+00,SHORT,3182,0.4610959971713239,0.16871972,0.0,2.0,1.0,-0.0435223
2005-01-31 00:00:00+00,SHORT,212,0.0,0.9222555,0.0,2.0,1.0,-0.048676692
2005-02-02 00:00:00+00,SHORT,4107,0.5521311315143157,0.15466289,0.0,3.0,1.0,-0.03588486
2005-02-02 00:00:00+00,SHORT,135,0.9230769230769231,-0.49045208,0.0,3.0,1.0,-0.017206468
2005-02-02 00:00:00+00,SHORT,3519,0.015983292925845386,0.12142651,0.0,2.0,1.0,-0.035689056
2005-02-03 00:00:00+00,SHORT,2508,0.0,-0.6127071,0.0,3.0,1.0,-0.026953844
2005-02-03 00:00:00+00,SHORT,1064,0.6037343022033921,0.2634846,0.0,3.0,1.0,-0.03193785
2005-02-03 00:00:00+00,SHORT,3275,0.0,0.7676258,0.0,3.0,1.0,-0.0269764
2005-02-03 00:00:00+00,SHORT,1396,0.0,0.13171719,0.0,3.0,1.0,-0.019214427
2005-02-03 00:00:00+00,SHORT,3519,0.008558127052350555,0.10213848,0.0,3.0,1.0,-0.03393951
2005-02-03 00:00:00+00,SHORT,3885,0.0,0.58112466,0.0,2.0,1.0,-0.039606936
2005-02-04 00:00:00+00,SHORT,3287,0.4455369539894817,0.7801863,0.0,2.0,1.0,-0.007280248
2005-02-04 00:00:00+00,SHORT,1396,0.0,0.07283413,0.0,3.0,1.0,-0.030882029
2005-02-04 00:00:00+00,SHORT,3782,0.0,0.8005406,0.0,2.0,1.0,-0.02880879
2005-02-07 00:00:00+00,SHORT,2508,0.0,-0.64838916,0.0,2.0,1.0,-0.03226674
2005-02-07 00:00:00+00,SHORT,694,0.23705691611940552,0.5701592,0.0,3.0,1.0,-0.024642909
2005-02-07 00:00:00+00,SHORT,1064,0.5663022309745513,0.30887708,0.0,3.0,1.0,-0.04051873
2005-02-07 00:00:00+00,SHORT,3287,0.3115326447489892,0.7871865,0.0,2.0,1.0,-0.02130073
2005-02-07 00:00:00+00,SHORT,1383,0.5845925113429227,0.47851253,0.0,3.0,1.0,-0.01865067
2005-02-07 00:00:00+00,SHORT,3716,0.0,0.8961138,0.0,3.0,1.0,-0.010147638
2005-02-08 00:00:00+00,SHORT,157,0.3788495205669932,0.628898,0.0,2.0,1.0,-0.04573055
2005-02-08 00:00:00+00,SHORT,3652,0.2025801875469939,0.74588525,0.0,2.0,1.0,-0.014405813
2005-02-08 00:00:00+00,SHORT,3716,0.0,0.89332724,0.0,3.0,1.0,-0.025178192
2005-02-09 00:00:00+00,SHORT,1114,0.09827508100152416,0.65424526,0.0,3.0,1.0,-0.02983417
2005-02-09 00:00:00+00,SHORT,1383,0.48374341939818655,0.52455395,0.0,3.0,1.0,-0.03776372
2005-02-09 00:00:00+00,SHORT,3652,0.0,0.7531732,0.0,2.0,1.0,-0.04360566
2005-02-09 00:00:00+00,SHORT,3716,0.0,0.89052796,0.0,3.0,1.0,-0.042961556
2005-02-10 00:00:00+00,SHORT,1114,0.0,0.66852206,0.0,3.0,1.0,-0.03573355
2005-02-14 00:00:00+00,SHORT,2410,0.1289254484208462,-0.5940247,0.0,3.0,1.0,-0.03281011
2005-02-15 00:00:00+00,SHORT,1306,0.5272578017908387,0.42160112,0.0,3.0,1.0,-0.0024617198
2005-02-16 00:00:00+00,SHORT,4112,0.875,0.52832544,0.0,3.0,1.0,-0.023547176
2005-02-16 00:00:00+00,SHORT,2367,0.40926602086720293,0.7445671,0.0,2.0,1.0,-0.033120636
2005-02-16 00:00:00+00,SHORT,2410,0.0,-0.66101325,0.0,3.0,1.0,-0.042464558
2005-02-16 00:00:00+00,SHORT,429,0.0,-0.32613596,0.0,3.0,1.0,-0.039803267
2005-02-16 00:00:00+00,SHORT,1303,0.2923997783325041,-0.57999575,0.0,3.0,1.0,-0.047430716
2005-02-17 00:00:00+00,SHORT,2129,0.4662858551946932,0.9053246,0.0,2.0,1.0,-0.01654715
