time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,price_drift_abs_1_df006
2005-01-12 00:00:00+00,LONG,191,0.27572949817875864,0.0819555,0.01076716
2005-01-12 00:00:00+00,LONG,4049,0.608352809037504,0.03720511,0.021029213
2005-01-13 00:00:00+00,LONG,191,0.2362868646773304,0.059063748,0.009320905
2005-01-24 00:00:00+00,LONG,3853,1.0,0.035194326,0.01236329
2005-01-25 00:00:00+00,LONG,323,1.0,0.034282327,0.01843812
2005-01-25 00:00:00+00,LONG,2567,0.0,0.025764683,0.01888668
2005-01-28 00:00:00+00,LONG,2866,0.47522428960033325,0.025362594,0.00989673
2005-02-10 00:00:00+00,LONG,3287,1.0,0.031016834,0.01003886
2005-02-11 00:00:00+00,LONG,3287,0.9772727272727273,0.032221142,0.0071965978
2005-02-17 00:00:00+00,LONG,135,1.0,0.032166068,0.02003643
2005-03-02 00:00:00+00,LONG,11,0.0,0.113660544,0.0085572265
2005-03-04 00:00:00+00,LONG,11,0.0,0.07377993,0.02438861
2005-03-04 00:00:00+00,LONG,1280,0.0,0.12581682,0.01983435
2005-03-07 00:00:00+00,LONG,1280,0.0,0.104227,0.012823253
2005-03-08 00:00:00+00,LONG,1280,0.0,0.055641264,0.018835247
2005-03-09 00:00:00+00,LONG,1280,0.0,0.03289278,0.009349766
2005-03-17 00:00:00+00,LONG,3273,0.5526315789473685,0.108148776,0.021879433
2005-03-17 00:00:00+00,LONG,2006,0.4386649767580602,0.028872035,0.02173913
2005-03-18 00:00:00+00,LONG,3273,0.5263157894736843,0.07134371,0.013880695
2005-03-21 00:00:00+00,LONG,3273,0.5,0.03364739,0.016531471
2005-03-23 00:00:00+00,LONG,3872,1.0,0.023074329,0.011786893
2005-04-05 00:00:00+00,LONG,984,0.0,0.108917065,0.0074113286
2005-04-06 00:00:00+00,LONG,984,0.0,0.07843842,0.016810667
2005-04-07 00:00:00+00,LONG,984,0.0,0.074807934,0.014434677
2005-04-14 00:00:00+00,LONG,984,0.0,0.060483743,0.007854985
2005-04-15 00:00:00+00,LONG,1383,1.0,0.03564188,0.023677679
2005-04-15 00:00:00+00,LONG,3607,1.0,0.024701465,0.024460431
2005-04-18 00:00:00+00,LONG,4112,1.0,0.04524162,0.012562384
2005-04-18 00:00:00+00,LONG,3127,1.0,0.03467039,0.02128514
2005-04-19 00:00:00+00,LONG,1719,0.9791666666666666,0.023760073,0.012131716
2005-04-20 00:00:00+00,LONG,4112,0.9583333333333334,0.04276503,0.01941071
2005-04-26 00:00:00+00,LONG,386,0.40915314743131065,0.031732846,0.016390318
