time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,sessions_since_bearish_13_100_df059
2005-01-06 00:00:00+00,LONG,2508,0.0,-0.50362426,1.0
2005-01-07 00:00:00+00,LONG,2508,0.0,-0.58151543,2.0
2005-01-07 00:00:00+00,LONG,1770,0.37857175469797266,-0.49111634,4.0
2005-01-10 00:00:00+00,LONG,2393,0.925637540797777,-0.51718897,21.0
2005-01-10 00:00:00+00,LONG,2508,0.0,-0.52256817,3.0
2005-01-10 00:00:00+00,LONG,1819,0.488743128061124,-0.68841815,4.0
2005-01-11 00:00:00+00,LONG,2393,0.962962962962963,-0.6257885,22.0
2005-01-11 00:00:00+00,LONG,2508,0.0,-0.5603475,4.0
2005-01-11 00:00:00+00,LONG,1532,0.12819653932110664,-0.5149628,2.0
2005-01-12 00:00:00+00,LONG,2393,0.9218249729119214,-0.64439046,23.0
2005-01-12 00:00:00+00,LONG,3286,0.0,-0.508791,1.0
2005-01-12 00:00:00+00,LONG,1404,0.0,-0.61996436,6.0
2005-01-12 00:00:00+00,LONG,3535,0.0,-0.52438134,17.0
2005-01-12 00:00:00+00,LONG,1532,0.1379143118313118,-0.4942386,3.0
2005-01-13 00:00:00+00,LONG,2393,0.9054588123736603,-0.6379384,24.0
2005-01-13 00:00:00+00,LONG,3286,0.0,-0.49572214,2.0
2005-01-13 00:00:00+00,LONG,3535,0.962962962962963,-0.52438134,18.0
2005-01-13 00:00:00+00,LONG,3897,0.0,-0.64841735,23.0
2005-01-13 00:00:00+00,LONG,4049,0.5557089936696797,-0.751596,4.0
2005-01-14 00:00:00+00,LONG,2330,0.0,-0.57093346,9.0
2005-01-14 00:00:00+00,LONG,4049,0.4851789027900652,-0.5882829,5.0
2005-01-18 00:00:00+00,LONG,3535,0.8888888888888888,-0.7198252,20.0
2005-01-18 00:00:00+00,LONG,3791,0.0,-0.5104563,19.0
2005-01-18 00:00:00+00,LONG,4049,0.47343600172198663,-0.55347157,6.0
2005-01-19 00:00:00+00,LONG,4137,0.0,-0.55627406,10.0
2005-01-20 00:00:00+00,LONG,4137,0.0,-0.51644456,11.0
2005-01-20 00:00:00+00,LONG,2119,0.33623747035223767,-0.6843161,1.0
2005-01-21 00:00:00+00,LONG,142,0.7386093563607027,-0.6281703,3.0
2005-01-21 00:00:00+00,LONG,2253,1.0,-0.65936893,3.0
2005-01-24 00:00:00+00,LONG,142,0.6600240504941072,-0.7029552,4.0
2005-01-24 00:00:00+00,LONG,191,0.2381763962773657,-0.6499837,1.0
2005-01-24 00:00:00+00,LONG,2253,0.9827586206896551,-0.6684713,4.0
2005-01-24 00:00:00+00,LONG,2567,0.0,-0.70876914,8.0
2005-01-24 00:00:00+00,LONG,3853,1.0,-0.7718629,3.0
2005-01-25 00:00:00+00,LONG,2066,0.7335350208518384,-0.4873174,6.0
2005-01-25 00:00:00+00,LONG,142,0.5845989377234988,-0.61467916,5.0
2005-01-25 00:00:00+00,LONG,191,0.18972991491367197,-0.52778906,2.0
2005-01-25 00:00:00+00,LONG,2248,0.9655172413793104,-0.4664629,6.0
2005-01-25 00:00:00+00,LONG,2253,0.7562658278356549,-0.5613798,5.0
2005-01-25 00:00:00+00,LONG,323,1.0,-0.73603934,3.0
2005-01-25 00:00:00+00,LONG,2567,0.0,-0.5399776,9.0
2005-01-25 00:00:00+00,LONG,2681,0.5121395462962478,-0.5131085,7.0
2005-01-25 00:00:00+00,LONG,2686,1.0,-0.5863611,1.0
2005-01-25 00:00:00+00,LONG,1585,0.4518163462558773,-0.49236917,8.0
2005-01-25 00:00:00+00,LONG,3699,0.0,-0.4820938,4.0
2005-01-25 00:00:00+00,LONG,3853,0.9777777777777777,-0.51745147,4.0
2005-01-26 00:00:00+00,LONG,142,0.5536374725322191,-0.52916574,6.0
2005-01-26 00:00:00+00,LONG,323,0.0,-0.6057957,4.0
2005-01-27 00:00:00+00,LONG,142,0.5320071026884413,-0.512315,7.0
2005-01-27 00:00:00+00,LONG,3148,0.0,-0.673054,12.0
2005-01-27 00:00:00+00,LONG,3596,0.0,-0.5389537,8.0
2005-01-27 00:00:00+00,LONG,3912,0.0,-0.53265584,4.0
2005-01-28 00:00:00+00,LONG,2430,0.4536871866872061,-0.49705026,4.0
2005-01-28 00:00:00+00,LONG,2866,0.47522428960033325,-0.81374145,3.0
2005-01-28 00:00:00+00,LONG,3148,0.0,-0.5322382,13.0
2005-01-28 00:00:00+00,LONG,3378,0.4318341918530674,-0.5216955,3.0
2005-01-28 00:00:00+00,LONG,3596,0.0,-0.53824425,9.0
2005-01-31 00:00:00+00,LONG,2866,0.5125599987430594,-0.60427976,4.0
2005-01-31 00:00:00+00,LONG,918,0.8416315727821096,-0.6916034,1.0
2005-01-31 00:00:00+00,LONG,1299,0.6813947224918291,-0.75665677,2.0
2005-02-01 00:00:00+00,LONG,2866,0.42057940282626227,-0.50740486,5.0
2005-02-01 00:00:00+00,LONG,835,0.40743043192337297,-0.5374752,5.0
2005-02-01 00:00:00+00,LONG,2923,0.0,-0.4754845,9.0
2005-02-01 00:00:00+00,LONG,918,0.814507827807488,-0.63721544,2.0
2005-02-01 00:00:00+00,LONG,1299,0.6199060819317226,-0.65191406,3.0
2005-02-01 00:00:00+00,LONG,3470,0.39552374503994236,-0.50710976,3.0
2005-02-02 00:00:00+00,LONG,2923,0.16739787029490608,-0.48093644,10.0
2005-02-02 00:00:00+00,LONG,918,0.8332596027227508,-0.664857,3.0
2005-02-02 00:00:00+00,LONG,1299,0.620633831064151,-0.6681903,4.0
2005-02-03 00:00:00+00,LONG,1299,0.9032258064516129,-0.66189176,5.0
2005-02-03 00:00:00+00,LONG,1910,0.0,-0.61035144,9.0
2005-02-04 00:00:00+00,LONG,1191,0.0,-0.5543644,9.0
2005-02-09 00:00:00+00,LONG,2751,0.0,-0.49570698,12.0
2005-02-09 00:00:00+00,LONG,3521,1.0,-0.63743216,3.0
2005-02-14 00:00:00+00,LONG,2508,0.0,-0.55164045,27.0
2005-02-14 00:00:00+00,LONG,522,0.9523809523809523,-0.5499487,6.0
2005-02-16 00:00:00+00,LONG,1667,0.07694192838859579,-0.5048492,1.0
2005-02-22 00:00:00+00,LONG,142,0.18472519868760637,-0.54388136,24.0
2005-02-22 00:00:00+00,LONG,4062,1.0,-0.48394778,22.0
2005-02-23 00:00:00+00,LONG,73,0.219415387084175,-0.52865475,11.0
2005-02-23 00:00:00+00,LONG,142,0.2372187843629206,-0.4769907,25.0
2005-02-23 00:00:00+00,LONG,3287,0.8181818181818181,-0.46884736,1.0
2005-03-01 00:00:00+00,LONG,835,0.3102977806498891,-0.4758071,24.0
2005-03-02 00:00:00+00,LONG,2866,0.0,-0.5708423,25.0
2005-03-02 00:00:00+00,LONG,1910,0.0,-0.52140516,27.0
