time,side,ticker_id,mv_up_composite_labels,ev_ebitda_industry_relative_df086,dist_lower_bb_50_2.0_df055
2005-01-20 00:00:00+00,LONG,3815,0.8780487804878049,0.1041,-0.0020757422
2005-01-31 00:00:00+00,LONG,3681,0.38850907243439675,0.0845,0.0057504443
2005-02-01 00:00:00+00,LONG,3681,0.34754520267462075,0.0832,-0.005642978
2005-02-03 00:00:00+00,LONG,3681,0.2920797803664424,0.0832,-0.005884332
2005-02-04 00:00:00+00,LONG,3681,0.3486722243879405,0.0826,-2.3056206E-4
2005-02-07 00:00:00+00,LONG,562,0.2773995418120033,0.0448,-0.007787535
2005-03-24 00:00:00+00,LONG,2640,1.0,0.1616,-0.007552198
2005-03-29 00:00:00+00,LONG,4176,1.0,0.011,0.022743123
2005-03-29 00:00:00+00,LONG,84,1.0,0.0106,0.009718754
2005-03-30 00:00:00+00,LONG,4176,0.9565217391304348,0.011,-0.0064879074
2005-03-30 00:00:00+00,LONG,84,0.9791666666666666,0.0106,-0.00828324
2005-04-04 00:00:00+00,LONG,2262,1.0,0.1105,-0.0010648161
2005-04-04 00:00:00+00,LONG,2751,0.6468003636669314,0.0801,0.009110718
2005-04-11 00:00:00+00,LONG,2248,0.0,0.074,0.081916876
2005-04-12 00:00:00+00,LONG,2248,0.0,0.077,0.037169006
2005-04-13 00:00:00+00,LONG,2248,0.0,0.0781,0.0020993003
2005-04-15 00:00:00+00,LONG,3610,0.32936249995409533,0.1303,-0.0018961187
2005-04-18 00:00:00+00,LONG,3293,0.34916576139996364,0.0896,0.0029550241
2005-04-18 00:00:00+00,LONG,3791,1.0,0.0917,0.0026529278
2005-04-18 00:00:00+00,LONG,3905,0.6779578783322777,0.0507,0.009754449
2005-04-19 00:00:00+00,LONG,3293,0.3316806458230659,0.0903,3.6655433E-4
2005-04-19 00:00:00+00,LONG,3905,0.6948698481797789,0.0511,-0.00510198
2005-04-20 00:00:00+00,LONG,3293,0.2824526911902227,0.0936,-0.008196715
2005-04-20 00:00:00+00,LONG,1585,0.8334224316755204,0.1067,0.020287618
2005-04-20 00:00:00+00,LONG,3905,0.7095835310217351,0.0506,0.0100701405
2005-04-21 00:00:00+00,LONG,1585,0.4498381745140004,0.0885,-0.008096873
2005-04-21 00:00:00+00,LONG,3905,0.7036720535912411,0.0503,0.012731922
2005-04-22 00:00:00+00,LONG,3905,0.6433250533058478,0.0503,0.009598448
2005-04-25 00:00:00+00,LONG,3905,0.599547967538727,0.0507,-0.0075635947
2005-04-26 00:00:00+00,LONG,975,0.4526146094440083,0.1083,-2.9089235E-4
2005-04-27 00:00:00+00,LONG,2137,0.15753464519341415,0.1058,0.015379989
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,0.1068,0.020438759
2005-04-29 00:00:00+00,LONG,2137,0.12402880988248238,0.1065,0.0038331205
2005-04-29 00:00:00+00,LONG,1988,1.0,0.1614,-0.0040786033
