time,side,ticker_id,mv_up_composite_labels,velocity_price_univ_zscore_5_df048,sessions_since_bearish_21_50_df059,price_drift_5_df005,sessions_since_bearish_8_50_df059,dist_upper_bb_50_2.5_df055
2005-01-10 00:00:00+00,LONG,1585,0.42981765283428724,1.9218578,4.0,-0.0052930797,6.0,-0.09960391
2005-01-20 00:00:00+00,LONG,3513,0.0,1.8382019,3.0,0.008780316,7.0,-0.09559019
2005-01-21 00:00:00+00,LONG,3815,0.8536585365853658,1.243082,6.0,0.005019642,10.0,-0.11005958
2005-01-21 00:00:00+00,LONG,3841,0.0,1.6887332,4.0,0.008027923,8.0,-0.07980353
2005-01-24 00:00:00+00,LONG,142,0.6600240504941072,1.4476347,8.0,-0.0017610801,12.0,-0.21084227
2005-01-24 00:00:00+00,LONG,234,1.0,1.3643551,6.0,-0.0027137042,7.0,-0.1306645
2005-01-24 00:00:00+00,LONG,270,0.0,2.017511,3.0,0.0047576567,9.0,-0.13674289
2005-01-24 00:00:00+00,LONG,2778,0.4347965613127948,1.1142508,5.0,-0.0055746143,10.0,-0.12411923
2005-01-24 00:00:00+00,LONG,3815,0.8292682926829268,2.15695,7.0,0.0063526835,11.0,-0.112794474
2005-01-25 00:00:00+00,LONG,1410,0.0,2.3655539,3.0,0.0070324987,9.0,-0.076897874
2005-01-25 00:00:00+00,LONG,3513,0.0,1.8966806,6.0,0.0010208165,10.0,-0.09917498
2005-01-25 00:00:00+00,LONG,1532,0.0,1.1235408,4.0,-0.008892035,11.0,-0.08111978
2005-01-25 00:00:00+00,LONG,3595,0.0,1.1984046,13.0,-0.007932167,11.0,-0.11060232
2005-01-25 00:00:00+00,LONG,3815,0.8048780487804879,2.0559413,8.0,0.0030627872,12.0,-0.11521502
2005-01-25 00:00:00+00,LONG,3837,0.5426514178345645,1.33306,13.0,-0.006205674,10.0,-0.07716284
2005-02-24 00:00:00+00,LONG,3287,0.7954545454545454,1.5532008,10.0,0.010355987,9.0,-0.105450936
2005-03-22 00:00:00+00,LONG,1916,0.8095238095238095,2.719912,6.0,-0.0051660514,11.0,-0.08530386
2005-03-30 00:00:00+00,LONG,84,0.9791666666666666,1.971278,3.0,0.0089415675,9.0,-0.08136684
2005-04-11 00:00:00+00,LONG,4049,0.6642757637145449,1.4665496,4.0,0.008255489,10.0,-0.08029375
2005-04-12 00:00:00+00,LONG,1715,0.4151857378765396,1.5932367,3.0,0.006493135,10.0,-0.0844662
2005-04-13 00:00:00+00,LONG,1715,0.3809628917789718,3.0412297,4.0,0.009746023,11.0,-0.08092878
2005-04-19 00:00:00+00,LONG,3853,0.975,2.6127992,6.0,-0.0020644097,9.0,-0.1369218
2005-04-28 00:00:00+00,LONG,4073,0.4453471995581203,1.5979708,3.0,0.0056444025,9.0,-0.08152863
2005-08-08 00:00:00+00,LONG,2686,0.690801703162676,1.5468155,11.0,0.009416196,10.0,-0.1338224
2005-08-09 00:00:00+00,LONG,2305,0.8108108108108107,1.4615965,12.0,0.0030927835,9.0,-0.103066355
2005-08-10 00:00:00+00,LONG,2686,0.5514441721230825,3.0952857,13.0,0.0055555557,12.0,-0.12190638
2005-08-17 00:00:00+00,LONG,192,0.4635491270476032,1.5128758,2.0,0.0058948416,7.0,-0.09972906
2005-08-18 00:00:00+00,LONG,1064,0.0,1.5116647,7.0,0.0,12.0,-0.25140762
2005-08-19 00:00:00+00,LONG,1939,0.3412000881050824,1.6931608,3.0,0.007590628,12.0,-0.18559049
2005-08-22 00:00:00+00,LONG,3621,0.09780247471992005,1.2909666,10.0,-0.0046616723,11.0,-0.075858966
2005-08-23 00:00:00+00,LONG,1454,0.0,1.9080435,4.0,0.005341973,12.0,-0.0764823
2005-08-25 00:00:00+00,LONG,1677,0.9166666666666666,1.7132576,5.0,0.009300399,10.0,-0.100328304
2005-08-25 00:00:00+00,LONG,1678,0.9189189189189189,1.7104671,5.0,0.009286046,10.0,-0.100335985
2005-08-30 00:00:00+00,LONG,91,0.19315223207845406,1.5957228,2.0,0.0,9.0,-0.07454672
2005-08-30 00:00:00+00,LONG,370,0.0,2.9460092,2.0,0.0053847455,12.0,-0.08167591
2005-08-30 00:00:00+00,LONG,4049,0.24405515115743837,1.1822242,3.0,-0.0016489722,12.0,-0.081361815
2005-10-14 00:00:00+00,LONG,158,0.9523809523809523,2.9594011,2.0,0.010752688,10.0,-0.20762312
2005-10-21 00:00:00+00,LONG,2079,0.9743589743589743,1.3930151,8.0,0.0060706404,10.0,-0.1003098
2005-12-30 00:00:00+00,LONG,3065,0.0,1.5586294,5.0,0.0027710425,11.0,-0.08245557
2006-01-18 00:00:00+00,LONG,3539,0.31022415266262227,1.2979913,4.0,0.007913961,6.0,-0.104072735
2006-02-07 00:00:00+00,LONG,2042,0.9,1.446464,5.0,0.0020168466,9.0,-0.08977664
2006-02-08 00:00:00+00,LONG,192,0.782608695652174,2.8481789,2.0,0.008989043,9.0,-0.0897793
2006-02-08 00:00:00+00,LONG,2042,0.875,3.0434093,6.0,0.010714286,10.0,-0.08604813
2006-02-10 00:00:00+00,LONG,2042,0.825,1.459542,8.0,0.0075578648,12.0,-0.08296024
2006-02-13 00:00:00+00,LONG,2686,0.9069767441860466,2.0603468,2.0,0.0016741072,7.0,-0.08496755
2006-02-13 00:00:00+00,LONG,4049,0.40823551572901756,1.2796862,5.0,-0.0036171323,12.0,-0.13535576
2006-03-06 00:00:00+00,LONG,3203,0.2640980036584597,1.492111,7.0,0.0033217655,9.0,-0.090624146
2006-03-07 00:00:00+00,LONG,3203,0.2975781848800771,2.0373056,8.0,0.009156203,10.0,-0.087504975
2006-03-08 00:00:00+00,LONG,3203,0.2602476960692611,1.9740646,9.0,0.0038764614,11.0,-0.091275096
2006-03-09 00:00:00+00,LONG,3203,0.2583837206446839,2.40414,10.0,0.0038636238,12.0,-0.08861207
2006-03-09 00:00:00+00,LONG,3273,0.435623630832017,1.5113837,5.0,-0.0061982833,10.0,-0.14327854
2006-03-10 00:00:00+00,LONG,3114,0.0,1.5961407,9.0,-0.0019933556,11.0,-0.12981944
2006-03-10 00:00:00+00,LONG,3273,0.39235530457874734,1.3666545,6.0,-0.0036555226,11.0,-0.14279316
2006-03-10 00:00:00+00,LONG,3430,0.26858672239690856,2.8657393,2.0,0.0072023408,9.0,-0.22605395
2006-03-31 00:00:00+00,LONG,2932,0.0,1.4628885,4.0,0.010728863,5.0,-0.090397105
2006-04-12 00:00:00+00,LONG,3744,0.0,1.5145587,8.0,-0.0011869014,10.0,-0.14089756
2006-04-17 00:00:00+00,LONG,759,0.7243058347118506,1.3801984,2.0,0.002469136,7.0,-0.07414834
2006-05-12 00:00:00+00,LONG,3645,0.0,1.2702285,6.0,-0.0026890757,11.0,-0.10920929
2006-06-07 00:00:00+00,LONG,843,0.5003223935255264,1.3722668,8.0,0.00847496,12.0,-0.13194926
2006-06-12 00:00:00+00,LONG,3065,0.0,1.7235423,2.0,-0.0115336655,10.0,-0.09335854
