time,side,ticker_id,mv_up_composite_labels,accel_price_1_df021,dist_lower_bb_50_2.0_df055,ma_cloud_diff_13_50_df007,vola_roc_21_5_df040
2005-01-20 00:00:00+00,LONG,142,0.7171464085278801,0.008111563,0.019501328,-0.070736825,0.7793865
2005-01-20 00:00:00+00,LONG,796,1.0,-0.012340753,0.03984738,-0.056678448,0.53422326
2005-01-26 00:00:00+00,LONG,1966,0.0,0.019716123,-0.027874203,-0.05453334,0.3339725
2005-01-27 00:00:00+00,LONG,1966,0.0,-0.03247421,-0.028264133,-0.05699419,0.6190414
2005-02-01 00:00:00+00,LONG,3912,0.0,-4.6250416E-4,-0.02727843,-0.08756772,0.59481955
2005-02-02 00:00:00+00,LONG,3912,0.0,-0.0077635334,-0.03223857,-0.08666171,0.41135558
2005-02-03 00:00:00+00,LONG,4050,0.0,-0.056137152,-5.635702E-4,-0.050886843,0.6389086
2005-02-07 00:00:00+00,LONG,1910,0.0,-0.003631041,-0.03378563,-0.048806064,0.92033935
2005-02-07 00:00:00+00,LONG,4050,0.8692014365546117,-0.015413211,-0.005504597,-0.05272913,0.88228905
2005-02-08 00:00:00+00,LONG,3355,0.0,0.0044650612,-0.012874875,-0.07542525,0.9285844
2005-02-08 00:00:00+00,LONG,3703,0.0,-0.004148894,-0.019965393,-0.058470108,0.84887534
2005-02-08 00:00:00+00,LONG,4050,0.0,0.010466557,-0.010092489,-0.053445257,0.61262995
2005-02-09 00:00:00+00,LONG,918,0.7037037037037037,0.017961124,-0.023042401,-0.052872892,0.7251853
2005-02-09 00:00:00+00,LONG,3355,0.0,-0.030955411,-6.671977E-4,-0.08041602,0.47580028
2005-02-25 00:00:00+00,LONG,135,0.8979591836734694,0.009114899,-0.011716083,-0.06324248,0.6030999
2005-04-19 00:00:00+00,LONG,4112,0.9791666666666666,0.008139962,0.037439723,-0.05611918,0.7792144
2005-04-22 00:00:00+00,LONG,3355,0.28995228505081566,-0.034518216,0.0054242625,-0.064104564,0.42677715
2005-04-26 00:00:00+00,LONG,2452,0.41052229718304145,0.010282685,-0.014420208,-0.07051625,0.457856
2005-04-26 00:00:00+00,LONG,786,0.8421052631578947,-0.020240152,-0.004019122,-0.06451,0.34983897
2005-04-26 00:00:00+00,LONG,975,0.4526146094440083,-0.008879116,-2.9089235E-4,-0.053625505,0.5912853
2005-04-28 00:00:00+00,LONG,4163,0.8862829657709914,-0.02256507,0.021654783,-0.060343012,0.50286514
2005-04-29 00:00:00+00,LONG,2305,1.0,0.0056862836,-0.021022363,-0.06191701,0.3301355
2005-04-29 00:00:00+00,LONG,3515,0.8372061403693491,0.016448844,0.0014823494,-0.04911694,0.6163404
2005-05-04 00:00:00+00,LONG,64,0.0,0.00208862,-0.026850319,-0.07937083,0.32703227
2005-05-04 00:00:00+00,LONG,3918,0.0,-0.023717232,-0.027681008,-0.058387205,0.6398305
2005-05-06 00:00:00+00,LONG,2070,0.0,-0.0020520983,0.008867658,-0.07519874,0.9570033
2005-05-18 00:00:00+00,LONG,1949,0.975,-0.052070998,-0.0032470666,-0.05552498,0.7204004
2005-05-18 00:00:00+00,LONG,4086,0.96875,0.011584825,-0.0033860868,-0.049046833,0.6904399
2005-05-19 00:00:00+00,LONG,4050,0.9545454545454546,0.01790736,-0.026758788,-0.052691974,0.77720183
2005-06-01 00:00:00+00,LONG,1710,0.6065007176313374,-0.009250101,-0.033244714,-0.06300666,0.7314828
2005-06-09 00:00:00+00,LONG,457,0.12816864259443098,0.014764917,-0.012780505,-0.049608827,0.3284279
2005-06-27 00:00:00+00,LONG,4172,0.4404481180943399,0.008890602,0.028789576,-0.05607516,0.4580208
2005-07-08 00:00:00+00,LONG,3521,0.0,0.01066853,-0.033836573,-0.05064107,0.5156292
2005-07-13 00:00:00+00,LONG,465,0.7142857142857143,0.006620158,-0.029887414,-0.067660086,0.72410756
2005-08-08 00:00:00+00,LONG,3218,0.5073072532259819,0.0059664804,0.012971967,-0.05740255,0.49731028
2005-08-09 00:00:00+00,LONG,3218,0.8545671828717516,0.0033990247,0.0072989264,-0.06563464,0.6313014
2005-08-10 00:00:00+00,LONG,3218,0.7611481289564002,0.019323358,-0.015534388,-0.06624455,0.45192283
2005-08-11 00:00:00+00,LONG,3218,0.638726586156618,-0.0070493827,-0.030535273,-0.06611295,0.6022899
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,0.016107365,0.052041538,-0.06151494,0.74222326
2005-08-24 00:00:00+00,LONG,2778,0.1676372642809113,4.1389628E-4,-0.02074755,-0.053280152,0.51750964
2005-09-23 00:00:00+00,LONG,1063,0.18111527743410596,-0.009775277,-0.011235548,-0.054817684,0.7127755
2005-09-26 00:00:00+00,LONG,1063,0.12815318205486176,-0.0036737176,-0.022144118,-0.056893356,0.33274975
2005-10-12 00:00:00+00,LONG,4171,0.6524333773332736,-0.046270818,-0.031863727,-0.08524099,0.53460175
2005-10-19 00:00:00+00,LONG,3436,0.25691507114952444,-0.024749335,-0.0015022657,-0.07779615,0.6293187
2005-10-20 00:00:00+00,LONG,2050,0.9795918367346939,5.934591E-4,0.03701929,-0.051735595,0.4660246
2005-10-20 00:00:00+00,LONG,2543,0.3415991618097485,-0.033120975,-0.032510594,-0.05194786,0.81560373
2005-10-21 00:00:00+00,LONG,2050,0.9591836734693877,0.019623911,0.024205437,-0.056934234,0.5058244
2005-10-21 00:00:00+00,LONG,2543,0.328436816613201,0.011553567,-0.033996407,-0.050721105,0.5231914
2005-10-21 00:00:00+00,LONG,1069,1.0,-0.020498859,-0.013308364,-0.05146675,0.68641436
2005-10-24 00:00:00+00,LONG,3621,0.3982124373446679,0.008022286,-0.02245955,-0.054245584,0.33363953
2005-10-24 00:00:00+00,LONG,4059,0.9444444444444444,0.008346577,-0.02574771,-0.061959933,0.58576095
2005-10-25 00:00:00+00,LONG,304,0.9047619047619048,-0.051923715,-0.034885086,-0.06793145,0.36111298
2005-10-25 00:00:00+00,LONG,1819,0.9333333333333333,-0.026680337,0.013311073,-0.055978477,0.4859086
2005-10-27 00:00:00+00,LONG,2557,0.4114283028431693,-0.023619168,-0.0152356895,-0.054137107,0.68322265
2005-10-27 00:00:00+00,LONG,2912,0.10693362857031935,-0.0070744306,-0.029547583,-0.061781842,0.3260069
2005-10-27 00:00:00+00,LONG,1069,0.9130434782608696,-0.03184982,-0.022640212,-0.04896227,0.62165487
2005-10-27 00:00:00+00,LONG,3127,0.8571428571428572,-0.03268087,0.0106466655,-0.076916136,0.591636
