time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-06 00:00:00+00,LONG,2548,0.96,0.1057511,-6.751081E-4,0.0
2005-01-12 00:00:00+00,LONG,2550,0.0,0.16623531,0.02902155,0.0
2005-01-12 00:00:00+00,LONG,2778,0.6302691573533779,0.10957495,0.0035800885,0.0
2005-01-13 00:00:00+00,LONG,780,0.0,0.13851482,-3.6097603E-4,0.0
2005-01-19 00:00:00+00,LONG,3994,0.9777777777777777,0.105291575,0.011668205,0.0
2005-01-20 00:00:00+00,LONG,142,0.7171464085278801,0.14051048,0.019501328,0.0
2005-01-20 00:00:00+00,LONG,3994,0.9555555555555556,0.14316013,0.03055711,0.0
2005-01-21 00:00:00+00,LONG,142,0.7386093563607027,0.12796935,0.008564539,0.0
2005-01-21 00:00:00+00,LONG,2248,1.0,0.12513845,0.0076203234,0.0
2005-01-21 00:00:00+00,LONG,1615,0.0,0.13781701,-0.0031845814,0.0
2005-01-21 00:00:00+00,LONG,3994,0.9333333333333333,0.13305174,0.012513421,0.0
2005-01-24 00:00:00+00,LONG,1,0.0,0.10666667,0.008758622,0.0
2005-01-24 00:00:00+00,LONG,142,0.6600240504941072,0.15038721,0.004694561,0.0
2005-01-24 00:00:00+00,LONG,183,0.0,0.10712183,0.030865856,0.0
2005-01-24 00:00:00+00,LONG,2248,0.9827586206896551,0.11421174,-0.00995721,0.0
2005-01-24 00:00:00+00,LONG,2567,0.0,0.15319866,0.05249287,0.0
2005-01-24 00:00:00+00,LONG,2877,1.0,0.109683074,-0.0029718368,0.0
2005-01-24 00:00:00+00,LONG,3853,1.0,0.13059857,0.035194326,0.0
2005-01-25 00:00:00+00,LONG,2066,0.7335350208518384,0.13657957,0.01108269,0.0
2005-01-25 00:00:00+00,LONG,142,0.5845989377234988,0.14246231,-0.0060869227,0.0
2005-01-25 00:00:00+00,LONG,323,1.0,0.13278401,0.034282327,0.0
2005-01-25 00:00:00+00,LONG,429,0.0,0.17464855,0.0024493535,0.0
2005-01-25 00:00:00+00,LONG,2567,0.0,0.13135593,0.025764683,0.0
2005-01-25 00:00:00+00,LONG,2686,1.0,0.11489899,0.016961938,0.0
2005-01-25 00:00:00+00,LONG,3596,0.0,0.1574026,0.028294368,0.0
2005-01-25 00:00:00+00,LONG,3699,0.0,0.17583081,0.01851176,0.0
2005-01-25 00:00:00+00,LONG,3853,0.9777777777777777,0.114836544,0.010648691,0.0
2005-01-25 00:00:00+00,LONG,1966,1.0,0.1125687,0.004283898,0.0
2005-01-26 00:00:00+00,LONG,2567,0.0,0.12627119,0.012663276,0.0
2005-01-26 00:00:00+00,LONG,3596,0.0,0.13547052,-0.010301484,0.0
2005-01-26 00:00:00+00,LONG,3699,0.0,0.1554878,-0.008164752,0.0
2005-01-27 00:00:00+00,LONG,684,0.0,0.121356755,0.010219032,0.0
2005-01-27 00:00:00+00,LONG,3470,0.4468800984768633,0.1179897,0.012815905,0.0
2005-01-27 00:00:00+00,LONG,1514,1.0,0.11123853,0.0100427605,0.0
2005-01-27 00:00:00+00,LONG,3596,0.0,0.14997432,-0.009076106,0.0
2005-01-27 00:00:00+00,LONG,3912,0.0,0.13811576,0.008532282,0.0
2005-01-27 00:00:00+00,LONG,3918,0.5599568806079668,0.13952255,0.0019956885,0.0
2005-01-28 00:00:00+00,LONG,1,0.0,0.11361772,-0.0064599956,0.0
2005-01-28 00:00:00+00,LONG,64,0.6236082041177198,0.12284585,6.42894E-4,0.0
2005-01-28 00:00:00+00,LONG,2567,0.0,0.15497553,-0.002064766,0.0
2005-01-28 00:00:00+00,LONG,2923,0.14704562679656136,0.11330194,0.0064403005,0.0
2005-01-28 00:00:00+00,LONG,918,0.8596649842144901,0.10599803,0.011227905,0.0
2005-01-28 00:00:00+00,LONG,3378,0.4318341918530674,0.11455399,0.01313387,0.0
2005-01-28 00:00:00+00,LONG,3470,0.4333715322599361,0.1059013,0.0016461388,0.0
2005-01-28 00:00:00+00,LONG,3596,0.0,0.15583076,-0.007383058,0.0
2005-01-28 00:00:00+00,LONG,3912,0.0,0.13555764,4.9326456E-5,0.0
2005-01-31 00:00:00+00,LONG,2567,0.0,0.1529699,-0.009669919,0.0
2005-01-31 00:00:00+00,LONG,1299,0.6813947224918291,0.13754444,0.00947884,0.0
2005-01-31 00:00:00+00,LONG,3470,0.642586148915231,0.10597871,-0.0061557186,0.0
2005-02-01 00:00:00+00,LONG,2923,0.0,0.113262914,-0.005655227,0.0
2005-02-01 00:00:00+00,LONG,1299,0.6199060819317226,0.11387507,-0.010211785,0.0
2005-02-02 00:00:00+00,LONG,3703,0.0,0.12975098,0.0445532,0.0
2005-02-02 00:00:00+00,LONG,1910,0.0,0.11105263,0.005852618,0.0
2005-02-03 00:00:00+00,LONG,3355,0.0,0.18870704,0.048287272,0.0
2005-02-03 00:00:00+00,LONG,1910,0.0,0.106203996,-0.0059121405,0.0
2005-02-04 00:00:00+00,LONG,3355,0.0,0.1775974,0.018867608,0.0
2005-02-07 00:00:00+00,LONG,3355,0.0,0.14630063,0.0045679943,0.0
2005-02-08 00:00:00+00,LONG,1807,0.0,0.17747077,-0.009573054,0.0
2005-02-09 00:00:00+00,LONG,3355,0.0,0.12588622,-6.671977E-4,0.0
2005-02-10 00:00:00+00,LONG,3355,0.0,0.12563165,-0.001495316,0.0
2005-02-11 00:00:00+00,LONG,522,1.0,0.11679736,-0.008209698,0.0
2005-02-11 00:00:00+00,LONG,3355,0.0,0.11995791,-0.009968157,0.0
2005-02-17 00:00:00+00,LONG,135,1.0,0.12163265,0.032166068,0.0
2005-02-17 00:00:00+00,LONG,522,0.8095238095238095,0.123548925,-0.010268968,0.0
2005-02-23 00:00:00+00,LONG,2504,0.0,0.14431138,0.034906622,0.0
2005-02-24 00:00:00+00,LONG,2504,0.0,0.105031066,-0.0087193735,0.0
2005-03-17 00:00:00+00,LONG,2006,0.4386649767580602,0.12574404,0.028872035,0.0
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,0.119760476,0.020338073,0.0
2005-03-21 00:00:00+00,LONG,2006,0.42865138639213674,0.10866261,0.015324824,0.0
2005-03-22 00:00:00+00,LONG,2006,0.38498369111906305,0.107061505,0.006001053,0.0
2005-03-24 00:00:00+00,LONG,2640,1.0,0.11383709,-0.007552198,0.0
