time,side,ticker_id,mv_up_composite_labels,delta_pe_qoq_df028,joint_fall_flag_1_20_df042,ma_cloud_diff_13_100_df007,skew_weighted_20_df037
2005-01-28 00:00:00+00,LONG,684,0.0,-16.209824,0.0,0.04716918,-0.38100672
2005-01-31 00:00:00+00,LONG,2527,1.0,12.59,0.0,-0.054745845,-0.4113442
2005-02-03 00:00:00+00,LONG,3596,0.0,1.65,0.0,-0.10077258,-0.35907963
2005-02-08 00:00:00+00,LONG,3216,0.3039198921501457,0.4627193,0.0,-0.05434864,-0.43526894
2005-02-09 00:00:00+00,LONG,3216,0.20748616694260258,0.4627193,0.0,-0.05539956,-0.40667182
2005-02-10 00:00:00+00,LONG,3216,0.2714495319554222,0.4627193,0.0,-0.056546364,-0.36398253
2005-02-10 00:00:00+00,LONG,3287,1.0,2.1496296,0.0,0.03598791,-0.34729594
2005-02-11 00:00:00+00,LONG,3287,0.9772727272727273,2.1496296,0.0,0.03001689,-0.3946544
2005-02-15 00:00:00+00,LONG,3287,0.9318181818181819,2.1496296,0.0,0.017085044,-0.428251
2005-02-17 00:00:00+00,LONG,522,0.8095238095238095,26.214285,0.0,-0.04713582,-0.3534263
2005-03-01 00:00:00+00,LONG,2504,0.0,4.205128,0.0,0.025779687,-0.34912768
2005-03-08 00:00:00+00,LONG,167,0.3211269273155696,-1.0208987,0.0,0.006023818,-0.43248084
2005-03-09 00:00:00+00,LONG,167,0.3921428452506118,-1.0208987,0.0,0.002370597,-0.36560854
2005-03-24 00:00:00+00,LONG,3612,0.5118186586543583,-7.218254,0.0,0.06380746,-0.40265533
2005-03-29 00:00:00+00,LONG,2543,0.6277649081086598,-9.103226,0.0,-0.07111767,-0.42187157
2005-03-29 00:00:00+00,LONG,1853,0.41289461155676394,0.39171124,0.0,0.07577874,-0.4214447
2005-03-30 00:00:00+00,LONG,2543,0.6346731595643297,-9.103226,0.0,-0.07330526,-0.36144382
2005-03-30 00:00:00+00,LONG,1853,0.28701443553163514,0.39171124,0.0,0.07035161,-0.34366792
2005-03-31 00:00:00+00,LONG,2543,0.5120361008074076,-9.103226,0.0,-0.07429391,-0.3527893
2005-03-31 00:00:00+00,LONG,1853,0.3078183504324915,0.39171124,0.0,0.06608599,-0.35331485
2005-04-01 00:00:00+00,LONG,2543,0.536642501859308,-9.103226,0.0,-0.075364485,-0.3448616
2005-04-01 00:00:00+00,LONG,3872,0.8666666666666667,13.805454,0.0,-0.061416578,-0.35625353
2005-04-04 00:00:00+00,LONG,405,0.8644280494138987,-7.702381,0.0,0.023040509,-0.37346402
2005-04-04 00:00:00+00,LONG,2778,0.35248800804034625,-8.198261,0.0,-0.042908147,-0.3414028
2005-04-04 00:00:00+00,LONG,1514,1.0,13.893997,0.0,-0.026381273,-0.41155913
2005-04-05 00:00:00+00,LONG,1324,0.9736842105263158,4.9934344,0.0,-0.08122269,-0.37904575
2005-04-06 00:00:00+00,LONG,1514,0.9444444444444444,13.893997,0.0,-0.03215149,-0.3642645
2005-04-08 00:00:00+00,LONG,1715,0.9365079365079365,14.272312,0.0,-0.004494763,-0.39555025
2005-04-13 00:00:00+00,LONG,3872,0.6888888888888889,13.805454,0.0,-0.07320077,-0.3414776
2005-04-14 00:00:00+00,LONG,3872,0.6666666666666666,13.805454,0.0,-0.072684035,-0.34708193
2005-04-18 00:00:00+00,LONG,786,1.0,-1.5454545,0.0,-0.059242677,-0.427047
2005-04-18 00:00:00+00,LONG,3293,0.34916576139996364,13.724513,0.0,-0.006894685,-0.34082
2005-04-18 00:00:00+00,LONG,1444,1.0,-14.247671,0.0,-0.03492878,-0.37734732
2005-04-19 00:00:00+00,LONG,142,0.3710416513709797,6.789855,0.0,-0.0516233,-0.39488745
2005-04-19 00:00:00+00,LONG,3293,0.3316806458230659,13.724513,0.0,-0.009580181,-0.3413035
2005-04-19 00:00:00+00,LONG,3791,0.9642857142857143,-3.2850072,0.0,-0.048203524,-0.40669605
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,6.789855,0.0,-0.057155386,-0.39014992
2005-04-20 00:00:00+00,LONG,1092,0.4369405843065751,-14.863976,0.0,-0.072441936,-0.3952765
2005-04-20 00:00:00+00,LONG,1585,0.8334224316755204,-1.6977941,0.0,0.008554301,-0.38649145
2005-04-20 00:00:00+00,LONG,3791,0.0,-3.2850072,0.0,-0.050814398,-0.3818778
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,2.1083333,0.0,-0.02099754,-0.40315124
2005-04-22 00:00:00+00,LONG,142,0.5963017436912298,6.789855,0.0,-0.06753682,-0.3428292
2005-04-22 00:00:00+00,LONG,786,0.8947368421052632,-1.5454545,0.0,-0.072047375,-0.3504361
2005-04-26 00:00:00+00,LONG,4122,0.42151343058115687,2.1083333,0.0,-0.034728672,-0.34645194
2005-04-27 00:00:00+00,LONG,2137,0.15753464519341415,-3.0703392,0.0,-0.013250259,-0.36754435
2005-04-27 00:00:00+00,LONG,975,0.9666666666666667,2.899603,0.0,-0.08016018,-0.38125142
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,-3.0703392,0.0,-0.018676663,-0.4022403
2005-04-28 00:00:00+00,LONG,1471,1.0,7.799091,0.0,0.0100392625,-0.36348623
2005-04-28 00:00:00+00,LONG,3890,0.7419401500313012,15.248049,0.0,0.014940333,-0.34511793
2005-04-29 00:00:00+00,LONG,4218,0.39290820799604315,25.229893,0.0,0.012954541,-0.42739365
2005-04-29 00:00:00+00,LONG,2534,0.8579474620230262,-14.583333,0.0,-0.034042154,-0.3493355
2005-04-29 00:00:00+00,LONG,975,0.41793223900069126,2.899603,0.0,-0.0851988,-0.37634176
2005-05-02 00:00:00+00,LONG,4218,0.2843782327083602,25.229893,0.0,0.007021004,-0.43176562
