time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_21_50_df059,weighted_neg_sum_10_df036,skew_weighted_20_df037,joint_fall_flag_1_10_df042
2005-01-12 00:00:00+00,LONG,4049,0.608352809037504,13.0,0.1202902,-0.3930458,0.0
2005-01-13 00:00:00+00,LONG,3897,0.0,14.0,0.12440195,-0.37798944,0.0
2005-01-13 00:00:00+00,LONG,4049,0.5557089936696797,14.0,0.114867724,-0.42304143,0.0
2005-01-14 00:00:00+00,LONG,4049,0.4851789027900652,15.0,0.11087206,-0.3158905,0.0
2005-01-18 00:00:00+00,LONG,4049,0.47343600172198663,16.0,0.099987864,-0.41170058,0.0
2005-01-25 00:00:00+00,LONG,323,1.0,13.0,0.13640043,-0.40401807,0.0
2005-01-25 00:00:00+00,LONG,2686,1.0,18.0,0.13237968,-0.4830105,0.0
2005-01-26 00:00:00+00,LONG,323,0.0,14.0,0.12251895,-0.42671046,0.0
2005-01-26 00:00:00+00,LONG,2686,0.8013269613502619,19.0,0.112366766,-0.4016048,0.0
2005-01-26 00:00:00+00,LONG,3596,0.0,16.0,0.10268111,-0.55327773,0.0
2005-01-27 00:00:00+00,LONG,323,0.9444444444444444,15.0,0.11400391,-0.36107638,0.0
2005-01-28 00:00:00+00,LONG,323,0.9166666666666666,16.0,0.11400391,-0.35795024,0.0
2005-01-31 00:00:00+00,LONG,323,0.0,17.0,0.108295016,-0.32217205,0.0
2005-01-31 00:00:00+00,LONG,3596,0.0,19.0,0.10134293,-0.4651893,0.0
2005-01-31 00:00:00+00,LONG,3699,0.0,19.0,0.13426124,-0.4290969,0.0
2005-02-01 00:00:00+00,LONG,323,0.0,18.0,0.108295016,-0.3099912,0.0
2005-02-01 00:00:00+00,LONG,3699,0.0,20.0,0.13426124,-0.28366333,0.0
2005-02-04 00:00:00+00,LONG,3596,0.0,23.0,0.09931142,-0.23746064,0.0
2005-02-08 00:00:00+00,LONG,1191,0.0,15.0,0.10437805,-0.44968507,0.0
2005-02-09 00:00:00+00,LONG,1191,0.0,16.0,0.10437805,-0.415311,0.0
2005-02-10 00:00:00+00,LONG,1191,0.0,17.0,0.10437805,-0.403365,0.0
2005-02-17 00:00:00+00,LONG,522,0.8095238095238095,17.0,0.10880553,-0.3534263,0.0
2005-03-31 00:00:00+00,LONG,505,1.0,22.0,0.13337488,-0.3495005,0.0
2005-04-01 00:00:00+00,LONG,505,0.9777777777777777,23.0,0.13337488,-0.27006844,0.0
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,13.0,0.11025585,-0.389319,0.0
2005-04-04 00:00:00+00,LONG,3641,0.9310344827586207,14.0,0.11025585,-0.42406934,0.0
2005-04-05 00:00:00+00,LONG,3641,0.9827586206896551,15.0,0.11025585,-0.3421018,0.0
2005-04-18 00:00:00+00,LONG,3127,1.0,13.0,0.12565182,-0.35957664,0.0
2005-04-22 00:00:00+00,LONG,2567,0.5192987375143616,25.0,0.12281296,-0.3029169,0.0
2005-04-26 00:00:00+00,LONG,2452,0.41052229718304145,25.0,0.1007412,-0.26774466,0.0
2005-04-27 00:00:00+00,LONG,2567,0.5170951964840058,28.0,0.10966469,-0.3913883,0.0
2005-04-28 00:00:00+00,LONG,4112,0.355161763865491,29.0,0.12824105,-0.25247845,0.0
2005-04-28 00:00:00+00,LONG,1454,0.7046065733101364,30.0,0.1329322,-0.3210013,0.0
2005-04-29 00:00:00+00,LONG,4112,0.2949141547782573,30.0,0.09861423,-0.31862822,0.0
2005-04-29 00:00:00+00,LONG,191,1.0,23.0,0.11533836,-0.31772277,0.0
2005-04-29 00:00:00+00,LONG,1099,0.0,30.0,0.10199118,-0.31789616,0.0
2005-05-02 00:00:00+00,LONG,191,0.9279035081856206,24.0,0.10433512,-0.26879892,0.0
2005-05-03 00:00:00+00,LONG,191,0.9375,25.0,0.10433512,-0.24704199,0.0
2005-05-03 00:00:00+00,LONG,3378,0.2461899776151288,17.0,0.11540771,-0.2506725,0.0
2005-05-03 00:00:00+00,LONG,3837,0.0,13.0,0.119096,-0.63824356,0.0
2005-05-04 00:00:00+00,LONG,2070,0.0,18.0,0.1289334,-0.34320104,0.0
