time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,normalized_6m_df004,ma_cloud_diff_8_50_df007
2005-07-05 00:00:00+00,LONG,73,0.5048719050076916,-0.07085538,0.21153846,-0.037443858
2005-07-05 00:00:00+00,LONG,465,0.7124815239319481,-0.3547429,0.45454547,-0.08036634
2005-07-05 00:00:00+00,LONG,505,0.7857142857142857,-0.41365615,0.1590909,-0.06816167
2005-07-05 00:00:00+00,LONG,2731,0.8601851223162422,-0.44863346,0.7307692,-0.08335681
2005-07-05 00:00:00+00,LONG,838,0.88,-0.42180756,0.1904762,-0.06400161
2005-07-05 00:00:00+00,LONG,975,0.5075562890171341,-0.16319564,0.44444445,-0.03275728
2005-07-05 00:00:00+00,LONG,1063,0.0,-0.27463558,0.15384616,-0.032465965
2005-07-05 00:00:00+00,LONG,3357,0.8372093023255813,-0.23490116,0.30769232,-0.089595
2005-07-05 00:00:00+00,LONG,3595,0.8536585365853658,-0.29500332,0.71428573,-0.040105037
2005-07-05 00:00:00+00,LONG,3828,0.39395270917730374,-0.13783307,0.37777779,-0.054005627
2005-07-05 00:00:00+00,LONG,1922,0.0,-0.3280078,0.5714286,-0.032861616
2005-07-05 00:00:00+00,LONG,2042,0.6949563053788913,-0.28663486,0.4,-0.034108855
2005-07-06 00:00:00+00,LONG,73,0.6164483555830716,-0.075529166,0.21153846,-0.03439085
2005-07-06 00:00:00+00,LONG,4172,0.0,-0.29273278,0.115384616,-0.10940428
2005-07-06 00:00:00+00,LONG,465,0.7600211405076568,-0.17760415,0.45454547,-0.07748407
2005-07-06 00:00:00+00,LONG,505,0.75,-0.16148576,0.1590909,-0.06624244
2005-07-06 00:00:00+00,LONG,2731,0.9210526315789473,-0.27007848,0.7307692,-0.08050101
2005-07-06 00:00:00+00,LONG,838,0.84,-0.27301896,0.1904762,-0.05840901
2005-07-06 00:00:00+00,LONG,3595,0.41584125292183743,-0.069345444,0.71428573,-0.032574166
2005-07-06 00:00:00+00,LONG,3828,0.45819883523167626,-0.29812035,0.4,-0.053611513
2005-07-06 00:00:00+00,LONG,1922,0.8181818181818181,-0.24703771,0.5714286,-0.0316963
2005-07-06 00:00:00+00,LONG,2042,0.4912959666161001,-0.33305964,0.37777779,-0.03498317
2005-07-07 00:00:00+00,LONG,4172,0.0,-0.1655436,0.12,-0.10044249
2005-07-07 00:00:00+00,LONG,2731,0.8181673933964638,-0.15458511,0.76,-0.074808486
2005-07-07 00:00:00+00,LONG,838,0.8,-0.22132581,0.1904762,-0.050334908
2005-07-07 00:00:00+00,LONG,3137,1.0,-0.49094135,0.3529412,-0.059931226
2005-07-07 00:00:00+00,LONG,1260,0.8192360527355603,-0.3465072,0.4,-0.035173602
2005-07-07 00:00:00+00,LONG,3355,0.0,-0.47516468,0.36666667,-0.032956123
2005-07-07 00:00:00+00,LONG,3694,0.0,-0.49554485,0.23076923,-0.034214627
2005-07-07 00:00:00+00,LONG,3702,0.9786789295787729,-0.47910413,0.75,-0.04171504
2005-07-07 00:00:00+00,LONG,3828,0.46001030379222,-0.21549456,0.42222223,-0.050778918
2005-07-07 00:00:00+00,LONG,2042,0.4935149037253383,-0.1927012,0.37777779,-0.034099765
2005-07-08 00:00:00+00,LONG,1099,0.0,-0.43651968,0.115384616,-0.061284844
2005-07-08 00:00:00+00,LONG,3694,0.0,-0.14214809,0.23076923,-0.03380475
2005-07-11 00:00:00+00,LONG,1099,0.0,-0.29781908,0.115384616,-0.063959055
2005-07-11 00:00:00+00,LONG,3702,0.9393939393939394,-0.22739047,0.75,-0.04719574
2005-07-12 00:00:00+00,LONG,1099,0.0,-0.07652262,0.115384616,-0.06335877
2005-07-12 00:00:00+00,LONG,3702,0.8544102253133113,-0.14680833,0.72727275,-0.050815307
2005-07-13 00:00:00+00,LONG,465,0.7142857142857143,-0.26621076,0.4651163,-0.06583949
2005-07-13 00:00:00+00,LONG,1260,0.7451791764352823,-0.10717667,0.4318182,-0.034378912
2005-07-13 00:00:00+00,LONG,3612,0.0,-0.49427855,0.18181819,-0.09956825
2005-07-13 00:00:00+00,LONG,3702,0.8787878787878788,-0.41203701,0.6744186,-0.054738127
2005-07-14 00:00:00+00,LONG,3612,0.0,-0.4939514,0.18181819,-0.09016943
2005-07-14 00:00:00+00,LONG,3702,0.8484848484848485,-0.304369,0.71428573,-0.05757949
2005-07-15 00:00:00+00,LONG,3702,0.8181818181818181,-0.28487882,0.70454544,-0.05975587
2005-07-18 00:00:00+00,LONG,465,0.6138975159871047,-0.15514448,0.47727272,-0.0593477
2005-07-18 00:00:00+00,LONG,3702,0.7878787878787878,-0.27811494,0.70454544,-0.058309384
2005-07-19 00:00:00+00,LONG,3702,0.7575757575757576,-0.111110166,0.7631579,-0.0566207
2005-07-20 00:00:00+00,LONG,1356,0.25919541521031614,-0.57066065,0.18181819,-0.05857357
2005-07-21 00:00:00+00,LONG,1356,0.1647030293340591,-0.37225118,0.18181819,-0.060044535
2005-07-26 00:00:00+00,LONG,1715,1.0,-0.516206,0.68292683,-0.037549026
2005-07-27 00:00:00+00,LONG,2686,0.5393719584225181,-0.43444037,0.24489796,-0.03529584
2005-07-27 00:00:00+00,LONG,1715,0.9814814814814815,-0.49092677,0.7,-0.03918615
2005-07-28 00:00:00+00,LONG,2686,0.5273185063884287,-0.42024383,0.25,-0.04675932
2005-07-28 00:00:00+00,LONG,1715,0.962962962962963,-0.20501435,0.7,-0.03830198
2005-07-29 00:00:00+00,LONG,2686,0.5592183097135217,-0.44256812,0.75,-0.060192913
2005-07-29 00:00:00+00,LONG,1715,0.9444444444444444,-0.14269994,0.72727275,-0.036031093
2005-08-01 00:00:00+00,LONG,2686,0.5716849640706825,-0.42619815,0.7692308,-0.07259632
2005-08-02 00:00:00+00,LONG,2686,0.5899617166790571,-0.4475439,0.7692308,-0.06891517
2005-08-02 00:00:00+00,LONG,4050,0.8152426468696852,-0.4233346,0.1627907,-0.03781455
2005-08-03 00:00:00+00,LONG,4050,0.8107348331384032,-0.2059034,0.14634146,-0.038923856
2005-08-09 00:00:00+00,LONG,429,0.0,-0.063220225,0.33333334,-0.04704353
2005-08-09 00:00:00+00,LONG,1939,0.7894736842105263,-0.357562,0.121212125,-0.06963336
2005-08-10 00:00:00+00,LONG,429,0.0,-0.100051075,0.28846154,-0.046136457
2005-08-10 00:00:00+00,LONG,2778,0.0,-0.5426419,0.31578946,-0.034603085
2005-08-11 00:00:00+00,LONG,429,0.0,-0.29147688,0.32,-0.04402415
2005-08-11 00:00:00+00,LONG,2778,0.1824766478779779,-0.42463335,0.31578946,-0.040420044
2005-08-11 00:00:00+00,LONG,3621,0.177454596869109,-0.57498974,0.6315789,-0.033242337
2005-08-12 00:00:00+00,LONG,429,0.0,-0.2388901,0.3653846,-0.0454339
2005-08-12 00:00:00+00,LONG,2778,0.0,-0.3976384,0.2631579,-0.047440078
2005-08-12 00:00:00+00,LONG,3621,0.0,-0.37534392,0.7368421,-0.03875124
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,-0.47616887,0.6923077,-0.07348155
2005-08-15 00:00:00+00,LONG,429,0.0,-0.06998177,0.34615386,-0.04466127
2005-08-15 00:00:00+00,LONG,2778,0.0,-0.36516425,0.22222222,-0.05470259
2005-08-15 00:00:00+00,LONG,3621,0.0,-0.22478366,0.7222222,-0.04308132
2005-08-15 00:00:00+00,LONG,3882,0.0,-0.13778698,0.6923077,-0.08316985
2005-08-16 00:00:00+00,LONG,192,0.5033951994799554,-0.50582135,0.5483871,-0.0339563
2005-08-16 00:00:00+00,LONG,429,0.0,-0.47358856,0.36,-0.04306198
2005-08-16 00:00:00+00,LONG,2778,0.0,-0.38495857,0.21052632,-0.05862059
2005-08-16 00:00:00+00,LONG,3621,0.0,-0.26861405,0.7368421,-0.04375862
