time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,dist_high52_vol_norm_20_df015,dist_lower_bb_20_2.5_df055,dist_lower_bb_20_2.0_df055,earnings_price_gap_df010
2005-01-24 00:00:00+00,LONG,1615,0.0,-0.10474019,-0.41549408,-0.088617116,-0.05494535,0.0
2005-01-25 00:00:00+00,LONG,2681,0.5121395462962478,-0.093882605,-0.41005093,-0.028788915,-0.015909934,0.0
2005-01-25 00:00:00+00,LONG,3596,0.0,-0.1574026,-0.41972923,-0.05469461,-0.019850785,0.0
2005-01-25 00:00:00+00,LONG,1667,0.26289468945933714,-0.108168386,-0.3648259,-0.07418674,-0.043180455,0.0
2005-01-26 00:00:00+00,LONG,2508,0.0,-0.09063444,-0.40407863,-0.04702551,-0.030176837,0.0
2005-01-26 00:00:00+00,LONG,3596,0.0,-0.13547052,-0.4119407,-0.09307831,-0.05751164,0.0
2005-01-26 00:00:00+00,LONG,1667,0.21816869407410916,-0.09156493,-0.35928172,-0.09970667,-0.06928258,0.0
2005-01-27 00:00:00+00,LONG,3596,0.0,-0.14997432,-0.40012032,-0.08767018,-0.052919026,0.0
2005-01-27 00:00:00+00,LONG,1615,0.0,-0.09547619,-0.4291236,-0.10971816,-0.08109299,0.0
2005-01-28 00:00:00+00,LONG,3596,0.0,-0.15583076,-0.41765594,-0.08098584,-0.04712935,0.0
2005-02-01 00:00:00+00,LONG,2527,0.9545454545454546,-0.13410081,-0.37024108,-0.008276493,0.01277559,-0.007843138
2005-02-02 00:00:00+00,LONG,3918,0.45121853213185925,-0.09421053,-0.3502439,-0.107925706,-0.08492648,0.0
2005-02-02 00:00:00+00,LONG,1910,0.0,-0.11105263,-0.3776329,-0.006345592,0.0037190367,0.0
2005-02-03 00:00:00+00,LONG,1910,0.0,-0.106203996,-0.3629742,-0.017373351,-0.006944525,0.0
2005-02-16 00:00:00+00,LONG,522,0.0,-0.10993053,-0.39577663,-0.06687339,-0.04983917,0.0
2005-03-28 00:00:00+00,LONG,1064,0.0,-0.09458128,-0.35701177,-0.08495275,-0.064793065,0.0
