time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,skew_weighted_10_df037,ma_cloud_diff_8_50_df007,volume_spike_10_df057,ev_ebitda_sector_relative_df085
2005-01-24 00:00:00+00,LONG,2248,0.9827586206896551,1.0,-0.2884228,-0.09637325,0.47190514,-0.0279
2005-01-25 00:00:00+00,LONG,142,0.5845989377234988,1.0,-0.61467916,-0.09914912,0.04384858,1.0659
2005-01-25 00:00:00+00,LONG,2248,0.9655172413793104,1.0,-0.4664629,-0.10045772,0.20194277,-0.0275
2005-01-25 00:00:00+00,LONG,429,0.0,1.0,-0.13464451,-0.119046144,0.4841135,0.6424
2005-01-26 00:00:00+00,LONG,2248,0.9482758620689655,1.0,-0.19583973,-0.101596065,0.5331057,-0.0274
2005-01-28 00:00:00+00,LONG,3596,0.0,1.0,-0.53824425,-0.12518322,0.27840152,0.4423
2005-01-31 00:00:00+00,LONG,2835,0.0,1.0,0.04248605,-0.11797089,0.17362522,0.6406
2005-02-08 00:00:00+00,LONG,3912,0.0,1.0,-0.43807974,-0.08592252,0.2606434,0.5533
2005-04-22 00:00:00+00,LONG,1,0.0,1.0,-0.076565914,-0.08354758,0.106499605,0.8566
2005-04-22 00:00:00+00,LONG,3273,1.0,1.0,-0.39290252,-0.1237648,0.17579246,0.7839
2005-04-29 00:00:00+00,LONG,2133,0.8131791695060228,1.0,-0.24675612,-0.10171472,0.37851816,0.7407
2005-05-03 00:00:00+00,LONG,2133,0.9523809523809523,1.0,-0.39137536,-0.10641843,0.076014556,0.7909
2005-05-03 00:00:00+00,LONG,386,0.28523954494022263,1.0,-0.14416638,-0.11119113,0.18806694,0.7694
2005-05-03 00:00:00+00,LONG,2742,0.935483870967742,1.0,-0.03818313,-0.09987607,0.19988513,0.5772
2005-05-04 00:00:00+00,LONG,309,0.650283369075056,1.0,-0.07972148,-0.10050781,0.21987484,0.7818
2005-05-04 00:00:00+00,LONG,2816,0.7124576802995499,1.0,-0.1471163,-0.082846865,0.58184856,0.6139
2005-05-05 00:00:00+00,LONG,2133,0.9047619047619048,1.0,-0.5995839,-0.110271916,0.21801808,0.7969
2005-05-05 00:00:00+00,LONG,386,0.2810255210675672,1.0,-0.0011383645,-0.10433138,-0.06867701,0.8151
2005-05-05 00:00:00+00,LONG,2742,0.8317476180910414,1.0,0.13884024,-0.08935972,0.1477966,0.6099
2005-05-05 00:00:00+00,LONG,2816,0.9642857142857143,1.0,-0.3078365,-0.08890587,0.5132957,0.6122
2005-05-06 00:00:00+00,LONG,2133,0.7312930040861085,1.0,-0.39431134,-0.11076067,0.03552569,0.8174
2005-05-06 00:00:00+00,LONG,309,0.5052062746356267,1.0,-0.19459707,-0.09574423,0.58244824,0.8124
2005-05-09 00:00:00+00,LONG,1700,0.7857142857142857,1.0,-0.30936024,-0.113188356,0.34286463,0.8287
2005-05-10 00:00:00+00,LONG,2133,0.6582371347882521,1.0,-0.20853853,-0.10600401,0.22070366,0.8765
2005-05-10 00:00:00+00,LONG,2816,0.8571428571428572,1.0,-0.22191435,-0.08584,0.54549396,0.9616
2005-06-02 00:00:00+00,LONG,4118,1.0,1.0,0.0144992145,-0.113062516,0.6581162,0.7035
2005-06-06 00:00:00+00,LONG,4118,0.9615384615384616,1.0,-0.12649207,-0.1042682,0.040595397,0.7189
2005-06-07 00:00:00+00,LONG,4118,0.9423076923076923,1.0,0.0070598037,-0.09797577,0.19593221,0.7231
2005-06-09 00:00:00+00,LONG,4118,0.9038461538461539,1.0,0.017604489,-0.08721456,0.44209892,0.7204
2005-06-09 00:00:00+00,LONG,3652,0.34608340155201517,1.0,-0.03325075,-0.12519634,0.46305165,0.9401
2005-06-16 00:00:00+00,LONG,3652,0.21874301368072563,1.0,0.018160585,-0.09476839,0.012021556,0.9341
2005-06-17 00:00:00+00,LONG,3652,0.20238331338139276,1.0,-0.0070470334,-0.08866231,0.29957736,0.9532
2005-06-23 00:00:00+00,LONG,3357,1.0,1.0,-0.20854664,-0.09090632,0.37934855,0.3047
2005-06-28 00:00:00+00,LONG,3357,0.6862435806860413,1.0,-0.004692655,-0.095165744,-0.07978901,0.314
2005-07-06 00:00:00+00,LONG,4172,0.0,1.0,-0.29273278,-0.10940428,0.2937855,0.4263
2005-08-23 00:00:00+00,LONG,3882,0.0,1.0,-0.054252926,-0.09435428,0.53052634,0.0207
2005-09-29 00:00:00+00,LONG,4118,1.0,1.0,-0.21014094,-0.091440976,0.5370282,0.6214
2005-09-29 00:00:00+00,LONG,1258,0.23673831975672163,1.0,-0.0752289,-0.09000451,0.13528265,0.5207
2005-09-30 00:00:00+00,LONG,1258,0.20845279066567712,1.0,-0.014422241,-0.08356527,0.473531,0.5252
2005-10-14 00:00:00+00,LONG,1447,0.4827969762429215,1.0,-0.06456546,-0.1031438,0.05922056,0.0
2005-10-19 00:00:00+00,LONG,2088,0.1308642453695916,1.0,-0.039376546,-0.11047383,0.448062,0.5453
2005-10-21 00:00:00+00,LONG,2999,0.0,1.0,-0.051711977,-0.09354482,0.59774995,0.5129
2005-10-25 00:00:00+00,LONG,2226,0.6107668242011477,1.0,0.08279353,-0.12574404,0.6184237,1.0218
2005-10-25 00:00:00+00,LONG,243,0.0,1.0,-0.15852812,-0.09739154,0.2436279,0.4312
2005-10-26 00:00:00+00,LONG,243,0.20393345784787067,1.0,-0.15238187,-0.09892616,0.42339262,0.4115
2005-10-26 00:00:00+00,LONG,3513,1.0,1.0,-0.14939192,-0.08263568,0.21893491,0.7878
2005-10-28 00:00:00+00,LONG,243,0.1641665284493136,1.0,-0.05944026,-0.10318058,-0.015150194,0.4005
2005-10-31 00:00:00+00,LONG,243,0.1666423753884233,1.0,-0.044570353,-0.101570725,0.28989145,0.4032
2005-10-31 00:00:00+00,LONG,2370,0.6090206265775254,1.0,-0.45284063,-0.11111011,0.14934364,0.4755
2005-10-31 00:00:00+00,LONG,2661,0.4032009622943625,1.0,-0.2529847,-0.09014414,0.15640719,0.5131
2005-11-01 00:00:00+00,LONG,167,0.9393939393939394,1.0,-0.3704147,-0.1041348,0.03742802,0.209
2005-11-01 00:00:00+00,LONG,2370,0.5235121332674758,1.0,0.008550977,-0.10843727,0.48207173,0.4845
2005-11-02 00:00:00+00,LONG,2370,0.4446601690529144,1.0,0.087443046,-0.10396741,0.035172123,0.4832
2005-11-03 00:00:00+00,LONG,167,0.8787878787878788,1.0,0.14323024,-0.10327024,0.34741145,0.2147
2005-11-17 00:00:00+00,LONG,853,0.0,1.0,-0.00875883,-0.09516407,0.19498731,0.0865
2005-11-18 00:00:00+00,LONG,853,0.0,1.0,-0.008903727,-0.08976956,0.13978495,0.0935
2005-11-18 00:00:00+00,LONG,984,0.4339246422447669,1.0,-0.35302195,-0.08796634,0.33465683,0.5518
2005-11-21 00:00:00+00,LONG,853,0.06740683513060158,1.0,0.0025106254,-0.08721721,-0.055192016,0.0929
2005-11-21 00:00:00+00,LONG,3773,0.0,1.0,-0.3094828,-0.123423904,0.22514932,0.4378
2005-11-22 00:00:00+00,LONG,3694,0.4048574194232341,1.0,-0.27099454,-0.08682774,0.3032172,0.6868
2005-11-23 00:00:00+00,LONG,3694,0.3604918824320583,1.0,-0.06658186,-0.08491768,0.054122318,0.6889
2005-12-05 00:00:00+00,LONG,28,0.4643267694154682,1.0,-0.57712525,-0.08047477,0.46479973,-0.0618
2005-12-06 00:00:00+00,LONG,28,0.4971471041208017,1.0,-0.559886,-0.08172079,0.21084905,-0.0598
2005-12-27 00:00:00+00,LONG,2720,0.45833333333333337,1.0,0.023916654,-0.119133115,0.23255493,0.0013
2005-12-29 00:00:00+00,LONG,2720,0.375,1.0,-0.038276374,-0.10695504,0.09768697,-2.0E-4
2006-01-04 00:00:00+00,LONG,3915,0.0,1.0,-0.6672097,-0.12774767,-0.039527237,0.9966
2006-01-26 00:00:00+00,LONG,157,0.7272727272727273,1.0,-0.37644345,-0.11227431,0.008484849,-0.0241
2006-02-03 00:00:00+00,LONG,2070,0.46278692151921635,1.0,-0.5029272,-0.07970523,0.6042516,0.3338
2006-02-06 00:00:00+00,LONG,157,0.40909090909090906,1.0,0.07149432,-0.08841071,-0.075514875,-0.0241
2006-02-06 00:00:00+00,LONG,610,0.0,1.0,-0.31445065,-0.12139803,0.064236335,0.9541
2006-02-07 00:00:00+00,LONG,2070,0.5664011374536513,1.0,-0.5210554,-0.0864572,0.24126033,0.3252
2006-02-07 00:00:00+00,LONG,610,0.8863636363636364,1.0,-0.30687866,-0.12302402,0.45435366,0.9939
2006-02-08 00:00:00+00,LONG,2070,0.38773336077615594,1.0,-0.38236356,-0.08940249,0.039871864,0.3618
2006-02-09 00:00:00+00,LONG,2070,0.0,1.0,-0.44221348,-0.092559755,0.03810922,0.3539
2006-02-09 00:00:00+00,LONG,610,0.0,1.0,-0.23099256,-0.10829774,-0.0027538727,0.9759
2006-02-10 00:00:00+00,LONG,2285,0.0,1.0,0.16682614,-0.10645114,-0.08473212,0.675
2006-02-15 00:00:00+00,LONG,2285,0.0,1.0,0.026250573,-0.09802889,-0.08526969,0.672
2006-02-17 00:00:00+00,LONG,2085,0.0,1.0,-0.11179377,-0.09478145,0.26815507,0.6757
2006-02-22 00:00:00+00,LONG,2085,0.0,1.0,-0.28371176,-0.10175804,0.091515586,0.674
2006-02-28 00:00:00+00,LONG,1667,0.0,1.0,-0.047428083,-0.087509625,-0.058716465,0.7843
2006-03-01 00:00:00+00,LONG,1667,0.0,1.0,-0.07949133,-0.087460324,0.27725437,0.7809
2006-03-07 00:00:00+00,LONG,1280,0.0,1.0,-0.5235324,-0.09758032,0.26040927,0.7457
2006-03-08 00:00:00+00,LONG,2569,0.5584297186257614,1.0,-0.13926715,-0.10404027,0.3131478,0.9402
2006-03-08 00:00:00+00,LONG,3283,0.2103276418937557,1.0,-0.2589335,-0.090062365,0.3643214,1.0844
2006-03-20 00:00:00+00,LONG,2690,0.3091880194989925,1.0,-0.108107194,-0.111685626,-0.06893271,0.034
2006-03-23 00:00:00+00,LONG,3699,0.0,1.0,-0.18162727,-0.082838275,0.06849374,0.437
2006-03-27 00:00:00+00,LONG,3699,0.0,1.0,-0.15397458,-0.089956135,0.11976089,0.4413
2006-03-28 00:00:00+00,LONG,3699,0.0,1.0,-0.33284664,-0.08660362,0.030232139,0.4415
2006-03-29 00:00:00+00,LONG,2815,0.0,1.0,-0.28947318,-0.11190973,-0.04658385,0.4947
2006-06-02 00:00:00+00,LONG,397,0.8333333333333334,1.0,0.003443444,-0.08092057,0.48162097,0.0
2006-06-13 00:00:00+00,LONG,335,1.0,1.0,-0.25368306,-0.10381149,0.39236793,0.553
2006-06-21 00:00:00+00,LONG,1051,0.3940783953885224,1.0,-0.0851547,-0.093557425,0.033854764,0.0
2006-06-23 00:00:00+00,LONG,3466,0.2725388772345155,1.0,4.2432727E-4,-0.11982378,-0.030217694,0.0227
2006-06-23 00:00:00+00,LONG,3613,0.0,1.0,-0.044526905,-0.11544805,0.021826252,0.0265
2006-06-26 00:00:00+00,LONG,1298,0.0,1.0,0.14285183,-0.12539235,0.20766647,0.0066
2006-06-26 00:00:00+00,LONG,3613,0.0,1.0,0.13077524,-0.10672482,0.09095458,0.0269
2006-07-20 00:00:00+00,LONG,76,0.9444444444444444,1.0,-0.2542114,-0.117936626,0.3459439,0.9829
2006-07-25 00:00:00+00,LONG,4224,0.9393939393939394,1.0,-0.2871003,-0.09264583,0.09818278,0.7276
2006-07-25 00:00:00+00,LONG,3699,0.545127341731592,1.0,-0.29093283,-0.11479736,0.16660504,0.3869
2006-07-26 00:00:00+00,LONG,323,0.8653846153846154,1.0,-0.3331053,-0.11004904,-0.047116082,0.1268
2006-07-26 00:00:00+00,LONG,3699,0.4477297094009961,1.0,-0.07137832,-0.11024305,0.11160096,0.3926
2006-07-27 00:00:00+00,LONG,76,0.8055555555555556,1.0,0.12898155,-0.08692348,-0.08519795,0.9919
2006-07-27 00:00:00+00,LONG,3699,0.4695761420541318,1.0,0.08115323,-0.10462906,0.059569076,0.3945
2006-07-28 00:00:00+00,LONG,2877,0.5495755101417745,1.0,-0.20393412,-0.098161586,0.063649565,0.8283
2006-07-31 00:00:00+00,LONG,2877,0.39547210107546205,1.0,-0.3568847,-0.099989176,0.3567753,0.8288
2006-08-03 00:00:00+00,LONG,522,1.0,1.0,-0.0029990526,-0.086979106,0.6389875,0.8448
2006-08-04 00:00:00+00,LONG,522,0.9565217391304348,1.0,0.065552585,-0.08704331,0.3801315,0.9339
2006-08-07 00:00:00+00,LONG,2923,0.6108081682843287,1.0,-0.19457471,-0.082993686,0.30404103,0.5223
2006-08-14 00:00:00+00,LONG,3137,0.9444444444444444,1.0,-0.33686358,-0.114148185,0.15078044,0.3335
2006-08-14 00:00:00+00,LONG,1650,0.8095238095238095,1.0,0.026240407,-0.12766364,0.39899603,0.4518
2006-08-22 00:00:00+00,LONG,694,0.8,1.0,-0.34507677,-0.092520535,0.012486126,0.6897
2006-08-29 00:00:00+00,LONG,881,0.3172882361999635,1.0,-0.21751834,-0.09531672,0.37835363,0.0
2006-08-30 00:00:00+00,LONG,881,0.2279915343167637,1.0,-0.1042638,-0.09432767,0.61102086,0.0
2006-08-31 00:00:00+00,LONG,881,0.0,1.0,-0.20165557,-0.09152305,-0.052315895,0.0
2006-09-01 00:00:00+00,LONG,881,0.2614191674022413,1.0,-0.08731408,-0.08671417,0.16020916,0.0
2006-09-05 00:00:00+00,LONG,881,0.0,1.0,0.16367835,-0.080246545,0.14010645,0.0
2006-09-25 00:00:00+00,LONG,498,0.489519317298906,1.0,-0.2499264,-0.09286142,0.17067847,0.3316
