time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,skew_weighted_20_df037,velocity_eps_9m_univ_zscore_df051,price_drift_abs_1_df006
2005-01-25 00:00:00+00,LONG,2686,1.0,-0.034494136,-0.4830105,-0.003655093,0.007183908
2005-01-28 00:00:00+00,LONG,2430,0.4536871866872061,-0.008057267,-0.42629918,-0.031012231,0.0075085326
2005-01-28 00:00:00+00,LONG,3918,0.4970819102293861,-0.016983315,-0.41421434,-0.049322497,0.025277436
2005-02-01 00:00:00+00,LONG,3216,0.21462690962747302,-0.02698749,-0.5054853,-0.024757298,0.008125
2005-02-02 00:00:00+00,LONG,2923,0.16739787029490608,-0.04110845,-0.5068511,-0.008851496,0.006287227
2005-02-03 00:00:00+00,LONG,786,0.0,-0.021445569,-0.39252418,-0.002067906,0.0069672926
2005-02-03 00:00:00+00,LONG,2923,0.14597270459678033,-0.042801123,-0.4178564,-0.014870231,0.007659008
2005-02-04 00:00:00+00,LONG,2923,0.84375,-0.044650726,-0.42454404,-0.013302488,0.010575017
2005-02-04 00:00:00+00,LONG,3216,0.20365061425504244,-0.034705248,-0.45365795,-0.043613877,0.008114857
2005-02-04 00:00:00+00,LONG,3355,0.0,-0.039385255,-0.3973589,-0.004642091,0.021989107
2005-02-07 00:00:00+00,LONG,3355,0.0,-0.044688534,-0.37224022,-0.002923556,0.0067114094
2005-02-08 00:00:00+00,LONG,918,0.7407407407407407,-0.036415745,-0.38228345,-0.02796048,0.009158308
2005-02-09 00:00:00+00,LONG,88,0.0,-0.045849536,-0.36898997,-0.008297919,0.00990099
2005-02-10 00:00:00+00,LONG,3907,0.5030007549538967,-0.041823525,-0.42210776,-0.050216146,0.010035721
2005-02-11 00:00:00+00,LONG,3287,0.9772727272727273,-0.0070437705,-0.3946544,-0.012806688,0.0071965978
2005-03-02 00:00:00+00,LONG,11,0.0,0.082820654,-0.42286935,-0.026865259,0.0085572265
2005-03-04 00:00:00+00,LONG,11,0.0,0.046931025,-0.44631565,-0.027246045,0.02438861
2005-03-09 00:00:00+00,LONG,3255,0.0,0.08129726,-0.5013825,-0.039923836,0.020833334
2005-03-10 00:00:00+00,LONG,3255,0.8270268134900544,0.07566358,-0.50795007,-0.04012789,0.015780142
2005-03-15 00:00:00+00,LONG,3255,0.6569882844826271,0.06068782,-0.39866075,-0.026246915,0.0066842567
2005-03-16 00:00:00+00,LONG,1916,1.0,-0.006373129,-0.37275276,-0.033322953,0.024354244
2005-03-17 00:00:00+00,LONG,2247,0.828675398706373,-0.012519736,-0.47437245,-0.032355737,0.016245235
2005-03-17 00:00:00+00,LONG,3255,0.6222541512932397,0.050363056,-0.43280444,-0.024215175,0.0056042033
2005-03-18 00:00:00+00,LONG,2247,0.7337443989436876,-0.016169108,-0.473569,-0.033021845,0.0056942618
2005-03-18 00:00:00+00,LONG,3273,0.5263157894736843,-0.048714858,-0.4555068,-0.03510135,0.013880695
2005-03-21 00:00:00+00,LONG,4197,0.4061958573875883,-0.01822504,-0.50817156,-0.027950862,0.009751434
2005-03-21 00:00:00+00,LONG,3255,0.6026420668496977,0.04047884,-0.3729375,-0.021707665,0.011703057
2005-03-21 00:00:00+00,LONG,1817,0.0,0.054516535,-0.38329822,-0.0127540175,0.027447393
2005-03-23 00:00:00+00,LONG,3255,0.5944965234806168,0.030789854,-0.40112844,-0.02231582,0.016268788
2005-04-12 00:00:00+00,LONG,2690,0.0,0.06652464,-0.4319939,-0.04589828,0.028571928
2005-04-13 00:00:00+00,LONG,2690,0.0,0.05613895,-0.4462827,-0.045607932,0.024921713
2005-04-14 00:00:00+00,LONG,2690,0.0,0.04646715,-0.45230395,-0.048886668,0.015426438
2005-04-20 00:00:00+00,LONG,1585,0.8334224316755204,-0.0016130079,-0.38649145,-0.021488162,0.03228286
2005-04-22 00:00:00+00,LONG,4073,1.0,0.0017730381,-0.5036619,-0.028056422,0.015286923
2005-05-09 00:00:00+00,LONG,1064,0.5584800795836248,-0.0026234942,-0.37250534,-0.04046346,0.034985423
2005-06-24 00:00:00+00,LONG,3271,0.6044237752753003,0.0015265944,-0.427414,-0.030263647,0.01307054
2005-06-27 00:00:00+00,LONG,3271,0.6635606595003158,-3.8234604E-4,-0.40393257,-0.03107611,0.0058860625
2005-08-09 00:00:00+00,LONG,3621,0.19999966178411377,-0.0055724434,-0.42998788,-0.036819406,0.008297896
2005-08-16 00:00:00+00,LONG,1939,0.6578947368421053,-0.005353683,-0.3870621,-0.0033724855,0.027891714
