time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,normalized_3m_df003,pe_ratio_sector_relative_df083
2005-04-18 00:00:00+00,LONG,3127,1.0,-0.12964286,0.5324074,0.2071
2005-04-26 00:00:00+00,LONG,386,0.40915314743131065,-0.15807503,0.33257404,0.2579
2005-04-28 00:00:00+00,LONG,1454,0.7046065733101364,-0.13143161,0.26277372,0.1663
2005-04-29 00:00:00+00,LONG,2133,0.8131791695060228,-0.1534449,0.3092551,0.2158
2005-04-29 00:00:00+00,LONG,309,0.7379318653512232,-0.13595541,0.3295711,0.1551
2005-05-02 00:00:00+00,LONG,2133,0.9761904761904762,-0.13370165,0.31685394,0.2176
2005-05-02 00:00:00+00,LONG,309,0.9545454545454546,-0.118438184,0.31910113,0.1548
2005-05-03 00:00:00+00,LONG,2070,0.0,-0.13757032,0.43146068,0.0699
2005-05-03 00:00:00+00,LONG,2133,0.9523809523809523,-0.12889487,0.3225058,0.2165
2005-05-03 00:00:00+00,LONG,1807,0.6538751313046827,-0.1881579,0.31730768,-0.265
2005-05-04 00:00:00+00,LONG,1807,0.514694895913946,-0.18806745,0.29126215,-0.2658
2005-05-05 00:00:00+00,LONG,2070,0.0,-0.121658154,0.239819,0.0568
2005-05-05 00:00:00+00,LONG,2133,0.9047619047619048,-0.11880072,0.3122172,0.2155
2005-05-05 00:00:00+00,LONG,2548,0.8333333333333334,-0.13235295,0.5817308,0.1806
2005-05-06 00:00:00+00,LONG,2070,0.0,-0.14831576,0.24611974,0.058
2005-05-06 00:00:00+00,LONG,2133,0.7312930040861085,-0.13218771,0.31707317,0.2094
2005-05-06 00:00:00+00,LONG,2548,0.7916666666666667,-0.14482635,0.57466066,0.1741
2005-05-09 00:00:00+00,LONG,2133,0.72114979151711,-0.12641887,0.30242825,0.2075
2005-05-09 00:00:00+00,LONG,2548,0.75,-0.13287596,0.57990867,0.1741
2005-05-10 00:00:00+00,LONG,2070,0.0,-0.13433166,0.25669643,0.0572
2005-05-11 00:00:00+00,LONG,2070,0.0,-0.15708478,0.2488889,0.0552
2005-05-13 00:00:00+00,LONG,1297,0.6474551902287213,-0.17242268,0.367713,-0.518
2005-05-13 00:00:00+00,LONG,1453,0.0,-0.13955119,0.25277162,0.1687
2005-05-17 00:00:00+00,LONG,1297,0.4953406765024861,-0.13548388,0.40625,-0.5366
2005-05-18 00:00:00+00,LONG,1297,0.8636363636363636,-0.118888065,0.41964287,-0.5642
2005-07-07 00:00:00+00,LONG,4083,0.0,-0.12852664,0.3876652,0.1463
2005-08-17 00:00:00+00,LONG,2686,0.5840728602679314,-0.12423738,0.5243363,0.2063
2005-08-18 00:00:00+00,LONG,2686,0.5786877454145596,-0.12150056,0.5321508,0.197
2005-08-18 00:00:00+00,LONG,1444,1.0,-0.12237945,0.3171806,0.2418
2005-08-26 00:00:00+00,LONG,3114,0.0,-0.12463768,0.46086955,0.0925
2005-08-31 00:00:00+00,LONG,3114,0.0,-0.119186044,0.42982456,0.0897
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,-0.13128288,0.5422222,0.0934
2005-10-13 00:00:00+00,LONG,2546,0.37462099253351794,-0.16589862,0.47240618,0.0325
2005-10-13 00:00:00+00,LONG,1650,0.9591836734693877,-0.14944738,0.44591612,0.2627
2005-10-14 00:00:00+00,LONG,2546,0.3197534291354142,-0.14828898,0.46085012,0.0328
2005-10-17 00:00:00+00,LONG,2546,0.34362885458801923,-0.1579392,0.41216215,0.032
2005-10-18 00:00:00+00,LONG,2226,0.7263454350173506,-0.15614036,0.25652173,0.223
2005-10-18 00:00:00+00,LONG,2546,0.2707878708955461,-0.13284609,0.41216215,0.032
2005-10-20 00:00:00+00,LONG,2815,0.318316998901627,-0.15247059,0.33632287,0.2411
2005-10-21 00:00:00+00,LONG,2815,0.30640652026633947,-0.17391305,0.33620688,0.25
2005-10-24 00:00:00+00,LONG,243,0.272778622458458,-0.14771189,0.37471783,0.2305
2005-10-25 00:00:00+00,LONG,243,0.0,-0.14581957,0.37882352,0.2315
2005-10-26 00:00:00+00,LONG,243,0.20393345784787067,-0.16828135,0.35180724,0.222
2005-10-28 00:00:00+00,LONG,2661,1.0,-0.15162037,0.33187774,-0.287
2005-10-31 00:00:00+00,LONG,243,0.1666423753884233,-0.1514225,0.25056434,0.2058
2005-10-31 00:00:00+00,LONG,578,0.14802573170697075,-0.16350123,0.4108352,0.0441
2005-11-01 00:00:00+00,LONG,243,0.13977683825875048,-0.14357951,0.26511627,0.224
2005-11-01 00:00:00+00,LONG,578,0.135626790511849,-0.14386694,0.43255815,0.0443
2005-11-02 00:00:00+00,LONG,578,0.14543271680190054,-0.119555935,0.41363636,0.0434
2005-12-01 00:00:00+00,LONG,1175,0.517410863618456,-0.1310356,0.35682818,0.1799
2005-12-02 00:00:00+00,LONG,1175,0.5424564860727493,-0.11964384,0.34945056,0.1768
