time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.5_df055,co_fall_count_1_10_df044,dist_upper_bb_20_2.5_df055
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,-0.018654425,4.0,-0.008155602
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,-0.011432832,4.0,0.0047368486
2005-02-28 00:00:00+00,SHORT,2230,0.2955007800519398,-0.009353608,5.0,-0.02229762
2005-03-01 00:00:00+00,SHORT,2230,0.3521015264646416,-0.0070473575,4.0,-0.021262063
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,-0.017450651,4.0,-0.006966267
2005-03-14 00:00:00+00,SHORT,2425,0.19852216590128835,-0.018418701,4.0,-0.018698476
2005-03-15 00:00:00+00,SHORT,2042,1.0,-0.012528407,4.0,-0.014810432
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,-0.001976315,4.0,-0.009127955
2005-03-22 00:00:00+00,SHORT,3293,0.22226494094068944,-0.013331955,4.0,-0.019389406
2005-03-23 00:00:00+00,SHORT,2923,1.0,0.01809365,6.0,0.006315365
2005-03-24 00:00:00+00,SHORT,2923,0.7426934883973229,-0.009538239,6.0,-0.021298358
2005-03-28 00:00:00+00,SHORT,4218,1.0,-0.017026916,4.0,-0.0013289801
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,-0.018333085,4.0,-0.013956811
2005-04-19 00:00:00+00,SHORT,3890,0.23913707021027214,-0.018715965,5.0,-0.03326535
2005-04-25 00:00:00+00,SHORT,2297,0.0,-0.005619091,4.0,-0.02948817
2005-04-25 00:00:00+00,SHORT,2747,0.7777777777777778,-0.01822945,4.0,-0.034361135
2005-05-04 00:00:00+00,SHORT,2527,0.0,-0.018894155,4.0,-0.012809364
2005-05-09 00:00:00+00,SHORT,3052,0.0,-0.02030809,5.0,-0.025511201
2005-06-02 00:00:00+00,SHORT,220,1.0,-0.014382703,4.0,-0.018824607
2005-06-07 00:00:00+00,SHORT,4197,0.9131702621057194,-0.017599646,6.0,-0.013450996
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.005827508,6.0,0.017460912
2005-06-20 00:00:00+00,SHORT,1297,0.22841790891231653,-0.017782435,5.0,-0.021334097
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,-0.011003364,4.0,-0.0045648576
2005-07-01 00:00:00+00,SHORT,787,1.0,-0.016893836,5.0,-0.0016431843
2005-07-11 00:00:00+00,SHORT,934,0.0,-0.01936914,5.0,-0.019750414
2005-07-20 00:00:00+00,SHORT,2070,0.7810838409359055,-0.016568428,5.0,-0.013470664
2005-07-26 00:00:00+00,SHORT,13,0.3185004256560223,-0.014365958,4.0,-0.014329954
2005-07-28 00:00:00+00,SHORT,2640,0.0,-0.0120393215,4.0,-0.02536603
2005-07-28 00:00:00+00,SHORT,3273,1.0,-0.0030858475,4.0,-0.008653554
2005-08-02 00:00:00+00,SHORT,2133,0.42734021761766805,-0.01902109,4.0,-0.04409326
2005-08-02 00:00:00+00,SHORT,1299,0.5815576484720051,-0.019948993,4.0,-0.011284262
2005-08-03 00:00:00+00,SHORT,1039,0.0,0.0033055553,5.0,0.001135639
2005-08-03 00:00:00+00,SHORT,1210,0.23167060115975807,-0.019257367,4.0,-0.006479795
2005-08-04 00:00:00+00,SHORT,2430,0.19918426047399074,-0.014286286,4.0,0.001401428
2005-08-04 00:00:00+00,SHORT,1039,0.0,-0.012964141,5.0,-0.016743077
2005-08-11 00:00:00+00,SHORT,85,0.5530877325965516,-0.012598765,4.0,-8.551343E-4
2005-08-24 00:00:00+00,SHORT,2142,0.33834333364202857,-0.006245019,5.0,-2.2592897E-6
2005-08-25 00:00:00+00,SHORT,2142,0.3895254906792961,-0.01841821,5.0,-0.016874095
2005-09-08 00:00:00+00,SHORT,2276,0.8947368421052632,-0.018965896,4.0,-0.02288267
2005-09-09 00:00:00+00,SHORT,2276,0.8421052631578947,-0.0147686,4.0,-0.018799422
2005-09-09 00:00:00+00,SHORT,3100,0.7221528873003898,-0.0050183805,6.0,-0.020983724
2005-09-09 00:00:00+00,SHORT,3686,0.8001636388888144,6.3548185E-4,4.0,-0.009959566
2005-09-12 00:00:00+00,SHORT,2276,0.7894736842105263,-0.019501342,4.0,-0.023310227
2005-09-29 00:00:00+00,SHORT,1012,1.0,-0.014246585,4.0,-0.0034025041
2005-10-03 00:00:00+00,SHORT,2567,0.29354802469742813,0.012168873,5.0,-0.0059208255
2005-10-03 00:00:00+00,SHORT,1280,1.0,-0.01698142,5.0,-0.027850872
2005-10-04 00:00:00+00,SHORT,2567,0.13417654354272404,-0.018763708,4.0,-0.0378894
2005-10-06 00:00:00+00,SHORT,405,0.6358133519881053,-0.020494236,4.0,-0.01572886
2005-10-07 00:00:00+00,SHORT,405,0.7379938386169536,-0.017369553,4.0,-0.012138127
2005-11-02 00:00:00+00,SHORT,3275,0.0,0.007376825,4.0,0.0033426657
