time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,interest_coverage_normalized_df080,weighted_neg_sum_20_df036
2005-01-05 00:00:00+00,SHORT,2479,0.3561227238643028,0.56054974,0.2479,0.037320178
2005-01-06 00:00:00+00,SHORT,133,0.4702284654929653,0.31061772,0.1838,0.042561073
2005-02-08 00:00:00+00,SHORT,2367,0.6819721846116832,0.5066418,0.1855,0.034047563
2005-02-09 00:00:00+00,SHORT,2367,0.617274473260014,0.41207087,0.1855,0.04329145
2005-02-10 00:00:00+00,SHORT,2367,0.490035297066639,0.44082233,0.1855,0.041292466
2005-02-11 00:00:00+00,SHORT,2367,0.48039447731146717,0.37763724,0.1855,0.042634428
2005-02-18 00:00:00+00,SHORT,857,0.3333003837554723,0.61508393,0.2329,0.03466926
2005-02-22 00:00:00+00,SHORT,4136,0.9333333333333333,0.4216004,0.3266,0.042144556
2005-02-23 00:00:00+00,SHORT,4136,0.8666666666666667,0.4191173,0.3266,0.042144556
2005-02-24 00:00:00+00,SHORT,4136,0.0,0.40967107,0.3266,0.042144556
2005-02-25 00:00:00+00,SHORT,4136,0.0,0.40411156,0.3266,0.042709902
2005-03-03 00:00:00+00,SHORT,3841,1.0,0.4385837,0.6633,0.039836735
2005-03-04 00:00:00+00,SHORT,3841,0.9444444444444444,0.45549223,0.6633,0.038532317
2005-03-07 00:00:00+00,SHORT,3841,0.8888888888888888,0.35951445,0.6633,0.040370833
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,0.4068719,0.0524,0.03687849
2005-03-11 00:00:00+00,SHORT,3244,0.689398996745523,0.5103522,0.194,0.0327079
2005-03-14 00:00:00+00,SHORT,3244,0.5706484650577092,0.4754184,0.194,0.0327079
2005-03-16 00:00:00+00,SHORT,3244,0.5780268191115989,0.3818263,0.1153,0.03179397
2005-03-22 00:00:00+00,SHORT,3244,0.2918142913332203,0.3265872,0.1153,0.030890765
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.36647198,0.6734,0.036403712
2005-04-13 00:00:00+00,SHORT,3903,0.2444627818402051,0.4746577,0.6787,0.0354794
2005-05-13 00:00:00+00,SHORT,4070,0.31304761881650484,0.60752183,0.3177,0.042018462
2005-05-25 00:00:00+00,SHORT,1840,1.0,0.36794487,0.2286,0.041354135
2005-06-01 00:00:00+00,SHORT,195,0.0,0.5699483,0.2011,0.031652465
2005-06-02 00:00:00+00,SHORT,195,0.0,0.47253594,0.2011,0.036400802
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,0.32348472,0.0221,0.042656366
2005-06-17 00:00:00+00,SHORT,918,0.16339291464769126,0.50231165,0.2104,0.032858364
2005-06-20 00:00:00+00,SHORT,918,0.09139647115301158,0.5222376,0.2104,0.03112992
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,0.4951657,0.0768,0.04302061
2005-06-21 00:00:00+00,SHORT,918,0.08259354987952384,0.4058221,0.2104,0.041921288
2005-06-28 00:00:00+00,SHORT,918,0.0,0.35611874,0.2104,0.037290525
2005-06-30 00:00:00+00,SHORT,918,0.0,0.32609433,0.2104,0.03478118
2005-07-05 00:00:00+00,SHORT,918,0.0,0.30546162,0.201,0.037013736
2005-07-13 00:00:00+00,SHORT,791,0.0,0.32312396,0.3742,0.038939368
2005-07-27 00:00:00+00,SHORT,2196,0.7428505431346715,0.35190967,0.1241,0.034795117
2005-07-28 00:00:00+00,SHORT,370,0.33965648833475115,0.53619933,0.088,0.04066728
2005-07-29 00:00:00+00,SHORT,2638,0.0,0.3941399,0.1278,0.039086845
2005-07-29 00:00:00+00,SHORT,4013,0.41824211911162834,0.55010587,0.28,0.040368598
2005-08-01 00:00:00+00,SHORT,2196,0.3971986245609081,0.36774048,0.0711,0.031803697
2005-08-02 00:00:00+00,SHORT,2196,0.3513816735502997,0.3525442,0.0711,0.03225773
2005-08-03 00:00:00+00,SHORT,2462,0.7857142857142857,0.4731849,0.1101,0.041653115
