time,side,ticker_id,mv_dn_composite_labels,vola_roc_5_5_df040,price_drift_5_df005,joint_fall_flag_21_20_df042,accel_price_5_df021
2005-01-19 00:00:00+00,SHORT,2088,0.0,0.11617775,0.08699023,0.0,0.025188988
2005-01-31 00:00:00+00,SHORT,3443,0.802976668301267,-0.33025944,0.087027915,0.0,-0.0278949
2005-02-02 00:00:00+00,SHORT,323,0.0,-0.19269845,0.080556154,0.0,0.018086873
2005-02-02 00:00:00+00,SHORT,1677,1.0,0.03399011,0.08837549,0.0,0.004917942
2005-02-02 00:00:00+00,SHORT,1678,1.0,0.0339827,0.08836398,0.0,0.004917731
2005-02-07 00:00:00+00,SHORT,4223,0.506903904424481,-0.020836184,0.08395577,0.0,-0.007419088
2005-02-10 00:00:00+00,SHORT,1090,0.5538369190369024,-0.38536757,0.08643191,0.0,-0.0034195718
2005-03-18 00:00:00+00,SHORT,1740,0.0,-0.36387414,0.08766716,0.0,0.048408445
2005-03-28 00:00:00+00,SHORT,2661,0.23776957604756277,-0.20931026,0.08172362,0.0,-0.0210314
2005-04-07 00:00:00+00,SHORT,3573,0.5200720019419507,0.20141138,0.09014675,0.0,-0.015228676
2005-04-25 00:00:00+00,SHORT,2896,0.22634063587147235,-0.19821946,0.08165193,0.0,-0.009493141
2005-04-26 00:00:00+00,SHORT,1631,0.0,0.33319286,0.08593534,0.0,-0.030826023
2005-05-05 00:00:00+00,SHORT,602,0.2711850655916511,-0.44041055,0.09210531,0.0,0.016331092
2005-05-05 00:00:00+00,SHORT,1022,0.0,0.03336915,0.08473776,0.0,0.02669997
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,0.26723155,0.08392269,0.0,0.0036655117
2005-05-26 00:00:00+00,SHORT,11,1.0,0.12272188,0.08493028,0.0,-0.024991594
2005-05-26 00:00:00+00,SHORT,1064,0.0,-0.024662573,0.08124373,0.0,0.013574558
2005-05-27 00:00:00+00,SHORT,2815,0.19331998909118037,0.22273119,0.08166666,0.0,0.016052049
2005-06-03 00:00:00+00,SHORT,1807,0.0,-0.35541677,0.09040334,0.0,0.014957522
2005-06-14 00:00:00+00,SHORT,1144,0.0,-0.43687677,0.08241495,0.0,0.03144751
2005-06-21 00:00:00+00,SHORT,1939,1.0,-0.512981,0.08107195,0.0,-0.028586905
2005-07-01 00:00:00+00,SHORT,93,0.43475835618114883,-0.04738051,0.08148631,0.0,0.048047826
2005-07-11 00:00:00+00,SHORT,3443,0.4475376904689488,-0.024638662,0.08549618,0.0,0.008335689
2005-07-13 00:00:00+00,SHORT,588,0.0,0.03195153,0.08292135,0.0,0.03128736
2005-07-14 00:00:00+00,SHORT,3631,0.9285714285714286,0.18549795,0.0821382,0.0,9.863683E-4
2005-07-15 00:00:00+00,SHORT,1244,0.8181818181818181,-0.19517514,0.090417504,0.0,-1.6736044E-4
2005-07-21 00:00:00+00,SHORT,3433,0.21104748966986223,-0.1914315,0.08108108,0.0,0.02004286
2005-08-03 00:00:00+00,SHORT,2261,1.0,-0.23232186,0.08482759,0.0,-0.017425446
2005-08-12 00:00:00+00,SHORT,3595,0.3522253917150246,-0.410223,0.08455538,0.0,0.015948951
2005-09-06 00:00:00+00,SHORT,2497,0.9375,0.29340133,0.08844493,0.0,-0.0027338779
2005-09-13 00:00:00+00,SHORT,191,0.0,0.14673948,0.08271375,0.0,-0.035946533
2005-09-15 00:00:00+00,SHORT,397,0.0,-0.039340317,0.087268606,0.0,0.047134828
