time,side,ticker_id,mv_dn_composite_labels,weighted_pos_sum_20_df035,joint_fall_flag_5_5_df042,ma_cloud_diff_8_100_df007,dist_upper_bb_50_2.0_df055
2005-01-12 00:00:00+00,SHORT,3652,0.6166825291622086,0.10196604,0.0,0.053136908,-0.01767859
2005-01-13 00:00:00+00,SHORT,3652,0.9090909090909091,0.10126005,0.0,0.053377066,-0.014589673
2005-01-18 00:00:00+00,SHORT,578,0.3311256849256044,0.097656325,0.0,0.047980107,-0.020595474
2005-01-18 00:00:00+00,SHORT,1220,0.0,0.0808356,0.0,0.027694287,-0.01683014
2005-01-20 00:00:00+00,SHORT,2979,1.0,0.064909235,0.0,0.028854104,-0.008306342
2005-01-21 00:00:00+00,SHORT,2462,0.4042363621007479,0.07765685,0.0,0.059929527,-0.011562346
2005-01-24 00:00:00+00,SHORT,2462,0.31594921338669385,0.07791439,0.0,0.06065716,-0.012471303
2005-01-27 00:00:00+00,SHORT,3652,0.0,0.114675686,0.0,0.045154035,-0.020198837
2005-02-02 00:00:00+00,SHORT,2188,0.0,0.10546115,0.0,0.055666704,-0.018001221
2005-02-04 00:00:00+00,SHORT,91,1.0,0.11254928,0.0,0.04893264,-0.0034794607
2005-02-04 00:00:00+00,SHORT,3742,0.6762588627194943,0.09818604,0.0,0.055478673,0.007492469
2005-02-07 00:00:00+00,SHORT,91,0.7764833763299325,0.11254928,0.0,0.05111212,-0.012933948
2005-02-07 00:00:00+00,SHORT,2410,0.4582382412573718,0.13747874,0.0,0.042833425,0.014463248
2005-02-07 00:00:00+00,SHORT,2452,0.5469566607193057,0.122660816,0.0,0.049621217,0.009343338
2005-02-07 00:00:00+00,SHORT,675,0.6189015680061758,0.13467571,0.0,0.049395118,0.0152163645
2005-02-07 00:00:00+00,SHORT,1690,0.0,0.10865671,0.0,0.05881217,8.023034E-4
2005-02-07 00:00:00+00,SHORT,3742,0.6850487371929544,0.09973343,0.0,0.059122734,0.0061930665
2005-02-08 00:00:00+00,SHORT,2367,0.6819721846116832,0.10397613,0.0,0.055643454,0.0075259977
2005-02-08 00:00:00+00,SHORT,2410,0.3768328275207129,0.114371166,0.0,0.04779659,0.0027486642
2005-02-08 00:00:00+00,SHORT,2452,0.6959857238125656,0.11290019,0.0,0.057016723,0.007904455
2005-02-08 00:00:00+00,SHORT,3652,0.2025801875469939,0.10172481,0.0,0.051348615,-0.010345396
2005-02-08 00:00:00+00,SHORT,1690,0.0,0.10999294,0.0,0.060222127,-0.001337431
2005-02-08 00:00:00+00,SHORT,3742,0.5810900313403895,0.08873546,0.0,0.060282934,-0.010618869
2005-02-09 00:00:00+00,SHORT,2367,0.617274473260014,0.10397613,0.0,0.05615491,-0.014487932
2005-02-09 00:00:00+00,SHORT,2410,0.3266852295638145,0.114371166,0.0,0.048439212,-0.013799569
2005-02-09 00:00:00+00,SHORT,2452,0.5600750950457013,0.11290019,0.0,0.062576935,-0.008175909
2005-02-09 00:00:00+00,SHORT,1690,0.0,0.10999294,0.0,0.06112258,-0.01897663
2005-02-09 00:00:00+00,SHORT,1832,0.6448237495078485,0.16214763,0.0,0.020539513,-0.008167095
2005-02-10 00:00:00+00,SHORT,2367,0.490035297066639,0.10639751,0.0,0.056755215,-0.013228769
2005-02-10 00:00:00+00,SHORT,2410,0.26887851916669203,0.1149155,0.0,0.048996102,-0.014926842
2005-02-10 00:00:00+00,SHORT,1832,0.34835181236263796,0.16214763,0.0,0.030891024,-0.012679656
2005-02-11 00:00:00+00,SHORT,2410,0.21190419921759276,0.122649886,0.0,0.049624722,-0.01045204
2005-02-11 00:00:00+00,SHORT,675,0.4274425622283306,0.12770446,0.0,0.051067673,-0.022506189
2005-02-11 00:00:00+00,SHORT,1761,0.7680473719945151,0.095513485,0.0,0.017271575,-0.013574927
2005-02-11 00:00:00+00,SHORT,1832,0.06744684778637837,0.16214763,0.0,0.038871318,-0.022458212
