time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,revenue_growth_yoy_df063,dist_upper_bb_50_2.0_df055,price_to_sales_zscore_universe_df070
2005-08-04 00:00:00+00,SHORT,3052,0.19126561857226418,-0.016452877,7.09,-0.0070770714,-0.0886
2005-08-04 00:00:00+00,SHORT,1333,0.2700230363161109,-0.014361858,3.19,-0.011716427,-0.0962
2005-08-05 00:00:00+00,SHORT,2546,0.0,-0.06308861,-4.67,-0.008116933,-0.0959
2005-08-05 00:00:00+00,SHORT,862,0.11683452622364093,-0.07362442,9.58,-0.01278579,-0.0837
2005-08-05 00:00:00+00,SHORT,3067,0.0,-0.032886967,8.37,-0.013941255,-0.0888
2005-08-08 00:00:00+00,SHORT,2546,0.0,-0.061782617,-4.67,-0.01077828,-0.0925
2005-08-10 00:00:00+00,SHORT,862,0.1501740682980134,-0.05613874,9.58,-0.009698045,-0.086
2005-08-10 00:00:00+00,SHORT,1474,0.31839081931853963,-0.035922106,15.78,-0.0096898945,-0.102
2005-08-10 00:00:00+00,SHORT,1967,0.36755462575722286,-0.020573087,4.86,-0.009941959,-0.0975
2005-08-11 00:00:00+00,SHORT,862,0.11017384126381059,-0.052186515,9.58,-0.011906778,-0.0868
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,-0.004585233,16.31,-0.0056694085,-0.1022
2005-08-11 00:00:00+00,SHORT,1474,0.3067952239265803,-0.035448413,15.78,-0.009150543,-0.1031
2005-08-12 00:00:00+00,SHORT,2751,0.22343106911071797,-0.013244278,12.86,-0.0062026065,-0.0824
2005-08-12 00:00:00+00,SHORT,1173,0.0,-0.047349144,11.22,-0.0139862355,-0.0857
2005-08-12 00:00:00+00,SHORT,1474,0.28020775945645887,-0.036275875,15.78,-0.008976646,-0.1035
2005-08-15 00:00:00+00,SHORT,1474,0.3108815285558648,-0.038717553,15.78,-0.010711017,-0.1035
2005-08-16 00:00:00+00,SHORT,2391,0.8235294117647058,-0.047169674,7.75,-0.008393503,-0.0906
2005-08-17 00:00:00+00,SHORT,2747,0.5102381360036237,-0.052221734,19.92,-0.010123163,-0.1047
2005-08-18 00:00:00+00,SHORT,2391,0.7058823529411764,-0.05474805,7.75,-0.014723953,-0.0907
2005-08-18 00:00:00+00,SHORT,2747,0.4475895340955352,-0.055529486,19.92,-0.014723944,-0.105
2005-08-18 00:00:00+00,SHORT,3686,0.3842692803755244,-0.0303306,3.31,-0.014453596,-0.0973
2005-08-19 00:00:00+00,SHORT,2747,0.42816380130069753,-0.049776062,19.92,-0.01082966,-0.1053
2005-08-22 00:00:00+00,SHORT,1039,0.0,-0.028950887,19.93,-0.010822622,-0.0917
2005-08-22 00:00:00+00,SHORT,3686,0.3889189475331281,-0.0301803,3.31,-0.012351831,-0.0974
2005-08-23 00:00:00+00,SHORT,4163,0.0,-0.03180903,3.2,-0.014501348,-0.0878
2005-08-30 00:00:00+00,SHORT,3067,0.0,-0.018964885,8.37,-0.012279256,-0.0941
2005-09-02 00:00:00+00,SHORT,1668,0.332099787628739,-0.0040200213,-10.52,-0.0074476167,-0.0984
2005-09-07 00:00:00+00,SHORT,1205,0.3502243996998492,-0.01800897,11.12,-0.013118309,-0.0949
2005-09-08 00:00:00+00,SHORT,69,0.0,-0.060902677,-8.86,-0.0087823495,-0.106
2005-09-09 00:00:00+00,SHORT,69,0.0,-0.06390549,-8.86,-0.011352824,-0.1066
2005-09-09 00:00:00+00,SHORT,2248,0.6399212219856023,-0.01948363,19.71,-0.00717446,-0.0973
2005-09-12 00:00:00+00,SHORT,69,0.0,-0.05923328,-2.71,-0.0066135325,-0.1049
2005-09-12 00:00:00+00,SHORT,2291,1.0,-0.0075655114,17.31,-0.0072744032,-0.0991
2005-09-13 00:00:00+00,SHORT,3973,0.9089600274601755,-0.011234805,13.1,-0.010685633,-0.0993
2005-09-16 00:00:00+00,SHORT,3973,0.6666666666666667,-0.01333607,13.1,-0.013463349,-0.0994
2005-09-19 00:00:00+00,SHORT,869,0.8333333333333334,-0.046596006,-13.78,-0.00636091,-0.1032
2005-09-19 00:00:00+00,SHORT,3531,0.6840299578801712,-0.04150081,-3.13,-0.0061699753,-0.1081
2005-09-26 00:00:00+00,SHORT,3838,0.0,-0.04036954,8.2,-0.0066588577,-0.0937
2005-09-27 00:00:00+00,SHORT,3838,0.5945690440645814,-0.0420123,8.2,-0.011606848,-0.094
2005-09-29 00:00:00+00,SHORT,2270,0.23392095139912572,-0.011964961,1.06,-0.012871497,-0.0956
2005-10-03 00:00:00+00,SHORT,2248,1.0,-0.015855411,19.71,-0.014203347,-0.1017
2005-10-03 00:00:00+00,SHORT,3359,0.0,-0.027007092,5.13,-0.005931109,-0.0848
2005-10-03 00:00:00+00,SHORT,3838,0.15544574194068075,-0.03453931,5.95,-0.013785172,-0.1013
2005-10-04 00:00:00+00,SHORT,4123,0.8571428571428572,-0.0481614,-5.82,-0.013008782,-0.1052
2005-10-04 00:00:00+00,SHORT,559,0.23682096824506266,-0.060454886,10.92,-0.010441008,-0.0995
2005-10-04 00:00:00+00,SHORT,562,0.23376983525716757,-0.03847723,4.25,-0.0074607134,-0.0893
2005-10-04 00:00:00+00,SHORT,3067,0.5065484310807038,-0.009462258,8.37,-0.011511785,-0.0992
2005-10-04 00:00:00+00,SHORT,1840,0.0,-0.017319448,17.22,-0.0064611584,-0.1063
