time,side,ticker_id,mv_dn_composite_labels,co_fall_count_1_5_df044,normalized_12m_df003,dist_upper_bb_50_2.0_df055,normalized_6m_df004
2006-01-06 00:00:00+00,SHORT,405,0.8396667998144538,1.0,0.68281937,0.012457537,0.4318182
2006-01-10 00:00:00+00,SHORT,1423,0.2593411639607015,1.0,0.38912135,0.021616422,0.36363637
2006-01-10 00:00:00+00,SHORT,1745,0.18024598266275038,1.0,0.35164836,-0.00556145,0.22619048
2006-01-11 00:00:00+00,SHORT,2084,0.95,1.0,0.39514348,-0.013076228,0.59090906
2006-01-11 00:00:00+00,SHORT,405,0.7857142857142857,1.0,0.6401766,-0.01973055,0.4090909
2006-01-11 00:00:00+00,SHORT,3142,0.0,1.0,0.475,-0.010834134,0.37142858
2006-01-11 00:00:00+00,SHORT,3244,0.15105332777096334,1.0,0.7152318,-0.017210746,0.6111111
2006-01-11 00:00:00+00,SHORT,1303,0.6987280047145138,1.0,0.7196468,0.0134785995,0.61538464
2006-01-11 00:00:00+00,SHORT,1434,0.15630695333169725,1.0,0.49006623,-0.006356152,0.22891566
2006-01-11 00:00:00+00,SHORT,3677,0.0,1.0,0.53333336,0.011110917,0.46666667
2006-01-11 00:00:00+00,SHORT,3794,0.0,1.0,0.4875,-0.003610624,0.5151515
2006-01-12 00:00:00+00,SHORT,4223,0.4537476641091538,1.0,0.2030905,-0.005253501,0.36363637
2006-01-13 00:00:00+00,SHORT,845,0.0,1.0,0.26535088,0.0055628754,0.38636363
2006-01-13 00:00:00+00,SHORT,1090,0.8181818181818181,1.0,0.16666667,-0.008781921,0.24074075
2006-01-17 00:00:00+00,SHORT,3473,0.1810193855788505,1.0,0.3950893,0.0043108286,0.35
2006-01-19 00:00:00+00,SHORT,1064,0.0,1.0,0.78902954,-0.008022662,0.3125
2006-01-20 00:00:00+00,SHORT,93,0.39185967081533796,1.0,0.25669643,0.028973417,0.375
2006-01-20 00:00:00+00,SHORT,2710,0.0,1.0,0.60714287,-0.020860335,0.4047619
2006-01-20 00:00:00+00,SHORT,984,1.0,1.0,0.4439834,0.0012588013,0.61538464
2006-01-23 00:00:00+00,SHORT,93,0.1915234233782271,1.0,0.24053451,0.022063985,0.41666666
2006-01-23 00:00:00+00,SHORT,984,0.95,1.0,0.4092827,-0.01142341,0.61538464
2006-01-24 00:00:00+00,SHORT,984,0.9,1.0,0.3809524,-0.01923916,0.61538464
2006-01-24 00:00:00+00,SHORT,1012,0.8168100029556775,1.0,0.48526078,0.0031997822,0.3243243
2006-01-25 00:00:00+00,SHORT,4218,0.0,1.0,0.46296296,-0.017701168,0.4074074
2006-01-25 00:00:00+00,SHORT,444,0.0,1.0,0.40444446,-0.015031706,0.5
2006-01-26 00:00:00+00,SHORT,4218,0.0,1.0,0.46341464,-0.018787595,0.3653846
2006-01-26 00:00:00+00,SHORT,3271,0.010593863553576109,1.0,0.23414634,0.0033561597,0.4722222
2006-01-26 00:00:00+00,SHORT,1444,1.0,1.0,0.62053573,6.2484655E-4,0.55172414
2006-01-27 00:00:00+00,SHORT,475,0.33185074345267757,1.0,0.6,0.010932514,0.22891566
2006-01-27 00:00:00+00,SHORT,2661,0.3393293686489831,1.0,0.5294118,0.030702341,0.61764705
2006-01-27 00:00:00+00,SHORT,1244,0.0,1.0,0.8193277,-0.015357486,0.4
2006-01-27 00:00:00+00,SHORT,1444,0.9333333333333333,1.0,0.62053573,-0.01082741,0.55172414
2006-01-27 00:00:00+00,SHORT,3841,0.5201476046007282,1.0,0.7550562,-0.014354908,0.41379312
2006-01-30 00:00:00+00,SHORT,2066,0.43707078752023615,1.0,0.81405896,-0.018218823,0.6037736
2006-01-30 00:00:00+00,SHORT,131,0.12677484876883374,1.0,0.31519273,-1.5038316E-4,0.60493827
2006-01-30 00:00:00+00,SHORT,475,0.21993173602625957,1.0,0.7369614,-4.4674554E-4,0.41975307
2006-01-30 00:00:00+00,SHORT,3127,0.0,1.0,0.58577406,-0.016020674,0.4
2006-01-30 00:00:00+00,SHORT,3378,0.1610626713367307,1.0,0.78876406,-0.01748523,0.5
2006-01-30 00:00:00+00,SHORT,1719,1.0,1.0,0.10878661,-0.010901958,0.3
2006-01-30 00:00:00+00,SHORT,3824,0.6746890797403817,1.0,0.45578232,-0.0024235637,0.26415095
2006-01-30 00:00:00+00,SHORT,1816,0.39576757497298815,1.0,0.25396827,-0.021080337,0.61538464
2006-01-31 00:00:00+00,SHORT,475,0.10945200674686757,1.0,0.71428573,-0.014841281,0.39506173
2006-01-31 00:00:00+00,SHORT,2896,0.4207641580533378,1.0,0.7327189,0.028084,0.47058824
2006-01-31 00:00:00+00,SHORT,3824,0.5471731302848761,1.0,0.4562212,-0.007653473,0.28
2006-02-01 00:00:00+00,SHORT,2261,0.0,1.0,0.47577092,0.010968234,0.46153846
2006-02-01 00:00:00+00,SHORT,450,0.2679225701685926,1.0,0.80875576,-0.0072759436,0.36666667
2006-02-01 00:00:00+00,SHORT,487,0.643865190280732,1.0,0.8931818,-0.01678775,0.21875
2006-02-01 00:00:00+00,SHORT,602,0.4983411451898997,1.0,0.60227275,0.024222448,0.53571427
2006-02-01 00:00:00+00,SHORT,1303,0.35108325996988476,1.0,0.21136364,-0.010896592,0.3207547
2006-02-01 00:00:00+00,SHORT,3824,0.7692307692307692,1.0,0.3590909,-0.019299896,0.26415095
2006-02-02 00:00:00+00,SHORT,429,0.0,1.0,0.2552204,-0.010168143,0.37037036
