time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,vola_roc_1_5_df040,normalized_3m_df004,price_to_sales_minmax_universe_df071
2005-04-06 00:00:00+00,SHORT,3114,1.0,0.36141163,0.011681123,0.9117647,0.0179
2005-04-07 00:00:00+00,SHORT,2870,0.0,0.37059456,0.26506108,0.77272725,0.0185
2005-04-07 00:00:00+00,SHORT,3677,0.0,0.36657882,0.78558105,0.54545456,0.0185
2005-04-08 00:00:00+00,SHORT,2261,0.0,0.39212245,0.6369248,0.72727275,0.0188
2005-04-08 00:00:00+00,SHORT,3283,0.5717453504751034,0.3473747,0.09314169,0.72727275,0.0191
2005-04-11 00:00:00+00,SHORT,2028,0.8571428571428572,0.42137277,2.172443,0.2647059,0.0191
2005-04-12 00:00:00+00,SHORT,4224,0.5,0.34797287,0.67003745,0.61764705,0.0181
2005-04-12 00:00:00+00,SHORT,1064,0.13877486701895675,0.44834852,-0.18414396,0.23529412,0.0179
2005-04-12 00:00:00+00,SHORT,1960,0.0,0.38265604,0.18413675,0.20588236,0.0098
2005-04-12 00:00:00+00,SHORT,4034,0.0,0.4164319,-0.046731956,0.47058824,0.0181
2005-04-13 00:00:00+00,SHORT,2285,0.4374772427041835,0.43436855,0.28576806,0.20588236,0.0175
2005-04-14 00:00:00+00,SHORT,2285,0.41504939138786473,0.44401425,0.8171484,0.21212122,0.0173
2005-05-02 00:00:00+00,SHORT,1064,0.0,0.38047928,0.49222913,0.1764706,0.0166
2005-05-02 00:00:00+00,SHORT,4062,0.05317757543143145,0.3945007,0.10655924,0.60714287,0.0165
2005-08-08 00:00:00+00,SHORT,694,0.13747751641696473,0.39110595,-0.12390433,0.2631579,0.0609
2005-08-08 00:00:00+00,SHORT,2835,0.0,0.36556426,0.71867067,0.44117647,0.0608
2005-08-09 00:00:00+00,SHORT,401,0.40997627247637697,0.42520618,-0.13400663,0.10714286,0.0588
2005-08-09 00:00:00+00,SHORT,694,0.22220954704794224,0.42477664,0.95037514,0.2631579,0.0591
2005-08-10 00:00:00+00,SHORT,2055,0.0,0.38701627,0.22893804,0.83870965,0.0568
2005-08-10 00:00:00+00,SHORT,1939,0.0,0.37648228,1.8542532,0.11764706,0.059
2005-08-11 00:00:00+00,SHORT,2285,0.2392307858479507,0.4387256,0.5627746,0.7352941,0.0585
2005-08-11 00:00:00+00,SHORT,3595,0.49652702776916774,0.38953617,0.6449753,0.85714287,0.0579
2005-08-12 00:00:00+00,SHORT,817,0.04538251312027543,0.41700563,0.17061315,0.1904762,0.0608
2005-08-12 00:00:00+00,SHORT,984,0.0,0.44890884,0.05608732,0.61538464,0.0616
2005-08-15 00:00:00+00,SHORT,3283,0.0,0.38475397,1.9503983,0.6923077,0.0616
2005-08-16 00:00:00+00,SHORT,1888,0.0,0.43166682,0.28917485,0.95238096,0.064
2005-08-22 00:00:00+00,SHORT,4062,0.0,0.4567885,0.7275027,0.58064514,0.0606
2005-08-24 00:00:00+00,SHORT,2028,0.9,0.35695207,1.3107197,0.7058824,0.0694
2005-08-29 00:00:00+00,SHORT,3255,0.0,0.41765067,1.1597166,0.5588235,0.064
2005-08-30 00:00:00+00,SHORT,2497,0.0,0.34770113,0.19178456,0.16666667,0.0676
2005-09-02 00:00:00+00,SHORT,2497,1.0,0.41779208,1.0043089,0.16666667,0.0687
2005-09-06 00:00:00+00,SHORT,2142,0.0,0.34288976,1.4824969,0.5217391,0.067
2005-09-06 00:00:00+00,SHORT,401,0.625828394630446,0.34392577,0.67802125,0.09677419,0.067
2005-09-07 00:00:00+00,SHORT,158,1.0,0.37701282,0.3387675,0.90909094,0.073
2005-09-07 00:00:00+00,SHORT,914,0.2601584698236551,0.42571858,7.6738615E-13,0.7419355,0.0685
2005-09-08 00:00:00+00,SHORT,3918,0.48434708484218386,0.4055793,0.82788855,0.16129032,0.0654
2005-09-09 00:00:00+00,SHORT,335,0.0,0.42035663,-0.19690862,0.7419355,0.0636
2005-09-12 00:00:00+00,SHORT,4118,0.25332285472221455,0.3585727,0.114584364,0.8636364,0.0675
2005-09-12 00:00:00+00,SHORT,2661,0.7596177316876814,0.45708302,1.0255128,0.51428574,0.0721
2005-09-12 00:00:00+00,SHORT,3127,0.44999999999999996,0.4240222,1.0284792,0.73913044,0.0675
2005-09-12 00:00:00+00,SHORT,1371,1.0,0.42111522,1.7143973,0.31578946,0.0693
2005-09-13 00:00:00+00,SHORT,2640,0.0,0.43901435,0.79641646,0.09090909,0.065
2005-09-13 00:00:00+00,SHORT,2661,0.6423122968214745,0.37685227,0.58844894,0.4857143,0.0691
2005-09-13 00:00:00+00,SHORT,2870,0.5414038204894669,0.34542772,1.9806857,0.083333336,0.0649
2005-09-13 00:00:00+00,SHORT,1767,0.43218288509167674,0.36498275,0.963732,0.9032258,0.0651
2005-09-14 00:00:00+00,SHORT,2640,0.0,0.41585627,-0.012248607,0.09090909,0.0669
2005-09-14 00:00:00+00,SHORT,694,0.20345270983523103,0.3701379,0.3994444,0.2631579,0.0667
2005-09-14 00:00:00+00,SHORT,1297,0.4205586674842458,0.41061425,1.4462689,0.94736844,0.0679
2005-09-15 00:00:00+00,SHORT,2703,0.0,0.3779421,-0.14920086,0.2857143,0.0654
2005-09-15 00:00:00+00,SHORT,3443,0.407834434789938,0.4216311,-0.1151888,0.9230769,0.0164
