time,side,ticker_id,mv_dn_composite_labels,dist_low52_vol_norm_20_df015,dist_upper_bb_20_2.0_df055,volume_spike_1_df057,vola_roc_21_5_df040
2005-01-04 00:00:00+00,SHORT,675,0.22077109515109702,0.14139159,-0.024602173,-0.11901352,0.04603625
2005-01-05 00:00:00+00,SHORT,1896,0.43485001762375,0.2536561,-0.022483625,-0.011259007,1.6208274
2005-01-06 00:00:00+00,SHORT,133,0.4702284654929653,0.52944916,-0.02612739,-0.2113798,0.6509445
2005-01-06 00:00:00+00,SHORT,675,0.21713777237462029,0.14166395,-0.02364295,0.06315099,0.05973659
2005-01-06 00:00:00+00,SHORT,1896,0.4209318171531579,0.23860395,-0.025872499,-0.19214763,1.6965351
2005-01-18 00:00:00+00,SHORT,4107,0.5582660048644676,0.27542987,-0.008042706,0.4009338,0.0489847
2005-01-18 00:00:00+00,SHORT,881,0.29227576872557226,0.43288806,-0.017138366,0.3911644,-0.07133639
2005-01-18 00:00:00+00,SHORT,1848,0.0,0.36368895,0.0031148137,-0.12278545,1.5806289
2005-01-18 00:00:00+00,SHORT,1927,0.2550478193375461,0.40254545,-0.023785198,0.54561394,-0.12348368
2005-01-19 00:00:00+00,SHORT,2230,0.0,0.30346563,-0.010183368,0.023233915,0.33477056
2005-01-19 00:00:00+00,SHORT,2440,0.23103259690555775,0.43157995,-0.017379949,0.077429764,-0.24004735
2005-01-19 00:00:00+00,SHORT,505,0.36213316673123735,0.60550064,-0.020017186,-0.2497611,0.41069818
2005-01-19 00:00:00+00,SHORT,1848,0.0,0.32959452,-0.0040687467,0.17981668,1.7123736
2005-01-20 00:00:00+00,SHORT,2979,1.0,0.2054914,-0.0033910403,-0.22028187,0.097741604
2005-01-21 00:00:00+00,SHORT,2979,0.9444444444444444,0.17112318,-0.021542689,-0.014603798,0.2131707
2005-01-24 00:00:00+00,SHORT,663,0.9411764705882353,0.458915,-0.013270322,-0.1317549,0.07974002
2005-01-25 00:00:00+00,SHORT,663,0.8823529411764706,0.4376909,-0.021255521,-0.17685533,-0.32200807
2005-01-25 00:00:00+00,SHORT,2979,0.8333333333333334,0.17202589,-0.020303058,-0.2368105,0.75279087
2005-01-26 00:00:00+00,SHORT,2979,0.5081204039048097,0.16243213,-0.025401067,0.080876954,0.209995
2005-01-31 00:00:00+00,SHORT,68,0.0,0.2406981,-0.014302676,0.3021707,-0.24424951
2005-01-31 00:00:00+00,SHORT,663,0.6470588235294118,0.43931767,-0.019528711,-0.2284045,-0.13543689
2005-01-31 00:00:00+00,SHORT,2930,0.0,0.18925312,-0.025328845,-0.18609183,-0.07172887
2005-02-01 00:00:00+00,SHORT,4107,0.0,0.24256463,-0.02446653,-0.09054642,0.9620209
2005-02-01 00:00:00+00,SHORT,1532,0.0,0.50730085,-0.024522625,-0.20961875,-0.31068325
2005-02-01 00:00:00+00,SHORT,3853,0.0,0.37689286,-0.01923411,0.1008154,-0.20276709
2005-02-02 00:00:00+00,SHORT,1532,0.0,0.5156393,-0.01588029,0.11045013,0.09237875
2005-02-02 00:00:00+00,SHORT,3760,0.36363636363636365,0.51957256,-0.012113081,-0.21397783,1.3815261
2005-02-02 00:00:00+00,SHORT,1731,0.0,0.39633736,-0.02057524,0.3341217,0.23072052
2005-02-02 00:00:00+00,SHORT,3782,0.2416082772963994,0.55769134,-0.013732148,-0.029269626,0.24715237
2005-02-03 00:00:00+00,SHORT,3716,0.0,0.39368832,0.0036561438,0.11537278,0.0782196
2005-02-03 00:00:00+00,SHORT,3782,0.22725114157620543,0.557558,-0.015439035,-0.1306594,-0.095216416
2005-02-04 00:00:00+00,SHORT,2479,0.0,0.5877232,-0.017524302,-0.061181616,0.5859514
2005-02-04 00:00:00+00,SHORT,3519,0.0,0.19007084,-0.016212083,0.37809938,0.30565742
2005-02-07 00:00:00+00,SHORT,2410,0.4582382412573718,0.22166513,0.006779333,0.33851317,0.026361391
