time,side,ticker_id,mv_dn_composite_labels,ev_ebitda_minmax_sector_df077,skew_weighted_20_df037
2005-01-19 00:00:00+00,SHORT,2088,0.0,0.2175,0.59196335
2005-01-20 00:00:00+00,SHORT,2088,0.0,0.215,0.46931392
2005-02-02 00:00:00+00,SHORT,1064,0.63216478404332,0.6471,0.4724837
2005-02-07 00:00:00+00,SHORT,2497,1.0,0.0961,0.6699489
2005-02-07 00:00:00+00,SHORT,2548,1.0,0.5292,0.6112339
2005-02-08 00:00:00+00,SHORT,2548,0.8,0.5187,0.6127637
2005-02-08 00:00:00+00,SHORT,3818,0.4904701428254511,0.1368,0.50592554
2005-02-08 00:00:00+00,SHORT,1867,0.2671992612109687,0.2428,0.47393352
2005-02-09 00:00:00+00,SHORT,2088,0.7278355497648431,0.252,0.5272967
2005-02-10 00:00:00+00,SHORT,2088,0.7293362415894306,0.2512,0.5297511
2005-02-11 00:00:00+00,SHORT,1817,0.9158323224969658,0.6194,0.6400967
2005-02-14 00:00:00+00,SHORT,1817,0.0,0.6105,0.5036983
2005-02-15 00:00:00+00,SHORT,643,0.32282551961239486,0.1531,0.5692324
2005-02-16 00:00:00+00,SHORT,643,0.0,0.1541,0.55067784
2005-02-16 00:00:00+00,SHORT,1817,0.0,0.6044,0.4729533
2005-02-17 00:00:00+00,SHORT,643,0.2226510651499088,0.1551,0.6614926
2005-02-17 00:00:00+00,SHORT,2835,1.0,0.5493,0.529007
2005-02-18 00:00:00+00,SHORT,643,0.16180553218966576,0.1548,0.61605096
2005-02-18 00:00:00+00,SHORT,2835,0.8,0.5531,0.4716475
2005-02-22 00:00:00+00,SHORT,643,0.08259917617144256,0.1567,0.5512705
2005-02-22 00:00:00+00,SHORT,2835,0.6,0.5643,0.49104315
2005-02-22 00:00:00+00,SHORT,1360,0.0,0.5269,0.47649446
2005-02-22 00:00:00+00,SHORT,1817,0.0,0.626,0.5754007
2005-02-23 00:00:00+00,SHORT,643,0.0392703002172029,0.1559,0.51684123
2005-02-23 00:00:00+00,SHORT,1817,0.0,0.6291,0.51114756
2005-02-24 00:00:00+00,SHORT,643,0.0,0.1541,0.49230078
2005-02-25 00:00:00+00,SHORT,309,1.0,0.5634,0.57143396
2005-02-25 00:00:00+00,SHORT,643,0.0226005461075496,0.1556,0.51768184
2005-02-25 00:00:00+00,SHORT,712,0.7250965422838958,0.1314,0.6023777
2005-02-28 00:00:00+00,SHORT,643,0.0,0.1558,0.50518584
2005-02-28 00:00:00+00,SHORT,712,0.0,0.1243,0.64545083
2005-02-28 00:00:00+00,SHORT,3283,0.24286136957310542,0.3886,0.52478075
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,0.2485,0.46949315
2005-03-01 00:00:00+00,SHORT,712,0.0,0.1215,0.48119098
2005-03-04 00:00:00+00,SHORT,1360,0.9166666666666666,0.4771,0.47450715
2005-03-04 00:00:00+00,SHORT,1949,0.0,0.3819,0.58659315
2005-03-07 00:00:00+00,SHORT,9,0.390871566246139,0.1476,0.5193721
2005-03-07 00:00:00+00,SHORT,988,1.0,0.0674,0.5132441
2005-03-07 00:00:00+00,SHORT,3433,0.5867271048583246,0.3808,0.5546324
2005-03-08 00:00:00+00,SHORT,3116,0.43988756587259337,0.3866,0.6272143
2005-03-08 00:00:00+00,SHORT,1423,1.0,0.5719,0.47067958
2005-03-08 00:00:00+00,SHORT,3815,1.0,0.3777,0.5518605
2005-03-08 00:00:00+00,SHORT,1949,0.0,0.3896,0.6399295
2005-03-09 00:00:00+00,SHORT,984,1.0,0.4048,0.48859653
2005-03-09 00:00:00+00,SHORT,3116,0.22686496492032115,0.3913,0.55726683
2005-03-09 00:00:00+00,SHORT,3831,0.6818699948204479,0.3819,0.5517303
2005-03-09 00:00:00+00,SHORT,1949,0.0,0.3943,0.6169614
2005-03-10 00:00:00+00,SHORT,988,0.3999999999999999,0.0653,0.4791482
2005-03-10 00:00:00+00,SHORT,3116,0.0,0.3787,0.4715316
2005-03-10 00:00:00+00,SHORT,3831,0.4878294286083229,0.3694,0.6244338
2005-03-11 00:00:00+00,SHORT,2870,0.6025224093795137,0.0737,0.61320156
2005-03-11 00:00:00+00,SHORT,3831,0.4377415847916288,0.1835,0.5994062
2005-03-14 00:00:00+00,SHORT,3831,0.44928700516353015,0.1831,0.575339
2005-03-15 00:00:00+00,SHORT,2690,0.8347772182150969,0.0614,0.5309985
