time,side,ticker_id,mv_dn_composite_labels,accel_price_21_df021,joint_fall_flag_1_10_df042,dist_upper_bb_20_2.0_df055,delta_volume_21_df024
2005-01-04 00:00:00+00,SHORT,3021,0.2638679436340509,-0.0017153685,1.0,-0.016284324,90300.0
2005-01-10 00:00:00+00,SHORT,2710,0.3558609910669315,7.637134E-4,1.0,-0.016170042,1132100.0
2005-01-11 00:00:00+00,SHORT,2710,0.2287883385500032,-0.011478666,1.0,-0.025040163,223900.0
2005-01-18 00:00:00+00,SHORT,2349,0.10524064958006757,-0.004963713,1.0,-0.018077817,118800.0
2005-01-21 00:00:00+00,SHORT,2462,0.4042363621007479,-0.015938433,1.0,-0.009846247,95000.0
2005-01-25 00:00:00+00,SHORT,2462,0.22585647749661153,-0.009330749,1.0,-0.022958977,318000.0
2005-01-28 00:00:00+00,SHORT,3760,0.6363636363636364,-0.005626747,1.0,-0.025110805,143000.0
2005-02-01 00:00:00+00,SHORT,3114,0.038159226176710845,-0.0036589869,1.0,-0.024564508,666027.0
2005-02-14 00:00:00+00,SHORT,2452,0.4324976075543666,-0.013240197,1.0,-0.0217688,131300.0
2005-02-15 00:00:00+00,SHORT,2728,0.3663346726274674,-0.016082343,1.0,-0.020814495,-22764.0
2005-02-17 00:00:00+00,SHORT,995,0.48509695626580557,-0.010364616,1.0,-0.013035469,-16800.0
2005-02-17 00:00:00+00,SHORT,4013,0.40969611504293724,-0.010623848,1.0,-0.021121506,-78500.0
2005-02-18 00:00:00+00,SHORT,4153,0.7777777777777778,0.004626839,1.0,-0.022156296,-82400.0
2005-02-18 00:00:00+00,SHORT,370,0.39559377556870884,0.0024309657,1.0,-0.01426027,-25300.0
2005-02-18 00:00:00+00,SHORT,3021,0.3080797753026201,0.0072098095,1.0,-0.0132736415,14200.0
2005-02-18 00:00:00+00,SHORT,995,0.41070696937367457,-0.0017476248,1.0,-0.019006884,-2800.0
2005-02-18 00:00:00+00,SHORT,4089,0.6409763616181077,-0.01510065,1.0,-0.02624988,-26600.0
2005-03-01 00:00:00+00,SHORT,4223,1.0,-0.0015621945,1.0,-0.021994196,600.0
2005-03-07 00:00:00+00,SHORT,4223,0.8,-0.010065415,1.0,-0.025657438,-109700.0
2005-03-07 00:00:00+00,SHORT,675,0.0,0.0052757557,1.0,-0.024009505,162610.0
2005-03-07 00:00:00+00,SHORT,1780,0.33618952275231945,-0.009367527,1.0,-0.014004646,-89100.0
2005-03-08 00:00:00+00,SHORT,3179,0.0,0.014125536,1.0,-0.025673134,-4600.0
2005-03-08 00:00:00+00,SHORT,3471,0.7060529370116616,-0.015884632,1.0,-0.024920609,537328.0
2005-03-09 00:00:00+00,SHORT,52,0.5356505385194106,-0.0073481803,1.0,-0.025211863,742200.0
2005-03-09 00:00:00+00,SHORT,2425,0.1831906726568755,-0.0024614185,1.0,-0.021706799,475300.0
2005-03-09 00:00:00+00,SHORT,440,0.5118023865855605,0.0044463584,1.0,-0.009981578,-50400.0
2005-03-09 00:00:00+00,SHORT,1288,0.1555701823839797,0.017481918,1.0,-0.023948448,-43600.0
2005-03-09 00:00:00+00,SHORT,1371,0.43218803255942406,-0.009402617,1.0,-0.017352317,25400.0
2005-03-10 00:00:00+00,SHORT,39,0.29171475331349467,-0.0017609975,1.0,-0.019771555,-81000.0
2005-03-10 00:00:00+00,SHORT,1371,0.4356777085016686,-0.01158819,1.0,-0.017576419,-23900.0
2005-03-10 00:00:00+00,SHORT,3629,0.3444468030687476,-0.002334999,1.0,-0.019580737,-72500.0
2005-03-11 00:00:00+00,SHORT,2285,0.2656361280595018,0.015152315,1.0,-0.02337941,62372.0
2005-03-11 00:00:00+00,SHORT,881,0.490443966199631,-0.004310701,1.0,-0.023679962,374500.0
2005-03-11 00:00:00+00,SHORT,3754,0.4858824938773693,-0.00937693,1.0,-0.01466952,-51300.0
2005-03-14 00:00:00+00,SHORT,2285,0.2865994616199076,-0.014215644,1.0,-0.024417719,-34448.0
2005-03-14 00:00:00+00,SHORT,487,0.3732740848138366,-0.003421508,1.0,-0.016050465,-13800.0
2005-03-14 00:00:00+00,SHORT,3629,0.0,-0.016169673,1.0,-0.019843567,-23600.0
2005-03-14 00:00:00+00,SHORT,3754,0.7278424712621462,-0.016552266,1.0,-0.019789925,51900.0
2005-03-15 00:00:00+00,SHORT,2285,0.2723994239865888,0.006814082,1.0,-0.025037859,36120.0
2005-03-15 00:00:00+00,SHORT,405,0.0,-0.0017902086,1.0,-0.022026112,725600.0
2005-03-15 00:00:00+00,SHORT,555,0.2700434699467707,-0.01323198,1.0,-0.022409674,-32500.0
2005-03-15 00:00:00+00,SHORT,641,0.0,-0.00947285,1.0,-0.018863402,32500.0
2005-03-15 00:00:00+00,SHORT,3179,0.07971844544153167,0.0091019925,1.0,-0.019205758,-45600.0
2005-03-15 00:00:00+00,SHORT,3825,0.34533879146038876,-0.015499985,1.0,-0.020925585,568200.0
2005-03-16 00:00:00+00,SHORT,3244,0.5780268191115989,9.746241E-4,1.0,-0.008401427,-87000.0
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,-0.009871643,1.0,-0.0016665481,1054000.0
2005-03-17 00:00:00+00,SHORT,2042,0.7753483420587126,8.394575E-4,1.0,-0.018581757,453200.0
2005-03-18 00:00:00+00,SHORT,641,0.0,-0.0069455192,1.0,-0.01753989,158700.0
2005-03-18 00:00:00+00,SHORT,2747,0.8571428571428572,-8.3638926E-4,1.0,-0.009138321,-66000.0
2005-03-18 00:00:00+00,SHORT,995,0.5203678159572529,-0.0048472495,1.0,-0.012472207,-600.0
2005-03-18 00:00:00+00,SHORT,3100,0.31669524632408247,-0.013759594,1.0,-0.018667614,149300.0
2005-03-18 00:00:00+00,SHORT,3236,0.3104347762067951,-0.009824978,1.0,-0.023285937,148800.0
2005-03-18 00:00:00+00,SHORT,1262,0.1958283331252165,0.007902782,1.0,-0.016658032,-92000.0
2005-03-28 00:00:00+00,SHORT,3293,0.089457547184049,-0.00285539,1.0,-0.021323172,-65466.0
2005-03-29 00:00:00+00,SHORT,3293,0.19258668982798907,-0.014642636,1.0,-0.02523967,1721205.0
