time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.0_df055,joint_fall_flag_1_20_df042
2005-01-14 00:00:00+00,SHORT,2504,1.0,0.0030156155,1.0
2005-01-18 00:00:00+00,SHORT,2504,0.9411764705882353,-0.0069787293,1.0
2005-01-18 00:00:00+00,SHORT,3531,0.3769888912075975,-0.010080482,1.0
2005-01-21 00:00:00+00,SHORT,2462,0.4042363621007479,-0.011562346,1.0
2005-02-04 00:00:00+00,SHORT,694,0.40485165892327396,7.987786E-4,1.0
2005-02-08 00:00:00+00,SHORT,3652,0.2025801875469939,-0.010345396,1.0
2005-02-10 00:00:00+00,SHORT,3179,0.47392845804838807,-0.0025243566,1.0
2005-02-15 00:00:00+00,SHORT,1306,0.5272578017908387,0.0024671028,1.0
2005-02-28 00:00:00+00,SHORT,3283,0.24286136957310542,-0.0017610334,1.0
2005-02-28 00:00:00+00,SHORT,1740,0.27067994537866985,-0.00883951,1.0
2005-03-01 00:00:00+00,SHORT,602,0.3521511333257591,-0.0062451195,1.0
2005-03-03 00:00:00+00,SHORT,3841,1.0,-0.00992983,1.0
2005-03-07 00:00:00+00,SHORT,2961,0.18810216170249863,-0.00520623,1.0
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,5.0309533E-4,1.0
2005-03-09 00:00:00+00,SHORT,1762,1.0,-0.004985448,1.0
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,-0.00950777,1.0
2005-04-07 00:00:00+00,SHORT,2261,0.0,-0.0052238633,1.0
2005-04-08 00:00:00+00,SHORT,2261,0.0,-0.012529234,1.0
2005-04-08 00:00:00+00,SHORT,335,0.6562627706726624,-0.010893473,1.0
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,-0.008515675,1.0
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.0076298444,1.0
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,-0.0130267935,1.0
2005-05-05 00:00:00+00,SHORT,558,0.41570325230149757,-0.010151895,1.0
2005-05-06 00:00:00+00,SHORT,1167,0.09554073349765636,-0.005958963,1.0
