time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_20_2.5_df055,price_drift_21_df005,accel_price_1_df021,price_eps_diff_pct_df082
2005-01-14 00:00:00+00,LONG,335,0.9534883720930233,0.15004492,-0.15190433,-0.15004492,-0.0047216257,22.73
2005-01-20 00:00:00+00,LONG,142,0.7171464085278801,0.14051048,-0.07597944,-0.14051048,0.008111563,99.55
2005-01-21 00:00:00+00,LONG,1615,0.0,0.13781701,-0.05986223,-0.13781701,0.019771107,-23.09
2005-01-21 00:00:00+00,LONG,1700,0.0,0.1356689,-0.13923131,-0.1356689,0.003265502,-60.64
2005-01-24 00:00:00+00,LONG,142,0.6600240504941072,0.15038721,-0.086995065,-0.15038721,-0.007630255,91.99
2005-01-24 00:00:00+00,LONG,1700,0.0,0.16322108,-0.14573184,-0.16322108,0.01478619,-59.5
2005-01-25 00:00:00+00,LONG,142,0.5845989377234988,0.14246231,-0.09393069,-0.14246231,0.007336224,92.35
2005-01-25 00:00:00+00,LONG,3699,0.0,0.17583081,-0.08373914,-0.17583081,0.02895446,-26.96
2005-01-26 00:00:00+00,LONG,429,0.0,0.14574178,-0.12058136,-0.14574178,-0.009685658,-19.52
2005-01-26 00:00:00+00,LONG,3699,0.0,0.1554878,-0.11321866,-0.1554878,0.00949619,-26.38
2005-01-27 00:00:00+00,LONG,142,0.5320071026884413,0.13781808,-0.085503325,-0.13781808,-0.0014661863,109.27
2005-01-27 00:00:00+00,LONG,3699,0.0,0.15922798,-0.12558098,-0.15922798,-0.008897699,-31.28
2005-01-27 00:00:00+00,LONG,3912,0.0,0.13811576,-0.08408691,-0.13811576,-0.011981124,-34.86
2005-01-28 00:00:00+00,LONG,142,0.4724726248925554,0.13515566,-0.075092986,-0.13515566,-0.0020459292,89.51
2005-01-28 00:00:00+00,LONG,429,0.0,0.1585745,-0.09175102,-0.1585745,0.033252876,-18.55
2005-01-28 00:00:00+00,LONG,1700,0.0,0.16742894,-0.12620138,-0.16742894,-0.003516922,-61.34
2005-01-28 00:00:00+00,LONG,3912,0.0,0.13555764,-0.09104181,-0.13555764,0.020951152,-48.02
2005-01-31 00:00:00+00,LONG,429,0.0,0.14004825,-0.09514483,-0.14004825,0.007356408,-18.95
2005-02-01 00:00:00+00,LONG,3699,0.0,0.15055653,-0.12898088,-0.15055653,0.013136007,-23.47
2005-03-09 00:00:00+00,LONG,167,0.3921428452506118,0.138404,-0.104224846,-0.138404,0.0,-52.11
2005-03-11 00:00:00+00,LONG,167,0.6560732543923911,0.14197531,-0.09491639,-0.14197531,0.005788712,-48.18
2005-03-17 00:00:00+00,LONG,1064,0.0,0.17220956,-0.08942938,-0.17220956,-0.020214729,-30.79
2005-03-29 00:00:00+00,LONG,1360,0.0,0.14254859,-0.060857937,-0.14254859,-0.0025493198,-51.09
2005-04-04 00:00:00+00,LONG,2661,1.0,0.13557214,-0.0832404,-0.13557214,0.028901456,22.55
2005-04-13 00:00:00+00,LONG,2690,0.0,0.13503367,-0.010634708,-0.13503367,0.003650215,-24.49
2005-04-14 00:00:00+00,LONG,2690,0.0,0.1328316,-0.01355572,-0.1328316,0.009495274,-24.24
2005-04-15 00:00:00+00,LONG,2690,0.0,0.15359408,-2.949938E-4,-0.15359408,-0.020589698,-24.87
2005-04-15 00:00:00+00,LONG,870,0.0,0.13862227,-0.0036469344,-0.13862227,-0.020556523,-19.66
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,0.15680881,-0.060379304,-0.15680881,-0.0016366316,85.66
2005-04-27 00:00:00+00,LONG,1423,0.0,0.15697101,-0.04978061,-0.15697101,-0.03104514,-15.86
