time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,dist_lower_bb_50_2.0_df055
2005-01-20 00:00:00+00,LONG,142,0.7171464085278801,10.0,0.019501328
2005-01-24 00:00:00+00,LONG,183,0.0,12.0,0.030865856
2005-01-24 00:00:00+00,LONG,429,0.0,21.0,0.0596141
2005-01-24 00:00:00+00,LONG,3853,1.0,23.0,0.035194326
2005-01-25 00:00:00+00,LONG,323,1.0,12.0,0.034282327
2005-01-25 00:00:00+00,LONG,3596,0.0,21.0,0.028294368
2005-01-25 00:00:00+00,LONG,3699,0.0,23.0,0.01851176
2005-02-02 00:00:00+00,LONG,3703,0.0,13.0,0.0445532
2005-02-03 00:00:00+00,LONG,3355,0.0,12.0,0.048287272
2005-02-03 00:00:00+00,LONG,3703,0.0,14.0,0.021071088
2005-02-04 00:00:00+00,LONG,3355,0.0,13.0,0.018867608
2005-02-22 00:00:00+00,LONG,401,0.3025803285735399,28.0,0.024897799
2005-03-16 00:00:00+00,LONG,2247,0.8639843807191345,12.0,0.018546075
2005-03-17 00:00:00+00,LONG,2006,0.4386649767580602,14.0,0.028872035
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,15.0,0.020338073
2005-03-29 00:00:00+00,LONG,4176,1.0,25.0,0.022743123
2005-03-31 00:00:00+00,LONG,3641,1.0,16.0,0.02059529
2005-04-01 00:00:00+00,LONG,4223,0.5925976164451335,13.0,0.0245766
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,17.0,0.022898875
2005-04-04 00:00:00+00,LONG,4223,0.5477791937731813,14.0,0.018844387
2005-04-15 00:00:00+00,LONG,2930,0.27438809314010604,18.0,0.024751639
2005-04-15 00:00:00+00,LONG,984,0.0,10.0,0.060877707
2005-04-15 00:00:00+00,LONG,3794,1.0,11.0,0.054506376
2005-04-18 00:00:00+00,LONG,142,0.5412770767386312,11.0,0.02281169
2005-04-18 00:00:00+00,LONG,858,1.0,22.0,0.05788928
2005-04-18 00:00:00+00,LONG,3127,1.0,16.0,0.03467039
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,22.0,0.03480581
2005-04-18 00:00:00+00,LONG,3335,0.6814001637097814,16.0,0.020896813
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,12.0,0.041694317
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,13.0,0.031093832
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,13.0,0.020083647
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,23.0,0.02425727
2005-04-27 00:00:00+00,LONG,1423,0.0,17.0,0.020063527
2005-04-28 00:00:00+00,LONG,1258,0.14266991478948032,10.0,0.046420343
2005-04-28 00:00:00+00,LONG,1423,0.9761904761904762,18.0,0.027671346
2005-04-28 00:00:00+00,LONG,1807,1.0,21.0,0.037080888
2005-04-29 00:00:00+00,LONG,3271,0.6121794578258031,22.0,0.059246972
2005-04-29 00:00:00+00,LONG,3699,1.0,29.0,0.022432769
2005-05-02 00:00:00+00,LONG,3271,0.5828714840929035,23.0,0.020091338
2005-05-03 00:00:00+00,LONG,2070,0.0,27.0,0.05405838
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,27.0,0.037566103
2005-05-03 00:00:00+00,LONG,3271,0.6424733506992161,24.0,0.021457985
2005-05-04 00:00:00+00,LONG,2070,0.0,28.0,0.024635613
2005-05-05 00:00:00+00,LONG,1064,0.5380217189004242,11.0,0.020802343
2005-05-11 00:00:00+00,LONG,2106,0.0,17.0,0.024006905
2005-05-13 00:00:00+00,LONG,1453,0.0,16.0,0.021654146
2005-05-16 00:00:00+00,LONG,4187,1.0,21.0,0.025216395
2005-05-16 00:00:00+00,LONG,897,1.0,19.0,0.029027127
2005-05-16 00:00:00+00,LONG,3283,1.0,19.0,0.04361034
2005-05-17 00:00:00+00,LONG,335,1.0,20.0,0.021090763
2005-05-20 00:00:00+00,LONG,88,0.8397540776460467,25.0,0.03211296
2005-05-23 00:00:00+00,LONG,93,0.5998734216312184,20.0,0.02475064
2005-06-24 00:00:00+00,LONG,465,0.24462304883645797,19.0,0.028240671
2005-07-07 00:00:00+00,LONG,1099,0.0,12.0,0.023300387
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,27.0,0.052041538
2005-09-20 00:00:00+00,LONG,1410,1.0,18.0,0.020332053
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,18.0,0.029661145
2005-10-12 00:00:00+00,LONG,505,1.0,14.0,0.023965571
2005-10-12 00:00:00+00,LONG,2778,0.6965025661319603,14.0,0.03723377
2005-10-13 00:00:00+00,LONG,84,0.2704183327161197,14.0,0.025176218
2005-10-13 00:00:00+00,LONG,2778,0.6163102683063338,15.0,0.020902742
2005-10-19 00:00:00+00,LONG,3621,0.8338523723251293,18.0,0.020171214
2005-10-20 00:00:00+00,LONG,2070,1.0,16.0,0.020688958
2005-10-21 00:00:00+00,LONG,1819,1.0,21.0,0.041919656
2005-10-27 00:00:00+00,LONG,1087,1.0,15.0,0.025870848
2005-10-27 00:00:00+00,LONG,3853,1.0,14.0,0.03763218
2005-10-27 00:00:00+00,LONG,3973,0.43195951332426696,25.0,0.031186275
2005-11-01 00:00:00+00,LONG,1454,0.30608135482045473,30.0,0.054854628
2005-11-02 00:00:00+00,LONG,1454,0.32207548567166855,31.0,0.02968551
2005-11-16 00:00:00+00,LONG,3677,1.0,20.0,0.039065372
2005-11-16 00:00:00+00,LONG,3694,0.4336090761880416,19.0,0.01893563
2006-01-20 00:00:00+00,LONG,2728,1.0,12.0,0.02311804
2006-01-23 00:00:00+00,LONG,836,0.34898608536698494,28.0,0.020529857
2006-01-25 00:00:00+00,LONG,160,0.5375530812586115,25.0,0.028557934
2006-01-31 00:00:00+00,LONG,610,0.0,22.0,0.026639285
2006-01-31 00:00:00+00,LONG,2659,0.23080962449648249,16.0,0.019826395
2006-02-07 00:00:00+00,LONG,76,0.0,24.0,0.051786605
2006-02-08 00:00:00+00,LONG,76,0.0,25.0,0.018423783
2006-02-21 00:00:00+00,LONG,643,0.0,27.0,0.020550467
2006-02-22 00:00:00+00,LONG,3447,0.8217464756081061,21.0,0.034499075
2006-02-23 00:00:00+00,LONG,3447,0.7858613851265602,22.0,0.021599544
2006-02-28 00:00:00+00,LONG,4016,1.0,27.0,0.021621179
2006-05-08 00:00:00+00,LONG,1867,1.0,21.0,0.024932578
2006-05-10 00:00:00+00,LONG,791,1.0,16.0,0.022531394
2006-05-18 00:00:00+00,LONG,4059,1.0,25.0,0.021963634
2006-06-06 00:00:00+00,LONG,1114,1.0,11.0,0.020740464
2006-06-08 00:00:00+00,LONG,684,0.0,12.0,0.027884921
2006-06-09 00:00:00+00,LONG,2710,0.0,15.0,0.020519853
2006-06-12 00:00:00+00,LONG,2105,0.5433551827301658,13.0,0.02102105
2006-06-12 00:00:00+00,LONG,684,0.0,14.0,0.021927847
2006-06-13 00:00:00+00,LONG,2055,0.48739224337542114,17.0,0.031565674
2006-06-13 00:00:00+00,LONG,88,1.0,11.0,0.05467739
2006-06-13 00:00:00+00,LONG,135,1.0,13.0,0.03062543
2006-06-13 00:00:00+00,LONG,243,0.4859139490052772,16.0,0.031709474
2006-06-13 00:00:00+00,LONG,356,0.0,16.0,0.045566645
2006-06-13 00:00:00+00,LONG,440,0.9061370352849542,13.0,0.030134333
2006-06-13 00:00:00+00,LONG,498,0.0,12.0,0.055313632
2006-06-13 00:00:00+00,LONG,897,0.2862953356635994,17.0,0.018635098
2006-06-13 00:00:00+00,LONG,934,1.0,16.0,0.0534203
2006-06-13 00:00:00+00,LONG,3013,0.8151647870962435,13.0,0.019857215
2006-06-13 00:00:00+00,LONG,984,1.0,16.0,0.025303397
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,14.0,0.035416447
2006-06-13 00:00:00+00,LONG,3124,1.0,15.0,0.046145413
2006-06-13 00:00:00+00,LONG,1173,1.0,18.0,0.06007506
2006-06-13 00:00:00+00,LONG,3236,0.5295738825796439,13.0,0.038767237
2006-06-13 00:00:00+00,LONG,3283,0.6229844170847054,18.0,0.049341686
2006-06-13 00:00:00+00,LONG,3330,1.0,14.0,0.026576482
2006-06-13 00:00:00+00,LONG,1298,0.0,16.0,0.047941644
2006-06-13 00:00:00+00,LONG,3573,1.0,14.0,0.053999025
2006-06-13 00:00:00+00,LONG,3595,1.0,13.0,0.020495087
2006-06-13 00:00:00+00,LONG,3855,0.331333019571244,13.0,0.037139814
2006-06-13 00:00:00+00,LONG,1807,0.37641029739341664,18.0,0.019452922
2006-06-13 00:00:00+00,LONG,1967,0.7517904901567231,13.0,0.039995752
2006-06-13 00:00:00+00,LONG,4086,0.0,14.0,0.04326485
2006-06-14 00:00:00+00,LONG,19,0.9523809523809523,17.0,0.050962355
2006-06-14 00:00:00+00,LONG,2125,1.0,14.0,0.02769251
2006-06-14 00:00:00+00,LONG,219,1.0,14.0,0.0352102
2006-06-14 00:00:00+00,LONG,2272,0.0,17.0,0.051657576
2006-06-14 00:00:00+00,LONG,433,0.8869622294182581,19.0,0.030717298
2006-06-14 00:00:00+00,LONG,2866,0.567509515326536,24.0,0.021639783
2006-06-14 00:00:00+00,LONG,934,0.7757553516126262,17.0,0.023405457
2006-06-14 00:00:00+00,LONG,2990,1.0,19.0,0.03131072
2006-06-14 00:00:00+00,LONG,1022,0.49005842169147684,16.0,0.023289226
2006-06-14 00:00:00+00,LONG,3124,0.7966130737191123,16.0,0.019981235
2006-06-14 00:00:00+00,LONG,3286,0.0,18.0,0.027537076
2006-06-14 00:00:00+00,LONG,3352,0.9565217391304348,14.0,0.04144576
2006-06-14 00:00:00+00,LONG,1610,0.15695566400875247,15.0,0.032472
2006-06-14 00:00:00+00,LONG,1762,0.9565217391304348,14.0,0.028518375
2006-06-14 00:00:00+00,LONG,3841,1.0,16.0,0.01871819
2006-06-20 00:00:00+00,LONG,2272,0.0,21.0,0.024168449
2006-07-14 00:00:00+00,LONG,858,1.0,13.0,0.05258233
2006-07-21 00:00:00+00,LONG,3501,1.0,23.0,0.027516661
2006-08-01 00:00:00+00,LONG,4171,0.6434048428266436,12.0,0.038835205
2006-08-01 00:00:00+00,LONG,4062,0.875,10.0,0.039071593
2006-08-11 00:00:00+00,LONG,1790,0.957345830002671,21.0,0.025031712
2006-08-15 00:00:00+00,LONG,558,0.9807692307692307,10.0,0.02583505
2006-08-28 00:00:00+00,LONG,974,0.5931220137366541,30.0,0.03237436
2006-09-13 00:00:00+00,LONG,4086,0.0,27.0,0.044603266
2006-09-14 00:00:00+00,LONG,4086,0.0,28.0,0.032072883
2006-09-15 00:00:00+00,LONG,4086,0.0,29.0,0.026648277
2006-09-25 00:00:00+00,LONG,498,0.489519317298906,16.0,0.018570578
2006-09-25 00:00:00+00,LONG,2661,0.14427682121962843,10.0,0.04220341
2006-09-25 00:00:00+00,LONG,838,1.0,19.0,0.034365114
2006-09-25 00:00:00+00,LONG,3433,0.6668828169617032,19.0,0.022225356
2006-09-26 00:00:00+00,LONG,2661,0.0,11.0,0.028637033
2006-10-04 00:00:00+00,LONG,2690,0.8914659069735822,16.0,0.02595372
2006-10-13 00:00:00+00,LONG,1087,0.48313044769145147,10.0,0.021169947
2006-11-03 00:00:00+00,LONG,2004,0.31889557230563065,10.0,0.029535726
2006-11-09 00:00:00+00,LONG,3903,1.0,19.0,0.031462494
2006-12-26 00:00:00+00,LONG,2066,0.0,20.0,0.05717906
2006-12-27 00:00:00+00,LONG,2066,0.0,21.0,0.043622516
2006-12-28 00:00:00+00,LONG,2066,0.0,22.0,0.032636717
2007-01-08 00:00:00+00,LONG,874,0.9714285714285714,10.0,0.019515803
2007-01-10 00:00:00+00,LONG,4137,0.5811566555403496,13.0,0.022696333
2007-03-01 00:00:00+00,LONG,3515,0.397737054903723,12.0,0.027922593
2007-03-02 00:00:00+00,LONG,3515,0.4545668765977397,13.0,0.031804744
2007-03-02 00:00:00+00,LONG,1922,0.7898914264472432,15.0,0.021759935
2007-03-05 00:00:00+00,LONG,2116,0.8069144567836084,11.0,0.028964918
2007-03-05 00:00:00+00,LONG,2932,0.9368385782270046,12.0,0.042165805
2007-03-05 00:00:00+00,LONG,3192,0.7879245332169827,22.0,0.039240893
2007-03-05 00:00:00+00,LONG,3255,0.0,12.0,0.024087153
2007-03-05 00:00:00+00,LONG,3515,0.582567639895145,14.0,0.034927256
2007-03-05 00:00:00+00,LONG,3748,0.9008257648256276,31.0,0.021830225
2007-03-05 00:00:00+00,LONG,3861,0.5050909046594043,19.0,0.022271495
2007-03-07 00:00:00+00,LONG,2116,0.9333333333333333,13.0,0.025625022
2007-03-14 00:00:00+00,LONG,3815,0.45477327095100883,31.0,0.020234004
2007-03-28 00:00:00+00,LONG,2226,0.0,16.0,0.022752108
2007-04-09 00:00:00+00,LONG,2142,0.010098372268940066,27.0,0.04751258
2007-04-13 00:00:00+00,LONG,248,0.0,27.0,0.030094061
2007-06-07 00:00:00+00,LONG,516,0.0,10.0,0.025150845
2007-06-12 00:00:00+00,LONG,1807,0.0,14.0,0.044384025
2007-06-13 00:00:00+00,LONG,1807,0.0,15.0,0.019119957
2007-06-18 00:00:00+00,LONG,796,0.0,27.0,0.01990939
2007-06-19 00:00:00+00,LONG,142,0.0,25.0,0.038512386
2007-06-20 00:00:00+00,LONG,142,0.0,26.0,0.034088023
2007-08-01 00:00:00+00,LONG,121,0.0,23.0,0.021146337
2007-08-02 00:00:00+00,LONG,121,0.0,24.0,0.02513779
2007-08-03 00:00:00+00,LONG,4097,0.0,29.0,0.026270133
2007-08-03 00:00:00+00,LONG,121,0.0,25.0,0.047255177
2007-08-08 00:00:00+00,LONG,3885,0.4042320875548007,18.0,0.023175908
2007-08-09 00:00:00+00,LONG,3905,0.21537974421121384,31.0,0.025723398
2007-08-10 00:00:00+00,LONG,194,0.0,12.0,0.03537882
2007-08-13 00:00:00+00,LONG,194,0.0,13.0,0.026345842
2007-08-14 00:00:00+00,LONG,194,0.0,14.0,0.04591091
2007-08-14 00:00:00+00,LONG,555,0.1714893080358053,10.0,0.046374947
2007-08-15 00:00:00+00,LONG,194,0.0,15.0,0.04317773
2007-08-15 00:00:00+00,LONG,304,0.875,10.0,0.02231673
2007-08-15 00:00:00+00,LONG,555,0.22862709495248767,11.0,0.043973166
2007-08-16 00:00:00+00,LONG,4169,0.6315081206261992,14.0,0.024149131
