time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,price_drift_5_df005
2005-01-05 00:00:00+00,LONG,2508,0.0,-0.1799232,-0.08618582
2005-01-05 00:00:00+00,LONG,2548,0.0,-0.141858,-0.08953057
2005-01-06 00:00:00+00,LONG,2508,0.0,-0.1339387,-0.06552358
2005-01-07 00:00:00+00,LONG,2508,0.0,-0.13045977,-0.072916664
2005-01-10 00:00:00+00,LONG,2508,0.0,-0.1294719,-0.053703703
2005-01-12 00:00:00+00,LONG,335,0.4746509083389083,-0.16214974,-0.052467532
2005-01-12 00:00:00+00,LONG,2550,0.0,-0.16623531,-0.06658786
2005-01-12 00:00:00+00,LONG,1700,0.0,-0.11007067,-0.05955937
2005-01-13 00:00:00+00,LONG,1360,0.9622641509433962,-0.12096774,-0.054913294
2005-01-20 00:00:00+00,LONG,19,1.0,-0.11292962,-0.0872006
2005-01-21 00:00:00+00,LONG,2248,1.0,-0.12513845,-0.057973437
2005-01-21 00:00:00+00,LONG,1615,0.0,-0.13781701,-0.065741435
2005-01-21 00:00:00+00,LONG,3994,0.9333333333333333,-0.13305174,-0.08268157
2005-01-24 00:00:00+00,LONG,2248,0.9827586206896551,-0.11421174,-0.06346655
2005-01-24 00:00:00+00,LONG,2877,1.0,-0.109683074,-0.0640258
2005-01-24 00:00:00+00,LONG,3853,1.0,-0.13059857,-0.07565643
2005-01-25 00:00:00+00,LONG,2066,0.7335350208518384,-0.13657957,-0.073098175
2005-01-25 00:00:00+00,LONG,2248,0.9655172413793104,-0.12013638,-0.060585182
2005-01-25 00:00:00+00,LONG,323,1.0,-0.13278401,-0.08567577
2005-01-25 00:00:00+00,LONG,2567,0.0,-0.13135593,-0.084821425
2005-01-25 00:00:00+00,LONG,2686,1.0,-0.11489899,-0.06843854
2005-01-25 00:00:00+00,LONG,1454,0.0,-0.11285668,-0.05407218
2005-01-25 00:00:00+00,LONG,3596,0.0,-0.1574026,-0.054227404
2005-01-25 00:00:00+00,LONG,1700,0.0,-0.17137693,-0.05667789
2005-01-25 00:00:00+00,LONG,3853,0.9777777777777777,-0.114836544,-0.061333332
2005-01-26 00:00:00+00,LONG,2567,0.0,-0.12627119,-0.06357857
2005-01-27 00:00:00+00,LONG,3470,0.4468800984768633,-0.1179897,-0.05045025
2005-01-28 00:00:00+00,LONG,1360,0.7735849056603774,-0.15485564,-0.07471264
2005-01-31 00:00:00+00,LONG,2527,1.0,-0.12942272,-0.06030151
2005-01-31 00:00:00+00,LONG,1299,0.6813947224918291,-0.13754444,-0.052852854
2005-02-02 00:00:00+00,LONG,3703,0.0,-0.12975098,-0.07884393
2005-02-03 00:00:00+00,LONG,3355,0.0,-0.18870704,-0.06524609
2005-02-04 00:00:00+00,LONG,3355,0.0,-0.1775974,-0.0566108
2005-02-07 00:00:00+00,LONG,3355,0.0,-0.14630063,-0.055555556
2005-02-08 00:00:00+00,LONG,3355,0.0,-0.13574661,-0.051149953
2005-02-08 00:00:00+00,LONG,1610,0.0,-0.14544067,-0.054788917
2005-02-08 00:00:00+00,LONG,1807,0.0,-0.17747077,-0.05378973
2005-02-09 00:00:00+00,LONG,3355,0.0,-0.12588622,-0.06388889
2005-02-22 00:00:00+00,LONG,4062,1.0,-0.11516112,-0.09214092
2005-02-23 00:00:00+00,LONG,2504,0.0,-0.14431138,-0.071474984
2005-03-01 00:00:00+00,LONG,135,0.8571428571428572,-0.1355398,-0.08887043
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,-0.119760476,-0.05995204
2005-03-21 00:00:00+00,LONG,1817,0.0,-0.124382205,-0.08859674
2005-03-23 00:00:00+00,LONG,796,0.9,-0.12762454,-0.06816183
2005-03-24 00:00:00+00,LONG,796,0.8833333333333333,-0.120081134,-0.08481013
2005-03-28 00:00:00+00,LONG,796,0.8666666666666667,-0.1679718,-0.093043104
2005-03-28 00:00:00+00,LONG,1244,1.0,-0.16541182,-0.08641355
2005-03-29 00:00:00+00,LONG,796,0.85,-0.1640686,-0.06576655
2005-03-29 00:00:00+00,LONG,1396,0.0,-0.13157895,-0.072674416
2005-04-01 00:00:00+00,LONG,4223,0.5925976164451335,-0.12789029,-0.059571255
2005-04-04 00:00:00+00,LONG,4223,0.5477791937731813,-0.13317788,-0.08287118
2005-04-04 00:00:00+00,LONG,2330,0.0,-0.13762575,-0.06785559
2005-04-04 00:00:00+00,LONG,505,0.9555555555555556,-0.12001017,-0.09160105
2005-04-04 00:00:00+00,LONG,1960,1.0,-0.14935064,-0.05346821
2005-04-13 00:00:00+00,LONG,2690,0.0,-0.13503367,-0.08626258
2005-04-14 00:00:00+00,LONG,88,0.0,-0.11111111,-0.05882353
2005-04-14 00:00:00+00,LONG,2690,0.0,-0.1328316,-0.07944098
2005-04-14 00:00:00+00,LONG,3918,0.0,-0.12511759,-0.06532663
2005-04-15 00:00:00+00,LONG,2690,0.0,-0.15359408,-0.0902683
2005-04-15 00:00:00+00,LONG,3794,1.0,-0.1295558,-0.09153046
2005-04-18 00:00:00+00,LONG,142,0.5412770767386312,-0.12576605,-0.0718529
2005-04-18 00:00:00+00,LONG,3127,1.0,-0.12964286,-0.08658171
2005-04-18 00:00:00+00,LONG,3137,1.0,-0.11822126,-0.057118006
2005-04-19 00:00:00+00,LONG,142,0.3710416513709797,-0.12110818,-0.06195438
2005-04-19 00:00:00+00,LONG,3610,0.31798871557553865,-0.121135324,-0.08688784
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,-0.12902361,-0.058294665
2005-04-22 00:00:00+00,LONG,2032,1.0,-0.14285715,-0.083146065
2005-04-27 00:00:00+00,LONG,3443,1.0,-0.13197026,-0.084672675
2005-04-28 00:00:00+00,LONG,4163,0.8862829657709914,-0.10817438,-0.051304348
2005-04-28 00:00:00+00,LONG,3443,0.9666666666666667,-0.16578484,-0.079766534
2005-04-28 00:00:00+00,LONG,1454,0.7046065733101364,-0.13143161,-0.056740846
2005-04-29 00:00:00+00,LONG,2133,0.8131791695060228,-0.1534449,-0.050694615
2005-04-29 00:00:00+00,LONG,2248,1.0,-0.13629402,-0.054325957
2005-04-29 00:00:00+00,LONG,309,0.7379318653512232,-0.13595541,-0.06576047
2005-04-29 00:00:00+00,LONG,3443,0.9333333333333333,-0.15302491,-0.06666667
2005-04-29 00:00:00+00,LONG,1700,1.0,-0.14723662,-0.08712734
2005-05-02 00:00:00+00,LONG,2248,0.962962962962963,-0.13083538,-0.069078945
