time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,price_drift_abs_21_df006
2005-01-05 00:00:00+00,LONG,2548,0.0,-0.65314776,0.141858
2005-01-11 00:00:00+00,LONG,1360,1.0,-0.7207721,0.16216215
2005-01-12 00:00:00+00,LONG,270,0.0,-0.8064391,0.1061935
2005-01-12 00:00:00+00,LONG,335,0.4746509083389083,-0.6886975,0.16214974
2005-01-12 00:00:00+00,LONG,2778,0.6302691573533779,-0.9723666,0.10957495
2005-01-12 00:00:00+00,LONG,1700,0.0,-0.77312404,0.11007067
2005-01-19 00:00:00+00,LONG,3994,0.9777777777777777,-0.6520345,0.105291575
2005-01-20 00:00:00+00,LONG,3994,0.9555555555555556,-0.66248477,0.14316013
2005-01-24 00:00:00+00,LONG,142,0.6600240504941072,-0.7029552,0.15038721
2005-01-24 00:00:00+00,LONG,2567,0.0,-0.70876914,0.15319866
2005-01-24 00:00:00+00,LONG,3853,1.0,-0.7718629,0.13059857
2005-01-25 00:00:00+00,LONG,323,1.0,-0.73603934,0.13278401
2005-01-25 00:00:00+00,LONG,3596,0.0,-0.8349081,0.1574026
2005-01-28 00:00:00+00,LONG,918,0.8596649842144901,-0.68067056,0.10599803
2005-01-31 00:00:00+00,LONG,1299,0.6813947224918291,-0.75665677,0.13754444
2005-02-01 00:00:00+00,LONG,1299,0.6199060819317226,-0.65191406,0.11387507
2005-02-17 00:00:00+00,LONG,135,1.0,-0.83202446,0.12163265
2005-02-23 00:00:00+00,LONG,2504,0.0,-0.7935076,0.14431138
2005-02-28 00:00:00+00,LONG,3255,0.19802885898219078,-0.7694345,0.15883625
2005-03-01 00:00:00+00,LONG,3255,0.19385218171245833,-0.7182033,0.16805391
2005-03-02 00:00:00+00,LONG,3255,0.15697682317064188,-0.71674836,0.1502924
2005-03-03 00:00:00+00,LONG,3255,0.12451495321658895,-0.6949891,0.12700842
2005-03-09 00:00:00+00,LONG,167,0.3921428452506118,-0.9299534,0.138404
2005-03-10 00:00:00+00,LONG,167,0.4305722005119786,-0.92748076,0.10723514
2005-03-11 00:00:00+00,LONG,167,0.6560732543923911,-0.6598996,0.14197531
2005-03-14 00:00:00+00,LONG,167,0.8275862068965517,-0.7091815,0.11989796
2005-03-14 00:00:00+00,LONG,796,0.0,-0.7877557,0.13562752
2005-03-21 00:00:00+00,LONG,1817,0.0,-0.67529684,0.124382205
2005-03-23 00:00:00+00,LONG,401,0.0,-0.6417361,0.120162934
2005-03-23 00:00:00+00,LONG,1396,0.0,-0.7412193,0.11061947
2005-03-23 00:00:00+00,LONG,3994,0.0,-0.6380862,0.11332385
2005-04-14 00:00:00+00,LONG,88,0.0,-0.6731861,0.11111111
2005-04-14 00:00:00+00,LONG,3918,0.0,-0.7345074,0.12511759
2005-04-15 00:00:00+00,LONG,540,0.6643908100364903,-0.87018657,0.12302681
2005-04-15 00:00:00+00,LONG,2690,0.0,-0.7196388,0.15359408
2005-04-15 00:00:00+00,LONG,870,0.0,-0.7181731,0.13862227
2005-04-15 00:00:00+00,LONG,3610,0.32936249995409533,-0.7590352,0.12835349
2005-04-15 00:00:00+00,LONG,3815,1.0,-0.83873624,0.1354234
2005-04-18 00:00:00+00,LONG,4112,1.0,-0.8339006,0.13348003
