time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_13_50_df007,accel_price_5_df021,weighted_neg_sum_10_df036,dist_lower_bb_50_2.0_df055
2005-01-13 00:00:00+00,LONG,2133,0.0,-0.02938417,-0.003900171,0.13416673,-0.02164933
2005-01-18 00:00:00+00,LONG,309,0.0,-0.02377994,-0.034918383,0.12883341,-0.035473008
2005-01-20 00:00:00+00,LONG,3994,0.9555555555555556,-0.02037378,-0.027883824,0.14914918,0.03055711
2005-01-24 00:00:00+00,LONG,2567,0.0,-0.03699364,-0.034547586,0.15331765,0.05249287
2005-01-24 00:00:00+00,LONG,1700,0.0,-0.06737673,-0.017645458,0.14108627,-0.02433864
2005-01-25 00:00:00+00,LONG,323,1.0,-0.046541866,-0.017175097,0.13640043,0.034282327
2005-01-25 00:00:00+00,LONG,988,0.9655172413793104,-0.025233537,-0.024030419,0.14670628,-0.014976052
2005-01-28 00:00:00+00,LONG,19,0.9655172413793104,-0.02918864,-0.031342104,0.14933167,-0.04166923
2005-01-31 00:00:00+00,LONG,19,0.9310344827586207,-0.033188526,0.009433396,0.14933167,-0.056124326
2005-01-31 00:00:00+00,LONG,3352,0.0,-0.020471552,0.010694575,0.13413568,-0.04129434
2005-02-01 00:00:00+00,LONG,2567,0.0,-0.05833133,0.0091111865,0.13133952,-0.0397581
2005-02-07 00:00:00+00,LONG,3355,0.0,-0.070307046,0.0010552452,0.13021874,0.0045679943
2005-02-23 00:00:00+00,LONG,429,0.0,-0.026324073,-0.029120952,0.13981712,-0.045693673
2005-02-23 00:00:00+00,LONG,2504,0.0,-0.032721665,0.008131265,0.1410914,0.034906622
2005-02-24 00:00:00+00,LONG,135,0.9183673469387755,-0.05952402,0.010594434,0.15848923,-0.022832327
2005-02-25 00:00:00+00,LONG,135,0.8979591836734694,-0.06324248,0.0042574876,0.15353668,-0.011716083
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,-0.04646525,-0.011369042,0.14335302,0.020338073
2005-04-04 00:00:00+00,LONG,4223,0.5477791937731813,-0.03767331,-0.02329992,0.13377848,0.018844387
2005-04-15 00:00:00+00,LONG,3794,1.0,-0.04471367,-0.01129958,0.15235718,0.054506376
2005-04-18 00:00:00+00,LONG,4112,1.0,-0.050969567,-0.003421293,0.15312539,0.04524162
2005-04-18 00:00:00+00,LONG,2716,0.0,-0.05127635,0.0034075144,0.14180937,-0.027535029
2005-04-18 00:00:00+00,LONG,3137,1.0,-0.034442585,0.006205777,0.12675677,0.024771411
2005-04-18 00:00:00+00,LONG,3744,0.0,-0.025559643,0.011231979,0.13606264,0.0048340037
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,-0.048172664,-0.0053150584,0.15235718,0.041694317
2005-04-19 00:00:00+00,LONG,4112,0.9791666666666666,-0.05611918,6.768565E-5,0.15754782,0.037439723
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,-0.052636344,-0.01782808,0.15235718,0.031093832
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,-0.043051854,0.0036597154,0.13881475,0.020083647
2005-04-20 00:00:00+00,LONG,2716,0.0,-0.048728418,0.0061900592,0.15176573,-0.049840353
2005-04-20 00:00:00+00,LONG,3127,0.9583333333333334,-0.045940388,-0.011658427,0.1351151,-0.018242484
2005-04-20 00:00:00+00,LONG,3355,0.3375811641386448,-0.050985258,0.0055124904,0.14961597,0.016327608
2005-04-26 00:00:00+00,LONG,3773,0.9545454545454546,-0.05463271,0.0050098198,0.16010226,-0.074180536
2005-04-27 00:00:00+00,LONG,3815,0.6190476190476191,-0.053342994,-0.029972138,0.14497718,-0.037458666
2005-04-29 00:00:00+00,LONG,64,0.0,-0.06300783,0.004370183,0.14253116,-0.04351627
2005-04-29 00:00:00+00,LONG,3443,0.9333333333333333,-0.0657074,0.013099871,0.13739227,0.007952881
2005-04-29 00:00:00+00,LONG,3744,0.0,-0.047271926,0.012719304,0.13587792,-0.037800945
2005-05-16 00:00:00+00,LONG,897,1.0,-0.023691988,-0.03238674,0.13728145,0.029027127
2005-05-16 00:00:00+00,LONG,1173,1.0,-0.037349828,-0.0012078945,0.14665568,0.005132899
2005-05-17 00:00:00+00,LONG,4136,0.0,-0.05414355,-0.014674258,0.1306876,-0.025637183
2005-05-17 00:00:00+00,LONG,4224,0.0,-0.07131391,0.010578631,0.12655993,-0.006485513
2005-05-18 00:00:00+00,LONG,712,0.0,-0.027298434,-0.0046960497,0.15626143,-0.07364807
2005-05-18 00:00:00+00,LONG,3283,0.9545454545454546,-0.054122284,-0.0106738005,0.14216357,-0.021039944
2005-05-20 00:00:00+00,LONG,3283,0.9090909090909091,-0.05642671,0.013438115,0.15519731,-0.023757089
2005-05-20 00:00:00+00,LONG,3586,0.2167691618703161,-0.020051833,0.0075,0.14032914,-0.009438587
2005-05-23 00:00:00+00,LONG,3586,0.30073072817160446,-0.021731654,0.013617076,0.13829662,-0.043326516
2005-05-24 00:00:00+00,LONG,335,0.7916666666666667,-0.06839895,-0.016819216,0.147971,-0.08116482
2005-05-25 00:00:00+00,LONG,3283,0.8409090909090909,-0.05733643,-0.015258211,0.14553775,-0.07701445
2005-05-26 00:00:00+00,LONG,3586,0.2204415881710919,-0.026112838,2.2781371E-4,0.132773,-0.04777919
2005-05-27 00:00:00+00,LONG,3586,0.1960015380587015,-0.026461588,-0.013203865,0.13774607,-0.04311659
2005-05-31 00:00:00+00,LONG,3586,0.16419368708941814,-0.026259314,-0.025046641,0.13774607,-0.051628385
2005-07-05 00:00:00+00,LONG,2550,0.15675082771820115,-0.026576828,-0.011519394,0.13936459,-0.049768236
2005-07-06 00:00:00+00,LONG,2731,0.9210526315789473,-0.048864886,-0.01491055,0.12787636,-0.034530513
