time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_5_20_df042,skew_weighted_10_df037,velocity_price_univ_zscore_5_df048,weighted_neg_sum_10_df036,price_drift_21_df005
2005-01-06 00:00:00+00,LONG,2508,0.0,0.0,-0.50362426,-1.2749267,0.09976479,-0.1339387
2005-01-06 00:00:00+00,LONG,2548,0.96,0.0,-0.5073898,-1.8113475,0.092800364,-0.1057511
2005-01-07 00:00:00+00,LONG,2508,0.0,0.0,-0.58151543,-2.0447447,0.10828379,-0.13045977
2005-01-10 00:00:00+00,LONG,2508,0.0,0.0,-0.52256817,-3.9844594,0.10828379,-0.1294719
2005-01-11 00:00:00+00,LONG,2508,0.0,0.0,-0.5603475,-0.3805481,0.12050634,-0.13605052
2005-01-11 00:00:00+00,LONG,2548,0.0,0.0,-0.59066784,0.8875204,0.11655382,-0.11088489
2005-01-12 00:00:00+00,LONG,2548,0.8,0.0,-0.44108498,1.1322466,0.11639253,-0.12536044
2005-01-13 00:00:00+00,LONG,780,0.0,0.0,-0.5879616,-1.8876582,0.117333435,-0.13851482
2005-01-14 00:00:00+00,LONG,3815,0.9512195121951219,0.0,-0.58922774,-2.3160708,0.090986386,-0.104375124
2005-01-21 00:00:00+00,LONG,988,1.0,0.0,-0.5540496,-4.3360133,0.16614407,-0.10080241
2005-01-24 00:00:00+00,LONG,1,0.0,0.0,-0.4044387,-0.8168658,0.097871125,-0.10666667
2005-01-24 00:00:00+00,LONG,183,0.0,0.0,-0.420437,-5.5909624,0.102933295,-0.10712183
2005-01-24 00:00:00+00,LONG,2877,1.0,0.0,-0.49518406,-3.9956243,0.08013255,-0.109683074
2005-01-25 00:00:00+00,LONG,2066,0.7335350208518384,0.0,-0.4873174,-3.8841321,0.09589031,-0.13657957
2005-01-25 00:00:00+00,LONG,2248,0.9655172413793104,0.0,-0.4664629,-2.908198,0.09783562,-0.12013638
2005-01-25 00:00:00+00,LONG,2567,0.0,0.0,-0.5399776,-4.798472,0.15069985,-0.13135593
2005-01-25 00:00:00+00,LONG,2686,1.0,0.0,-0.5863611,-3.5207102,0.13237968,-0.11489899
2005-01-25 00:00:00+00,LONG,988,0.9655172413793104,0.0,-0.43465593,-3.7467403,0.14670628,-0.10742574
2005-01-25 00:00:00+00,LONG,1667,0.26289468945933714,0.0,-0.4065623,-1.453112,0.048812427,-0.108168386
2005-01-25 00:00:00+00,LONG,3853,0.9777777777777777,0.0,-0.51745147,-2.9665492,0.098247245,-0.114836544
2005-01-25 00:00:00+00,LONG,1966,1.0,0.0,-0.4763294,-0.92975503,0.103188954,-0.1125687
2005-01-26 00:00:00+00,LONG,142,0.5536374725322191,0.0,-0.52916574,1.1054553,0.06485244,-0.129771
2005-01-26 00:00:00+00,LONG,323,0.0,0.0,-0.6057957,-3.868167,0.12251895,-0.102849096
2005-01-27 00:00:00+00,LONG,142,0.5320071026884413,0.0,-0.512315,0.19038977,0.06373512,-0.13781808
2005-01-27 00:00:00+00,LONG,3470,0.4468800984768633,0.0,-0.420813,-4.883258,0.06315913,-0.1179897
2005-01-27 00:00:00+00,LONG,3596,0.0,0.0,-0.5389537,-1.5383106,0.11284857,-0.14997432
2005-01-27 00:00:00+00,LONG,3699,0.0,0.0,-0.40778962,-1.8793843,0.14235622,-0.15922798
2005-01-27 00:00:00+00,LONG,3912,0.0,0.0,-0.53265584,-1.8042,0.059700854,-0.13811576
2005-01-27 00:00:00+00,LONG,3918,0.5599568806079668,0.0,-0.4186474,-4.221787,0.11738857,-0.13952255
2005-01-28 00:00:00+00,LONG,64,0.6236082041177198,0.0,-0.54194385,-2.5239446,0.06750684,-0.12284585
2005-01-28 00:00:00+00,LONG,142,0.4724726248925554,0.0,-0.4360205,-0.22264822,0.05233272,-0.13515566
2005-01-28 00:00:00+00,LONG,3378,0.4318341918530674,0.0,-0.5216955,-2.086109,0.06688373,-0.11455399
2005-01-28 00:00:00+00,LONG,3470,0.4333715322599361,0.0,-0.44990367,-4.3504233,0.06315913,-0.1059013
2005-01-28 00:00:00+00,LONG,3596,0.0,0.0,-0.53824425,-2.4829361,0.11262325,-0.15583076
2005-01-28 00:00:00+00,LONG,3912,0.0,0.0,-0.40362576,-1.2433631,0.04570759,-0.13555764
2005-01-31 00:00:00+00,LONG,3699,0.0,0.0,-0.4012608,0.59091383,0.13426124,-0.18335274
2005-02-01 00:00:00+00,LONG,2923,0.0,0.0,-0.4754845,-3.1262815,0.06217875,-0.113262914
2005-02-01 00:00:00+00,LONG,3470,0.39552374503994236,0.0,-0.50710976,-2.0511837,0.06315913,-0.117093556
2005-02-02 00:00:00+00,LONG,2923,0.16739787029490608,0.0,-0.48093644,-3.1480272,0.06306401,-0.100898206
2005-02-08 00:00:00+00,LONG,3912,0.0,0.0,-0.43807974,-3.9814613,0.043373417,-0.112814374
2005-02-14 00:00:00+00,LONG,522,0.9523809523809523,0.0,-0.5499487,-5.710326,0.07565479,-0.11097257
2005-02-24 00:00:00+00,LONG,2504,0.0,0.0,-0.40553597,-3.789983,0.13657857,-0.105031066
2005-03-21 00:00:00+00,LONG,2006,0.42865138639213674,0.0,-0.60320723,0.27654275,0.1436192,-0.10866261
2005-03-22 00:00:00+00,LONG,2006,0.38498369111906305,0.0,-0.52699643,5.136337,0.1230085,-0.107061505
2005-03-31 00:00:00+00,LONG,2330,0.0,0.0,-0.40257913,-1.7769141,0.119069226,-0.10035986
2005-04-01 00:00:00+00,LONG,2330,0.0,0.0,-0.48842007,-2.9691207,0.13551368,-0.114445776
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,0.0,-0.46873972,-2.563014,0.11025585,-0.105913326
2005-04-04 00:00:00+00,LONG,2330,0.0,0.0,-0.59962153,-5.850828,0.16714494,-0.13762575
2005-04-04 00:00:00+00,LONG,3641,0.9310344827586207,0.0,-0.45992973,-4.8535275,0.11025585,-0.10546558
2005-04-15 00:00:00+00,LONG,1383,1.0,0.0,-0.5426558,-1.6511983,0.11173455,-0.10439657
2005-04-15 00:00:00+00,LONG,3794,1.0,0.0,-0.4398821,-2.3351977,0.15235718,-0.1295558
2005-04-18 00:00:00+00,LONG,2686,0.4569886326227233,0.0,-0.4184971,-0.3159483,0.06687562,-0.097725876
2005-04-18 00:00:00+00,LONG,3127,1.0,0.0,-0.5729696,-2.4859612,0.12565182,-0.12964286
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,0.0,-0.5751474,-0.9510099,0.08414862,-0.09991103
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,0.0,-0.47048253,-3.0202165,0.15235718,-0.15745324
2005-04-19 00:00:00+00,LONG,142,0.3710416513709797,0.0,-0.5700943,-2.6670601,0.11963773,-0.12110818
2005-04-19 00:00:00+00,LONG,3137,0.9787234042553191,0.0,-0.54741484,-1.7915272,0.11483881,-0.100630656
2005-04-19 00:00:00+00,LONG,1719,0.9791666666666666,0.0,-0.5453106,-5.6663156,0.14633733,-0.14432235
2005-04-21 00:00:00+00,LONG,3355,0.28273120784372263,0.0,-0.53858405,-0.6738298,0.11834799,-0.101626016
2005-04-21 00:00:00+00,LONG,1719,0.9375,0.0,-0.41690725,-0.7766821,0.16740333,-0.12352071
2005-04-22 00:00:00+00,LONG,142,0.5963017436912298,0.0,-0.40468854,-0.31769794,0.1425701,-0.10077093
2005-04-22 00:00:00+00,LONG,3355,0.28995228505081566,0.0,-0.47390765,-2.1910985,0.09943528,-0.11430793
2005-04-26 00:00:00+00,LONG,1719,0.875,0.0,-0.4685206,-0.43749675,0.16684791,-0.15609044
2005-04-28 00:00:00+00,LONG,3443,0.9666666666666667,0.0,-0.49816394,-3.8005834,0.16569416,-0.16578484
2005-04-29 00:00:00+00,LONG,191,1.0,0.0,-0.53437334,-1.4030534,0.11533836,-0.11724566
2005-05-02 00:00:00+00,LONG,191,0.9279035081856206,0.0,-0.43257657,-1.5326475,0.10433512,-0.1155034
2005-05-03 00:00:00+00,LONG,191,0.9375,0.0,-0.40562135,-1.6356244,0.10433512,-0.09968652
2005-05-05 00:00:00+00,LONG,2070,0.0,0.0,-0.47962722,-5.255227,0.12927186,-0.121658154
2005-05-05 00:00:00+00,LONG,2133,0.9047619047619048,0.0,-0.5995839,-3.2966743,0.09234678,-0.11880072
2005-05-05 00:00:00+00,LONG,1700,0.8571428571428572,0.0,-0.43759304,-1.5871524,0.11177791,-0.11929976
2005-05-06 00:00:00+00,LONG,2070,0.0,0.0,-0.5848492,-5.638686,0.13166243,-0.14831576
2005-05-09 00:00:00+00,LONG,2070,0.0,0.0,-0.49411923,-5.8210697,0.12515081,-0.13248707
2005-05-09 00:00:00+00,LONG,2133,0.72114979151711,0.0,-0.48710063,-1.8982065,0.074436635,-0.12641887
2005-05-10 00:00:00+00,LONG,2070,0.0,0.0,-0.43836764,1.5929393,0.10852115,-0.13433166
2005-05-11 00:00:00+00,LONG,2070,0.0,0.0,-0.48762158,-0.64696103,0.118415385,-0.15708478
2005-05-12 00:00:00+00,LONG,2070,0.22472924521704488,0.0,-0.48884848,-0.7447109,0.11879751,-0.1519025
