time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_8_50_df007,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-04 00:00:00+00,LONG,1585,0.367464353256297,-0.01452101,0.015275408,0.0
2005-01-05 00:00:00+00,LONG,2508,0.0,-0.031800535,-0.025936319,0.0
2005-01-05 00:00:00+00,LONG,2548,0.0,-0.040935963,-0.020789431,0.0
2005-01-05 00:00:00+00,LONG,1585,0.56510605235536,-0.023181966,0.016032025,0.0
2005-01-06 00:00:00+00,LONG,304,1.0,-0.010428331,0.0019862913,0.0
2005-01-06 00:00:00+00,LONG,2548,0.96,-0.053764444,-6.751081E-4,0.0
2005-01-06 00:00:00+00,LONG,1585,0.36302317247718685,-0.030061495,0.012102279,0.0
2005-01-07 00:00:00+00,LONG,304,0.96875,-0.017174693,0.009202059,0.0
2005-01-07 00:00:00+00,LONG,2548,0.92,-0.0636553,0.0036067187,0.0
2005-01-07 00:00:00+00,LONG,1585,0.6108826395588542,-0.037769172,0.0055570398,0.0
2005-01-10 00:00:00+00,LONG,4176,0.0,-0.0109313,-0.024107907,0.0
2005-01-10 00:00:00+00,LONG,243,0.3820752055884683,-0.032409556,-0.021183748,0.0
2005-01-10 00:00:00+00,LONG,304,0.7201865192716659,-0.023223141,7.3428836E-4,0.0
2005-01-10 00:00:00+00,LONG,2548,0.88,-0.07115244,-0.022706093,0.0
2005-01-10 00:00:00+00,LONG,1012,0.9302325581395349,-0.027315142,-0.012196021,0.0
2005-01-10 00:00:00+00,LONG,1585,0.42981765283428724,-0.041903276,-0.012021832,0.0
2005-01-10 00:00:00+00,LONG,3716,0.0,-0.010591103,-0.001092509,0.0
2005-01-10 00:00:00+00,LONG,1819,0.488743128061124,-0.021148475,4.454804E-4,0.0
2005-01-11 00:00:00+00,LONG,4176,0.3705156634457092,-0.015361034,-0.024417117,0.0
2005-01-11 00:00:00+00,LONG,2133,0.0,-0.044593316,0.005907085,0.0
2005-01-11 00:00:00+00,LONG,243,0.3429623549118951,-0.035682525,-0.031389914,0.0
2005-01-11 00:00:00+00,LONG,248,0.8401417646752414,-0.018086705,-0.0048727053,0.0
2005-01-11 00:00:00+00,LONG,2305,0.0,-0.027645463,-0.027014421,0.0
2005-01-11 00:00:00+00,LONG,304,0.90625,-0.026884248,-0.0093391985,0.0
2005-01-11 00:00:00+00,LONG,309,1.0,-0.026063826,-0.0101517,0.0
2005-01-11 00:00:00+00,LONG,2508,0.0,-0.06956393,-0.029372185,0.0
2005-01-11 00:00:00+00,LONG,937,0.35761189089865225,-0.032596067,-0.007977054,0.0
2005-01-11 00:00:00+00,LONG,1012,0.9069767441860466,-0.029352568,-0.014070087,0.0
2005-01-11 00:00:00+00,LONG,1473,1.0,-0.014951861,5.457107E-4,0.0
2005-01-11 00:00:00+00,LONG,1585,0.5393658817043794,-0.045833908,-0.012805235,0.0
2005-01-11 00:00:00+00,LONG,3716,0.0,-0.017331053,0.0067547,0.0
2005-01-11 00:00:00+00,LONG,1819,0.9655172413793104,-0.02625414,0.00449327,0.0
2005-01-12 00:00:00+00,LONG,4176,0.0,-0.019463653,-0.020132737,0.0
2005-01-12 00:00:00+00,LONG,248,0.7787746649393058,-0.025363348,-0.017535392,0.0
2005-01-12 00:00:00+00,LONG,270,0.0,-0.031907693,-0.011810185,0.0
2005-01-12 00:00:00+00,LONG,304,0.5805751017091422,-0.029636683,-0.02596103,0.0
2005-01-12 00:00:00+00,LONG,2367,0.0,-0.011778285,-0.0024691042,0.0
2005-01-12 00:00:00+00,LONG,2778,0.6302691573533779,-0.032807354,0.0035800885,0.0
2005-01-12 00:00:00+00,LONG,780,0.0,-0.018571911,-0.028727604,0.0
2005-01-12 00:00:00+00,LONG,869,1.0,-0.023416266,-0.005497962,0.0
2005-01-12 00:00:00+00,LONG,937,0.3238868276508612,-0.035234176,-0.016902894,0.0
2005-01-12 00:00:00+00,LONG,3065,0.2632579126638458,-0.013901743,-0.022955347,0.0
2005-01-12 00:00:00+00,LONG,1167,0.8260869565217391,-0.016369415,-0.028039472,0.0
2005-01-12 00:00:00+00,LONG,3286,0.0,-0.03504173,-0.021882737,0.0
2005-01-12 00:00:00+00,LONG,1333,0.488293316121844,-0.012047801,-0.025200449,0.0
2005-01-12 00:00:00+00,LONG,1404,0.0,-0.053525753,-0.027953057,0.0
2005-01-12 00:00:00+00,LONG,1473,0.33045111568794605,-0.019885173,-0.024181379,0.0
2005-01-12 00:00:00+00,LONG,1585,0.41608487672587885,-0.049365982,-0.013171376,0.0
2005-01-12 00:00:00+00,LONG,3716,0.26370611317983966,-0.022396965,-0.0050290087,0.0
2005-01-12 00:00:00+00,LONG,1700,0.0,-0.038695116,-0.026738696,0.0
2005-01-12 00:00:00+00,LONG,3815,1.0,-0.029349554,-0.009633579,0.0
2005-01-12 00:00:00+00,LONG,1819,0.3753676860594517,-0.027734773,-0.024296697,0.0
2005-01-12 00:00:00+00,LONG,4049,0.608352809037504,-0.05323541,0.03720511,0.0
2005-01-13 00:00:00+00,LONG,4176,0.0,-0.021427542,-0.025175048,0.0
2005-01-13 00:00:00+00,LONG,2133,0.0,-0.054198176,-0.02164933,0.0
2005-01-13 00:00:00+00,LONG,248,0.9019607843137255,-0.032804865,-0.005230949,0.0
2005-01-13 00:00:00+00,LONG,270,0.3107189306265397,-0.04275975,-0.020988954,0.0
2005-01-13 00:00:00+00,LONG,304,0.84375,-0.030699896,-0.02606662,0.0
2005-01-13 00:00:00+00,LONG,2367,0.0,-0.016431015,-0.012553415,0.0
2005-01-13 00:00:00+00,LONG,345,0.44205568760933645,-0.010852044,-0.018805737,0.0
2005-01-13 00:00:00+00,LONG,2778,0.5771284843853854,-0.042798042,0.0017832976,0.0
2005-01-13 00:00:00+00,LONG,780,0.0,-0.031248126,-3.6097603E-4,0.0
2005-01-13 00:00:00+00,LONG,869,0.962962962962963,-0.027533777,-0.010247969,0.0
2005-01-13 00:00:00+00,LONG,1012,0.2443420928910297,-0.026472826,-0.027366195,0.0
2005-01-13 00:00:00+00,LONG,3065,0.2547823042140948,-0.017107,-0.016516553,0.0
2005-01-13 00:00:00+00,LONG,1141,1.0,-0.023457052,-0.0035187574,0.0
2005-01-13 00:00:00+00,LONG,1167,0.782608695652174,-0.017022617,-0.027144466,0.0
2005-01-13 00:00:00+00,LONG,1184,0.48926530225006987,-0.010393207,-0.030746523,0.0
2005-01-13 00:00:00+00,LONG,3286,0.0,-0.040541805,-0.016449999,0.0
2005-01-13 00:00:00+00,LONG,1333,0.43436103184489677,-0.013770678,-0.02732676,0.0
2005-01-13 00:00:00+00,LONG,1473,0.373101365735138,-0.02597279,-0.013012025,0.0
2005-01-13 00:00:00+00,LONG,1585,0.5033614473655315,-0.049863134,-0.015187287,0.0
2005-01-13 00:00:00+00,LONG,3716,0.0,-0.028147385,0.0028220017,0.0
2005-01-13 00:00:00+00,LONG,3815,0.975609756097561,-0.033284042,-0.017500766,0.0
2005-01-13 00:00:00+00,LONG,1819,0.40133771422354636,-0.03034002,-0.012276374,0.0
2005-01-13 00:00:00+00,LONG,4049,0.5557089936696797,-0.061474197,0.021172889,0.0
2005-01-14 00:00:00+00,LONG,4176,0.0,-0.020692961,-0.02713638,0.0
2005-01-14 00:00:00+00,LONG,4237,0.513246105322965,-0.028309649,0.0135763055,0.0
2005-01-14 00:00:00+00,LONG,248,0.8823529411764706,-0.034849145,-0.020098848,0.0
2005-01-14 00:00:00+00,LONG,270,0.2536080082989986,-0.050654016,-0.02687857,0.0
2005-01-14 00:00:00+00,LONG,465,0.6190160326321641,-0.014948487,-0.03223075,0.0
2005-01-14 00:00:00+00,LONG,2778,0.46263471919049837,-0.04964648,-0.016551886,0.0
2005-01-14 00:00:00+00,LONG,780,0.9166666666666666,-0.036843568,-0.027650554,0.0
2005-01-14 00:00:00+00,LONG,857,0.33957163988584266,-0.010986708,-0.024796106,0.0
2005-01-14 00:00:00+00,LONG,869,0.9259259259259259,-0.028539618,-0.023505313,0.0
2005-01-14 00:00:00+00,LONG,1012,0.25330256407031765,-0.02201212,-0.032530226,0.0
2005-01-14 00:00:00+00,LONG,3065,0.19972055651582685,-0.016815905,-0.018170033,0.0
2005-01-14 00:00:00+00,LONG,1167,0.7391304347826086,-0.015606792,-0.030735387,0.0
2005-01-14 00:00:00+00,LONG,1235,0.9259259259259259,-0.016352471,-0.025012156,0.0
2005-01-14 00:00:00+00,LONG,3286,0.0,-0.04304603,-0.025719998,0.0
2005-01-14 00:00:00+00,LONG,3513,0.0,-0.03483746,-0.023442725,0.0
2005-01-14 00:00:00+00,LONG,1473,0.42755754283397185,-0.029878076,-0.006382957,0.0
2005-01-14 00:00:00+00,LONG,1585,0.4690937711800507,-0.046927545,-0.013205056,0.0
2005-01-14 00:00:00+00,LONG,3716,0.25859708526799563,-0.031551823,-0.008191975,0.0
2005-01-14 00:00:00+00,LONG,3815,0.9512195121951219,-0.038283665,-0.010255791,0.0
2005-01-14 00:00:00+00,LONG,4049,0.4851789027900652,-0.06648577,0.0038614313,0.0
2005-01-18 00:00:00+00,LONG,2119,0.33808736522193933,-0.035447773,0.0034232787,0.0
2005-01-18 00:00:00+00,LONG,4237,0.3309166078064835,-0.027912019,-0.029840836,0.0
2005-01-18 00:00:00+00,LONG,576,0.44018937503012295,-0.024584854,-0.023544272,0.0
2005-01-18 00:00:00+00,LONG,780,0.0,-0.043152936,-0.024905525,0.0
2005-01-18 00:00:00+00,LONG,869,0.8888888888888888,-0.026955593,-0.022566317,0.0
2005-01-18 00:00:00+00,LONG,3065,0.19610506854477422,-0.014214812,-0.019461717,0.0
2005-01-18 00:00:00+00,LONG,3286,0.0,-0.044017874,-0.03259029,0.0
2005-01-18 00:00:00+00,LONG,1473,0.39886089152786613,-0.03199537,-0.013938922,0.0
2005-01-18 00:00:00+00,LONG,1585,0.0,-0.04254705,-0.02514146,0.0
2005-01-18 00:00:00+00,LONG,3716,0.0,-0.033763412,-0.018184716,0.0
2005-01-18 00:00:00+00,LONG,3815,0.9268292682926829,-0.042012136,-0.01024644,0.0
2005-01-18 00:00:00+00,LONG,3994,1.0,-0.022640834,0.0032071676,0.0
2005-01-18 00:00:00+00,LONG,4049,0.47343600172198663,-0.06698329,1.5151913E-4,0.0
2005-01-19 00:00:00+00,LONG,2119,0.3521791084591242,-0.038149666,0.006823356,0.0
