time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,dist_lower_bb_50_2.5_df055,joint_fall_flag_1_20_df042,dist_lower_bb_50_2.0_df055
2005-01-21 00:00:00+00,LONG,2248,1.0,21.0,-0.03044581,0.0,0.0076203234
2005-01-24 00:00:00+00,LONG,429,0.0,21.0,0.015817698,0.0,0.0596141
2005-01-24 00:00:00+00,LONG,3853,1.0,23.0,0.009259347,0.0,0.035194326
2005-01-25 00:00:00+00,LONG,2066,0.7335350208518384,16.0,-0.020483222,0.0,0.01108269
2005-01-25 00:00:00+00,LONG,2430,0.40621774574656744,28.0,-0.00142293,0.0,0.006284676
2005-01-25 00:00:00+00,LONG,2686,1.0,25.0,-0.008507064,0.0,0.016961938
2005-01-25 00:00:00+00,LONG,3596,0.0,21.0,-0.009568335,0.0,0.028294368
2005-01-25 00:00:00+00,LONG,3699,0.0,23.0,-0.028422734,0.0,0.01851176
2005-01-25 00:00:00+00,LONG,3853,0.9777777777777777,24.0,-0.017613027,0.0,0.010648691
2005-02-02 00:00:00+00,LONG,3216,0.22834339958967853,17.0,-0.011093665,0.0,0.0069942614
2005-02-02 00:00:00+00,LONG,1910,0.0,17.0,-0.01626898,0.0,0.005852618
2005-02-04 00:00:00+00,LONG,1191,0.0,17.0,-0.09585987,0.0,0.0063250256
2005-02-16 00:00:00+00,LONG,444,0.0,25.0,-0.0037852195,0.0,0.012491149
2005-03-16 00:00:00+00,LONG,1149,0.9168887952886046,16.0,-0.0063869343,0.0,0.009088707
2005-03-21 00:00:00+00,LONG,2006,0.42865138639213674,16.0,-0.0075158007,0.0,0.015324824
2005-03-22 00:00:00+00,LONG,2006,0.38498369111906305,17.0,-0.018398013,0.0,0.006001053
2005-03-29 00:00:00+00,LONG,4176,1.0,25.0,0.010505823,0.0,0.022743123
2005-03-31 00:00:00+00,LONG,3641,1.0,16.0,0.001358715,0.0,0.02059529
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,17.0,0.0022339092,0.0,0.022898875
2005-04-04 00:00:00+00,LONG,3641,0.9310344827586207,18.0,-0.007481365,0.0,0.014740384
2005-04-15 00:00:00+00,LONG,1,1.0,17.0,-0.015758658,0.0,0.011737586
2005-04-15 00:00:00+00,LONG,540,0.6643908100364903,17.0,-0.0109403115,0.0,0.012758164
2005-04-15 00:00:00+00,LONG,2930,0.27438809314010604,18.0,0.0150686735,0.0,0.024751639
2005-04-18 00:00:00+00,LONG,2930,0.21045795414210386,19.0,0.0054729977,0.0,0.016153065
2005-04-18 00:00:00+00,LONG,3127,1.0,16.0,0.01337346,0.0,0.03467039
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,22.0,0.018176557,0.0,0.03480581
2005-04-18 00:00:00+00,LONG,3335,0.6814001637097814,16.0,0.00889346,0.0,0.020896813
2005-04-19 00:00:00+00,LONG,1092,0.5264031712034484,23.0,-0.0038537101,0.0,0.014144615
2005-04-19 00:00:00+00,LONG,3335,0.6209131252171328,17.0,-0.0057452596,0.0,0.0071421233
2005-04-20 00:00:00+00,LONG,3355,0.3375811641386448,23.0,-0.008894285,0.0,0.016327608
2005-04-20 00:00:00+00,LONG,1840,0.4854310909692417,25.0,0.0076184166,0.0,0.017581241
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,23.0,0.0133989,0.0,0.02425727
2005-04-22 00:00:00+00,LONG,4122,0.343690727552444,24.0,0.0038574443,0.0,0.015744945
2005-04-22 00:00:00+00,LONG,3355,0.28995228505081566,25.0,-0.02281691,0.0,0.0054242625
2005-04-25 00:00:00+00,LONG,4122,0.36062645334729243,25.0,-0.0071921926,0.0,0.0054696784
2005-04-26 00:00:00+00,LONG,4122,0.42151343058115687,26.0,-0.0034881153,0.0,0.0099161025
2005-04-27 00:00:00+00,LONG,1423,0.0,17.0,-0.027189992,0.0,0.020063527
2005-04-28 00:00:00+00,LONG,1260,0.6857572558584842,28.0,0.0019725668,0.0,0.014747233
2005-04-28 00:00:00+00,LONG,1423,0.9761904761904762,18.0,-0.022912111,0.0,0.027671346
2005-04-28 00:00:00+00,LONG,1807,1.0,21.0,-0.022682052,0.0,0.037080888
2005-04-29 00:00:00+00,LONG,1099,0.0,34.0,-0.00764025,0.0,0.0060742497
2005-04-29 00:00:00+00,LONG,3271,0.6121794578258031,22.0,0.019899977,0.0,0.059246972
2005-04-29 00:00:00+00,LONG,3699,1.0,29.0,-0.042651996,0.0,0.022432769
2005-04-29 00:00:00+00,LONG,1807,0.962962962962963,22.0,-0.05764295,0.0,0.008184661
2005-05-02 00:00:00+00,LONG,1099,0.0,35.0,-0.008409571,0.0,0.005579663
2005-05-02 00:00:00+00,LONG,3271,0.5828714840929035,23.0,-0.023661518,0.0,0.020091338
2005-05-02 00:00:00+00,LONG,3699,0.96875,30.0,-0.06100418,0.0,0.009231169
2005-05-03 00:00:00+00,LONG,2070,0.0,27.0,0.028312735,0.0,0.05405838
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,27.0,-2.6431354E-4,0.0,0.037566103
2005-05-03 00:00:00+00,LONG,3271,0.6424733506992161,24.0,-0.02520742,0.0,0.021457985
2005-05-04 00:00:00+00,LONG,2070,0.0,28.0,-0.004052035,0.0,0.024635613
2005-05-05 00:00:00+00,LONG,2070,0.0,29.0,-0.015272537,0.0,0.01570043
2005-05-06 00:00:00+00,LONG,2070,0.0,30.0,-0.024268802,0.0,0.008867658
2005-05-11 00:00:00+00,LONG,2106,0.0,17.0,-0.20710398,0.0,0.024006905
2005-05-12 00:00:00+00,LONG,2106,0.7692307692307693,18.0,-0.25738811,0.0,0.006663199
2005-05-13 00:00:00+00,LONG,4169,0.37798133447288085,16.0,-0.010751403,0.0,0.0064671757
2005-05-13 00:00:00+00,LONG,2253,0.4669599330159069,17.0,0.0051041516,0.0,0.018172301
2005-05-13 00:00:00+00,LONG,1453,0.0,16.0,-0.0052642063,0.0,0.021654146
2005-05-13 00:00:00+00,LONG,3561,1.0,19.0,-0.0014995728,0.0,0.009793588
2005-05-16 00:00:00+00,LONG,4187,1.0,21.0,0.005457766,0.0,0.025216395
2005-05-16 00:00:00+00,LONG,2619,1.0,34.0,-0.035438947,0.0,0.0070803803
2005-05-16 00:00:00+00,LONG,3283,1.0,19.0,0.018789649,0.0,0.04361034
2005-05-16 00:00:00+00,LONG,1770,1.0,21.0,0.0015739141,0.0,0.017616633
2005-05-17 00:00:00+00,LONG,4187,0.7545556912630998,22.0,-0.009718452,0.0,0.010882892
2005-05-17 00:00:00+00,LONG,335,1.0,20.0,-0.014878957,0.0,0.021090763
2005-05-17 00:00:00+00,LONG,450,1.0,18.0,0.004147873,0.0,0.015733141
2005-05-18 00:00:00+00,LONG,4187,0.43816475242008474,23.0,-0.011106379,0.0,0.009966223
2005-05-18 00:00:00+00,LONG,450,0.9696969696969697,19.0,0.0013575949,0.0,0.0139066065
2005-05-20 00:00:00+00,LONG,88,0.8397540776460467,25.0,-0.020822134,0.0,0.03211296
2005-05-23 00:00:00+00,LONG,93,0.5998734216312184,20.0,-0.014136853,0.0,0.02475064
2005-06-03 00:00:00+00,LONG,64,0.0,33.0,-0.12866259,0.0,0.056383442
2005-06-06 00:00:00+00,LONG,64,0.0,34.0,-0.19950695,0.0,0.014449044
2005-06-24 00:00:00+00,LONG,465,0.24462304883645797,19.0,0.007950164,0.0,0.028240671
2005-06-27 00:00:00+00,LONG,73,0.7740055293650226,17.0,0.0017531835,0.0,0.012846817
2005-06-27 00:00:00+00,LONG,465,0.3001099167966306,20.0,-0.0066327807,0.0,0.015415065
2005-07-07 00:00:00+00,LONG,3109,0.0,25.0,0.0012039355,0.0,0.008696563
2005-07-26 00:00:00+00,LONG,1715,1.0,24.0,-0.0036665108,0.0,0.007451501
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,27.0,0.023393854,0.0,0.052041538
2005-08-19 00:00:00+00,LONG,3994,0.868421052631579,18.0,-0.005391641,0.0,0.014403286
2005-09-20 00:00:00+00,LONG,1410,1.0,18.0,0.0068664863,0.0,0.020332053
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,18.0,0.0043834904,0.0,0.029661145
2005-09-21 00:00:00+00,LONG,3716,0.3712711913565315,28.0,-0.015337843,0.0,0.007927255
2005-10-05 00:00:00+00,LONG,386,0.9247381023165638,29.0,-0.001505967,0.0,0.013761285
2005-10-05 00:00:00+00,LONG,3915,0.0,38.0,-0.14941747,0.0,0.042511895
2005-10-10 00:00:00+00,LONG,631,0.3768402354158683,20.0,-0.006481554,0.0,0.006770215
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,34.0,0.0017643499,0.0,0.02515582
2005-10-11 00:00:00+00,LONG,2543,0.4034492625734117,17.0,-0.0128647555,0.0,0.005746708
2005-10-11 00:00:00+00,LONG,2553,0.47182832161672833,33.0,-0.0019981975,0.0,0.007593751
2005-10-13 00:00:00+00,LONG,1514,0.7826174882150282,18.0,-0.0020997229,0.0,0.011125925
