time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,accel_volume_5_df025,dist_lower_bb_20_2.0_df055
2005-01-10 00:00:00+00,LONG,2393,0.925637540797777,-0.05780186,-0.0058793817,-0.004711857
2005-01-11 00:00:00+00,LONG,1411,1.0,-0.030204961,0.33230212,-0.0021480822
2005-01-12 00:00:00+00,LONG,1411,0.9642857142857143,-0.029556561,-0.0061892034,-0.0061983825
2005-01-21 00:00:00+00,LONG,2248,1.0,-0.062275726,0.2376088,-0.007938457
2005-01-24 00:00:00+00,LONG,68,0.0,-0.03930669,0.62495923,4.536645E-5
2005-01-24 00:00:00+00,LONG,405,1.0,-0.06484234,0.32008806,0.0015879612
2005-01-24 00:00:00+00,LONG,3853,1.0,-0.036898565,0.9178443,-0.008013498
2005-01-27 00:00:00+00,LONG,2983,1.0,-0.029601106,0.21900293,-0.0067266063
2005-02-03 00:00:00+00,LONG,3355,0.0,-0.032284137,0.6716324,0.02331455
2005-02-09 00:00:00+00,LONG,2619,0.0,-0.03765153,0.32430765,-0.004286831
2005-02-10 00:00:00+00,LONG,1631,1.0,-0.04078268,0.12989147,0.007870749
2005-02-24 00:00:00+00,LONG,1745,0.6669987962154394,-0.02825037,0.694839,-0.0043736873
2005-03-09 00:00:00+00,LONG,1191,0.0,-0.081555806,0.27556974,-0.006834238
2005-03-16 00:00:00+00,LONG,3273,0.5789473684210527,-0.033173934,0.43625134,-0.0071121007
2005-03-29 00:00:00+00,LONG,2543,0.6277649081086598,-0.025507279,0.6725375,-0.008644299
2005-04-15 00:00:00+00,LONG,3501,0.579296271454269,-0.033800412,0.25377768,0.005726614
2005-04-15 00:00:00+00,LONG,1985,1.0,-0.021338437,0.7338471,0.014205283
2005-04-18 00:00:00+00,LONG,2686,0.4569886326227233,-0.025361624,0.21433443,0.0032981809
2005-04-18 00:00:00+00,LONG,3049,1.0,-0.033839043,0.8741601,0.0057105087
2005-04-18 00:00:00+00,LONG,3607,0.975609756097561,-0.021373745,0.06377925,-0.0025917576
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,-0.027574116,0.2526157,-0.0021931687
2005-04-20 00:00:00+00,LONG,3046,0.3193144473502615,-0.021539798,0.21667932,-0.006025399
2005-04-20 00:00:00+00,LONG,3049,0.9459459459459459,-0.033145186,0.012167402,-0.0065774117
2005-04-20 00:00:00+00,LONG,1447,0.14146992010011292,-0.038122464,0.025014438,0.005344515
2005-04-20 00:00:00+00,LONG,3824,0.2463435552866654,-0.034890458,0.022098,-0.0015316384
2005-04-22 00:00:00+00,LONG,221,0.5139699616765525,-0.024723837,0.043260872,-0.0082330555
2005-04-28 00:00:00+00,LONG,1260,0.6857572558584842,-0.021937104,0.5038558,0.0032502827
2005-04-29 00:00:00+00,LONG,2079,0.8819288317917131,-0.049640816,0.12768273,-0.0060597765
2005-04-29 00:00:00+00,LONG,3515,0.8372061403693491,-0.035757992,0.125041,-0.009048508
2005-04-29 00:00:00+00,LONG,1700,1.0,-0.06758196,0.1394863,0.018970046
2005-04-29 00:00:00+00,LONG,1960,0.24120263959879162,-0.05216552,0.46071202,-0.0021413104
2005-05-12 00:00:00+00,LONG,1762,0.70908628021947,-0.02158985,0.19094072,-0.0025932142
2005-05-13 00:00:00+00,LONG,2253,0.4669599330159069,-0.021771092,0.5522383,0.004410265
2005-05-13 00:00:00+00,LONG,2440,0.5433668825936798,-0.032998014,0.797601,-0.008516107
2005-05-13 00:00:00+00,LONG,2936,0.2907121219757132,-0.047431372,0.9099706,-0.0015822647
2005-05-13 00:00:00+00,LONG,2986,0.4685623831955995,-0.041196927,0.15525258,0.0033735943
2005-05-13 00:00:00+00,LONG,3275,1.0,-0.041874573,0.29807234,-6.4276427E-4
2005-05-13 00:00:00+00,LONG,3420,1.0,-0.024400165,0.10434171,0.010360431
2005-05-13 00:00:00+00,LONG,3818,1.0,-0.025057102,0.021170305,-0.0061280606
2005-05-16 00:00:00+00,LONG,4123,1.0,-0.030421773,0.69945574,0.008461235
2005-05-16 00:00:00+00,LONG,4187,1.0,-0.029852804,0.7546907,0.0074505666
2005-05-16 00:00:00+00,LONG,3466,0.8817436677688048,-0.022071252,0.57660747,-2.409062E-4
2005-05-16 00:00:00+00,LONG,1673,1.0,-0.045559105,0.767883,7.524286E-4
2005-06-07 00:00:00+00,LONG,2248,0.03703703703703709,-0.06921253,0.36631715,-0.0089608515
2005-06-23 00:00:00+00,LONG,3357,1.0,-0.070001826,0.3942717,0.0010396547
2005-06-30 00:00:00+00,LONG,3828,0.448412550846984,-0.030969447,0.62330204,-0.0044776546
2005-07-01 00:00:00+00,LONG,3142,0.868421052631579,-0.037054636,0.6480982,-0.0056701135
2005-07-19 00:00:00+00,LONG,1356,1.0,-0.04237665,0.9097514,0.0034162966
2005-08-19 00:00:00+00,LONG,3994,0.868421052631579,-0.03550105,0.41733593,0.0050608306
2005-08-23 00:00:00+00,LONG,3994,0.8157894736842105,-0.037436478,0.8372567,-0.007832534
2005-08-24 00:00:00+00,LONG,2686,0.5640362933405667,-0.036959738,0.917632,-0.0035000762
2005-09-20 00:00:00+00,LONG,1410,1.0,-0.024640752,0.034217373,0.010291109
2005-09-20 00:00:00+00,LONG,3912,1.0,-0.021360755,0.05363725,-0.0055160658
2005-09-21 00:00:00+00,LONG,900,1.0,-0.022816582,0.5463023,0.0067458246
2005-09-21 00:00:00+00,LONG,1258,0.36055631097449076,-0.075338505,0.35744324,0.014305649
2005-09-21 00:00:00+00,LONG,3716,0.3712711913565315,-0.036635574,0.20176008,-0.0013738447
2005-09-26 00:00:00+00,LONG,1896,0.3124409143155478,-0.021442184,0.34255376,-0.0015527621
2005-10-05 00:00:00+00,LONG,386,0.9247381023165638,-0.021523165,0.07011018,0.006032232
2005-10-05 00:00:00+00,LONG,3912,1.0,-0.030621534,0.5811727,-0.001024094
2005-10-12 00:00:00+00,LONG,2543,0.443527615827008,-0.036627278,0.46271986,-0.008984381
2005-10-12 00:00:00+00,LONG,505,1.0,-0.031197868,0.17954467,0.0019539495
2005-10-12 00:00:00+00,LONG,2870,1.0,-0.021873204,0.8239143,0.019415526
2005-10-13 00:00:00+00,LONG,3614,1.0,-0.03349977,0.7140652,0.0034835502
2005-10-14 00:00:00+00,LONG,2870,0.9166666666666666,-0.022508092,0.3690889,-0.0030875874
2005-10-14 00:00:00+00,LONG,2999,0.9743589743589743,-0.06438578,0.20371817,-0.0052295807
2005-10-19 00:00:00+00,LONG,2050,1.0,-0.03397793,0.83774894,0.011300903
2005-10-19 00:00:00+00,LONG,3127,0.7669903421873017,-0.056621954,0.7516231,-0.00517227
2005-10-20 00:00:00+00,LONG,2070,1.0,-0.021808673,0.06879587,-0.0026927197
2005-10-21 00:00:00+00,LONG,2050,0.9591836734693877,-0.0380691,0.9102312,-0.006940116
2005-10-26 00:00:00+00,LONG,3513,1.0,-0.072859466,0.8029864,-0.0011605426
2005-10-27 00:00:00+00,LONG,2175,0.6434260339035198,-0.05892568,0.46398056,0.019513134
2005-10-27 00:00:00+00,LONG,2291,0.4444185711839396,-0.029321006,0.16687566,0.00799014
2005-10-27 00:00:00+00,LONG,2986,1.0,-0.023380715,0.2300726,-0.0067835283
2005-10-27 00:00:00+00,LONG,3586,1.0,-0.048228044,0.34931368,-1.3187781E-4
2005-11-01 00:00:00+00,LONG,2137,0.5621103466907329,-0.038584646,0.3545067,-9.0019064E-5
2005-11-01 00:00:00+00,LONG,1985,0.0,-0.03712708,0.45402128,0.0010170359
2005-11-02 00:00:00+00,LONG,2137,0.5306878731869703,-0.039240427,0.021515613,-0.006366035
2005-11-08 00:00:00+00,LONG,4176,0.4659349036652937,-0.037781086,0.06958366,-0.00882275
2005-11-08 00:00:00+00,LONG,4013,0.561361413289049,-0.040138714,0.05158632,-0.008528361
2005-11-09 00:00:00+00,LONG,4005,0.8490566037735849,-0.033601534,0.27032217,-0.0011095472
2005-11-10 00:00:00+00,LONG,874,1.0,-0.06931802,0.47249955,-0.008288745
2005-11-16 00:00:00+00,LONG,3677,1.0,-0.040737372,0.36375326,0.014674466
2005-11-16 00:00:00+00,LONG,4088,1.0,-0.024247888,0.8474093,-0.0014340796
2005-11-17 00:00:00+00,LONG,1396,0.5245052078190724,-0.08797451,0.14013693,-0.0057095448
2005-11-18 00:00:00+00,LONG,3890,0.41502932416007143,-0.024727155,0.4085342,-0.009056145
2005-11-28 00:00:00+00,LONG,3612,0.5040749820957908,-0.021289444,0.50711715,0.0016237805
2006-01-20 00:00:00+00,LONG,2640,0.1008863001693077,-0.036078025,0.23087758,0.0033907641
2006-01-23 00:00:00+00,LONG,2640,0.10990177676966349,-0.03553023,0.31413072,-0.0044857124
2006-01-23 00:00:00+00,LONG,2972,0.6450874713118904,-0.029750142,0.55037385,-0.0025184096
2006-01-25 00:00:00+00,LONG,4073,0.0,-0.035332024,0.24596706,-0.0066332035
2006-02-06 00:00:00+00,LONG,1896,0.1337984972427924,-0.022028815,0.18268518,-0.0042947447
2006-02-23 00:00:00+00,LONG,2830,1.0,-0.023341805,0.2664717,0.0032409139
2006-02-28 00:00:00+00,LONG,3652,0.41053727726034905,-0.027729461,0.35466337,-0.00786039
2006-03-01 00:00:00+00,LONG,1667,0.0,-0.08130064,0.67475516,-0.0086622685
2006-03-06 00:00:00+00,LONG,2912,0.3281972115189378,-0.024774354,0.079844244,-0.0062258784
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,-0.056920335,0.68617696,-3.3599455E-4
2006-03-08 00:00:00+00,LONG,3841,0.0,-0.021895176,0.23413926,-0.008272444
2006-03-10 00:00:00+00,LONG,1012,0.8760179416742917,-0.030372756,0.0074071074,0.0043006605
2006-03-10 00:00:00+00,LONG,1673,1.0,-0.036695022,0.583318,-0.0076862914
2006-03-28 00:00:00+00,LONG,3447,0.1504521292854941,-0.034414817,0.5241148,4.0859394E-4
2006-03-30 00:00:00+00,LONG,3447,0.11051844217255419,-0.029698148,0.3135607,-0.008962081
2006-03-31 00:00:00+00,LONG,64,0.0,-0.03181757,0.3541396,-0.0062348805
2006-03-31 00:00:00+00,LONG,3447,0.1515151515151515,-0.027860884,0.5352621,-0.0058832327
2006-04-05 00:00:00+00,LONG,3447,0.03812836609588143,-0.023301423,0.52276003,-0.007006862
2006-04-06 00:00:00+00,LONG,3447,0.030303030303030276,-0.022404324,0.051812436,0.004609576
2006-05-15 00:00:00+00,LONG,1453,0.2941786770694011,-0.0215417,0.23790202,-0.006079992
2006-05-16 00:00:00+00,LONG,780,0.0,-0.022208273,0.4708188,-0.007241272
2006-05-17 00:00:00+00,LONG,4073,1.0,-0.03552395,0.23576804,-0.0022897732
2006-05-18 00:00:00+00,LONG,4059,1.0,-0.029432112,0.12538633,0.01262561
2006-05-23 00:00:00+00,LONG,2410,0.38921282045665423,-0.02854408,0.58057135,-0.005972778
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,-0.023452997,0.2115341,0.0027998164
2006-05-24 00:00:00+00,LONG,3443,1.0,-0.07663731,0.16885072,-0.0036011662
2006-06-06 00:00:00+00,LONG,2979,1.0,-0.02280387,0.084896386,-0.0060580987
2006-06-13 00:00:00+00,LONG,4172,0.0,-0.039942723,0.14768992,-0.008845266
2006-06-13 00:00:00+00,LONG,135,1.0,-0.041129097,0.6774287,0.014143484
2006-06-13 00:00:00+00,LONG,243,0.4859139490052772,-0.060510527,0.7492697,0.026399631
2006-06-13 00:00:00+00,LONG,304,0.786224701619353,-0.0658038,0.5592686,0.0143329995
2006-06-13 00:00:00+00,LONG,440,0.9061370352849542,-0.027329678,0.09653105,0.011998278
2006-06-13 00:00:00+00,LONG,2554,0.8306634131873409,-0.078065135,0.2584018,-0.0015980866
2006-06-13 00:00:00+00,LONG,2619,0.0,-0.048167553,0.6815863,0.0067943363
2006-06-13 00:00:00+00,LONG,897,0.2862953356635994,-0.047458675,0.398394,0.016249612
2006-06-13 00:00:00+00,LONG,3013,0.8151647870962435,-0.04990976,0.17899746,-0.0017456438
2006-06-13 00:00:00+00,LONG,984,1.0,-0.08813993,0.044014327,0.001163946
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,-0.034422874,0.37389198,0.011175961
2006-06-13 00:00:00+00,LONG,3124,1.0,-0.043613125,0.40745577,0.0073102745
2006-06-13 00:00:00+00,LONG,1171,1.0,-0.047684856,0.6450345,0.0023726611
2006-06-13 00:00:00+00,LONG,3241,0.7053617114206702,-0.024181912,0.23542917,0.026949098
2006-06-13 00:00:00+00,LONG,1280,1.0,-0.09079492,0.5450431,0.0030683854
2006-06-13 00:00:00+00,LONG,3330,1.0,-0.0258298,0.42034662,0.011717348
2006-06-13 00:00:00+00,LONG,3556,1.0,-0.059890617,0.5840156,0.02667608
2006-06-13 00:00:00+00,LONG,4000,0.0,-0.046119563,0.5469662,0.0051935725
2006-06-13 00:00:00+00,LONG,1967,0.7517904901567231,-0.021406993,0.56862295,0.020845024
