time,side,ticker_id,mv_up_composite_labels,price_eps_diff_pct_df082,joint_fall_flag_21_10_df042,velocity_price_vs_etf_diff_5_df050,dist_lower_bb_50_2.0_df055
2005-01-04 00:00:00+00,LONG,1585,0.367464353256297,-29.02,0.0,-0.05087308,0.015275408
2005-01-05 00:00:00+00,LONG,1585,0.56510605235536,-28.19,0.0,-0.028495824,0.016032025
2005-01-06 00:00:00+00,LONG,248,0.9093633002805568,31.03,0.0,-0.05260202,0.00392539
2005-01-06 00:00:00+00,LONG,1585,0.36302317247718685,-28.92,0.0,-0.0314212,0.012102279
2005-01-07 00:00:00+00,LONG,248,0.92882984516151,32.87,0.0,-0.054494023,0.0011949291
2005-01-07 00:00:00+00,LONG,1585,0.6108826395588542,-27.39,0.0,-0.025689255,0.0055570398
2005-01-11 00:00:00+00,LONG,248,0.8401417646752414,48.32,0.0,-0.024288666,-0.0048727053
2005-01-11 00:00:00+00,LONG,1473,1.0,-20.56,0.0,-0.035798628,5.457107E-4
2005-01-11 00:00:00+00,LONG,3595,0.0,-19.98,0.0,-0.057925813,0.002298006
2005-01-12 00:00:00+00,LONG,2778,0.6302691573533779,-24.75,0.0,-0.028544765,0.0035800885
2005-01-13 00:00:00+00,LONG,2778,0.5771284843853854,-24.94,0.0,-0.017131025,0.0017832976
2005-01-27 00:00:00+00,LONG,684,0.0,-22.49,0.0,-0.038924683,0.010219032
2005-02-02 00:00:00+00,LONG,918,0.8332596027227508,-0.66,0.0,-0.031263504,-0.0013599333
2005-03-23 00:00:00+00,LONG,3872,1.0,-17.67,0.0,-0.030340876,0.023074329
2005-03-24 00:00:00+00,LONG,3872,0.9777777777777777,-18.29,0.0,-0.036604423,0.021339273
2005-03-28 00:00:00+00,LONG,3872,0.9555555555555556,-18.43,0.0,-0.041559976,0.019241657
2005-03-29 00:00:00+00,LONG,84,1.0,-7.36,0.0,-0.016590305,0.009718754
2005-03-29 00:00:00+00,LONG,3872,0.9333333333333333,-22.21,0.0,-0.035048723,0.020095915
2005-03-30 00:00:00+00,LONG,3872,0.9111111111111111,-22.19,0.0,-0.030280033,0.009287261
2005-03-31 00:00:00+00,LONG,3872,0.8888888888888888,-23.21,0.0,-0.012499021,0.0021497912
2005-04-01 00:00:00+00,LONG,3872,0.8666666666666667,-24.23,0.0,-0.0039124517,-4.8290656E-4
2005-04-14 00:00:00+00,LONG,862,0.0,-0.71,0.0,-0.05007559,0.015875135
2005-04-15 00:00:00+00,LONG,2088,0.4768187445864578,0.15,0.0,-0.03136593,0.012393753
2005-04-15 00:00:00+00,LONG,64,0.0,-28.54,0.0,-0.06549955,-0.002827928
2005-04-18 00:00:00+00,LONG,142,0.5412770767386312,9.83,0.0,-0.04145236,0.02281169
2005-04-18 00:00:00+00,LONG,786,1.0,1.37,0.0,0.010689101,0.0039069927
2005-04-18 00:00:00+00,LONG,3293,0.34916576139996364,-30.16,0.0,0.002964697,0.0029550241
