time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,dist_lower_bb_50_2.0_df055
2005-01-04 00:00:00+00,LONG,1585,0.367464353256297,0.0,0.015275408
2005-01-05 00:00:00+00,LONG,1585,0.56510605235536,0.0,0.016032025
2005-01-12 00:00:00+00,LONG,191,0.27572949817875864,0.0,0.0819555
2005-01-12 00:00:00+00,LONG,2550,0.0,0.0,0.02902155
2005-01-12 00:00:00+00,LONG,4049,0.608352809037504,0.0,0.03720511
2005-01-13 00:00:00+00,LONG,191,0.2362868646773304,0.0,0.059063748
2005-01-13 00:00:00+00,LONG,3897,0.0,0.0,0.016912412
2005-01-13 00:00:00+00,LONG,4049,0.5557089936696797,0.0,0.021172889
2005-01-14 00:00:00+00,LONG,191,0.0,0.0,0.047638617
2005-01-18 00:00:00+00,LONG,191,0.2071795018005055,0.0,0.017602367
2005-01-20 00:00:00+00,LONG,796,1.0,0.0,0.03984738
2005-01-20 00:00:00+00,LONG,3994,0.9555555555555556,0.0,0.03055711
2005-01-24 00:00:00+00,LONG,183,0.0,0.0,0.030865856
2005-01-24 00:00:00+00,LONG,2567,0.0,0.0,0.05249287
2005-01-25 00:00:00+00,LONG,323,1.0,0.0,0.034282327
2005-01-25 00:00:00+00,LONG,2567,0.0,0.0,0.025764683
2005-01-25 00:00:00+00,LONG,2686,1.0,0.0,0.016961938
2005-01-25 00:00:00+00,LONG,3596,0.0,0.0,0.028294368
2005-01-26 00:00:00+00,LONG,323,0.0,0.0,0.017214876
2005-01-28 00:00:00+00,LONG,2866,0.47522428960033325,0.0,0.025362594
2005-02-02 00:00:00+00,LONG,3703,0.0,0.0,0.0445532
2005-02-03 00:00:00+00,LONG,3355,0.0,0.0,0.048287272
2005-02-03 00:00:00+00,LONG,3703,0.0,0.0,0.021071088
2005-02-04 00:00:00+00,LONG,3355,0.0,0.0,0.018867608
2005-02-04 00:00:00+00,LONG,3703,0.0,0.0,0.017195132
2005-02-10 00:00:00+00,LONG,3287,1.0,0.0,0.031016834
2005-02-11 00:00:00+00,LONG,3287,0.9772727272727273,0.0,0.032221142
2005-02-14 00:00:00+00,LONG,3287,0.9545454545454546,0.0,0.019904237
2005-02-15 00:00:00+00,LONG,3287,0.9318181818181819,0.0,0.016573442
2005-02-17 00:00:00+00,LONG,135,1.0,0.0,0.032166068
2005-02-22 00:00:00+00,LONG,401,0.3025803285735399,0.0,0.024897799
2005-02-23 00:00:00+00,LONG,2504,0.0,0.0,0.034906622
2005-02-24 00:00:00+00,LONG,3652,0.0,0.0,0.015184194
2005-03-01 00:00:00+00,LONG,11,0.0,0.0,0.13742773
2005-03-02 00:00:00+00,LONG,11,0.0,0.0,0.113660544
2005-03-03 00:00:00+00,LONG,11,0.0,0.0,0.12765817
2005-03-04 00:00:00+00,LONG,11,0.0,0.0,0.07377993
2005-03-04 00:00:00+00,LONG,1280,0.0,0.0,0.12581682
2005-03-07 00:00:00+00,LONG,11,0.0,0.0,0.041753992
2005-03-07 00:00:00+00,LONG,1280,0.0,0.0,0.104227
2005-03-08 00:00:00+00,LONG,11,0.0,0.0,0.053941336
2005-03-08 00:00:00+00,LONG,1280,0.0,0.0,0.055641264
2005-03-09 00:00:00+00,LONG,11,0.0,0.0,0.04178957
2005-03-09 00:00:00+00,LONG,1280,0.0,0.0,0.03289278
2005-03-10 00:00:00+00,LONG,1280,0.16981132075471705,0.0,0.034532916
2005-03-17 00:00:00+00,LONG,3273,0.5526315789473685,0.0,0.108148776
2005-03-17 00:00:00+00,LONG,2006,0.4386649767580602,0.0,0.028872035
2005-03-18 00:00:00+00,LONG,3273,0.5263157894736843,0.0,0.07134371
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,0.0,0.020338073
2005-03-21 00:00:00+00,LONG,3273,0.5,0.0,0.03364739
2005-03-21 00:00:00+00,LONG,2006,0.42865138639213674,0.0,0.015324824
2005-03-23 00:00:00+00,LONG,3872,1.0,0.0,0.023074329
2005-03-24 00:00:00+00,LONG,3872,0.9777777777777777,0.0,0.021339273
2005-03-28 00:00:00+00,LONG,3872,0.9555555555555556,0.0,0.019241657
2005-03-29 00:00:00+00,LONG,4176,1.0,0.0,0.022743123
2005-03-29 00:00:00+00,LONG,3872,0.9333333333333333,0.0,0.020095915
2005-04-01 00:00:00+00,LONG,984,0.0,0.0,0.13885911
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,0.0,0.022898875
2005-04-04 00:00:00+00,LONG,4223,0.5477791937731813,0.0,0.018844387
2005-04-04 00:00:00+00,LONG,984,0.0,0.0,0.11920238
2005-04-04 00:00:00+00,LONG,3641,0.9310344827586207,0.0,0.014740384
2005-04-05 00:00:00+00,LONG,984,0.0,0.0,0.108917065
2005-04-06 00:00:00+00,LONG,984,0.0,0.0,0.07843842
2005-04-07 00:00:00+00,LONG,984,0.0,0.0,0.074807934
2005-04-08 00:00:00+00,LONG,2248,0.0,0.0,0.12376081
2005-04-08 00:00:00+00,LONG,984,0.0,0.0,0.083310135
2005-04-11 00:00:00+00,LONG,2248,0.0,0.0,0.081916876
2005-04-11 00:00:00+00,LONG,984,0.0,0.0,0.06471876
2005-04-12 00:00:00+00,LONG,2248,0.0,0.0,0.037169006
2005-04-12 00:00:00+00,LONG,984,0.0,0.0,0.07716691
2005-04-13 00:00:00+00,LONG,984,0.0,0.0,0.09650847
2005-04-14 00:00:00+00,LONG,862,0.0,0.0,0.015875135
2005-04-14 00:00:00+00,LONG,984,0.0,0.0,0.060483743
2005-04-15 00:00:00+00,LONG,234,0.0,0.0,0.032783907
2005-04-15 00:00:00+00,LONG,2930,0.27438809314010604,0.0,0.024751639
2005-04-15 00:00:00+00,LONG,1383,1.0,0.0,0.03564188
2005-04-15 00:00:00+00,LONG,3607,1.0,0.0,0.024701465
2005-04-18 00:00:00+00,LONG,4112,1.0,0.0,0.04524162
2005-04-18 00:00:00+00,LONG,64,0.0,0.0,0.079070255
2005-04-18 00:00:00+00,LONG,142,0.5412770767386312,0.0,0.02281169
2005-04-18 00:00:00+00,LONG,858,1.0,0.0,0.05788928
2005-04-18 00:00:00+00,LONG,2930,0.21045795414210386,0.0,0.016153065
2005-04-18 00:00:00+00,LONG,3127,1.0,0.0,0.03467039
2005-04-18 00:00:00+00,LONG,3137,1.0,0.0,0.024771411
2005-04-18 00:00:00+00,LONG,1092,0.6218901159882064,0.0,0.03480581
2005-04-18 00:00:00+00,LONG,3335,0.6814001637097814,0.0,0.020896813
2005-04-18 00:00:00+00,LONG,1719,1.0,0.0,0.04677136
2005-04-18 00:00:00+00,LONG,3853,1.0,0.0,0.022183893
2005-04-19 00:00:00+00,LONG,4112,0.9791666666666666,0.0,0.037439723
2005-04-19 00:00:00+00,LONG,64,0.0,0.0,0.01594433
2005-04-19 00:00:00+00,LONG,1719,0.9791666666666666,0.0,0.023760073
2005-04-20 00:00:00+00,LONG,4112,0.9583333333333334,0.0,0.04276503
2005-04-20 00:00:00+00,LONG,64,0.0,0.0,0.022248121
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,0.0,0.020083647
2005-04-20 00:00:00+00,LONG,465,0.0,0.0,0.016958462
2005-04-20 00:00:00+00,LONG,3355,0.3375811641386448,0.0,0.016327608
2005-04-20 00:00:00+00,LONG,1585,0.8334224316755204,0.0,0.020287618
2005-04-20 00:00:00+00,LONG,1719,0.9583333333333334,0.0,0.03527362
2005-04-20 00:00:00+00,LONG,1840,0.4854310909692417,0.0,0.017581241
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,0.0,0.02425727
2005-04-22 00:00:00+00,LONG,4122,0.343690727552444,0.0,0.015744945
2005-04-22 00:00:00+00,LONG,2408,0.40381221097595876,0.0,0.03070921
2005-04-22 00:00:00+00,LONG,2032,1.0,0.0,0.05420107
2005-04-26 00:00:00+00,LONG,386,0.40915314743131065,0.0,0.031732846
2005-04-27 00:00:00+00,LONG,2137,0.15753464519341415,0.0,0.015379989
2005-04-27 00:00:00+00,LONG,220,1.0,0.0,0.017606257
2005-04-27 00:00:00+00,LONG,386,0.33927778835829436,0.0,0.01578425
2005-04-27 00:00:00+00,LONG,3443,1.0,0.0,0.040054888
2005-04-28 00:00:00+00,LONG,4163,0.8862829657709914,0.0,0.021654783
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,0.0,0.020438759
