time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,skew_weighted_10_df037,joint_fall_flag_5_10_df042
2005-01-06 00:00:00+00,LONG,937,0.33849797058814657,12.0,-0.42671514,1.0
2005-01-07 00:00:00+00,LONG,937,0.5287714324602913,13.0,-0.41513184,1.0
2005-01-13 00:00:00+00,LONG,3595,0.9411764705882353,4.0,-0.30259794,1.0
2005-01-18 00:00:00+00,LONG,3513,0.0,5.0,-0.35200825,1.0
2005-01-19 00:00:00+00,LONG,3815,0.9024390243902439,8.0,-0.29740745,1.0
2005-01-20 00:00:00+00,LONG,142,0.7171464085278801,10.0,-0.40254042,1.0
2005-01-20 00:00:00+00,LONG,2751,0.0,7.0,-0.43585256,1.0
2005-01-20 00:00:00+00,LONG,862,0.655110752564679,5.0,-0.45042622,1.0
2005-01-20 00:00:00+00,LONG,1473,0.28542736763033105,7.0,-0.29262993,1.0
2005-01-21 00:00:00+00,LONG,2248,1.0,21.0,-0.42855132,1.0
2005-01-21 00:00:00+00,LONG,862,0.5844190675665234,6.0,-0.36507228,1.0
2005-01-24 00:00:00+00,LONG,1,0.0,13.0,-0.4044387,1.0
2005-01-24 00:00:00+00,LONG,429,0.0,21.0,-0.37152818,1.0
2005-01-24 00:00:00+00,LONG,2835,1.0,8.0,-0.34994277,1.0
2005-01-24 00:00:00+00,LONG,796,0.9044057676472272,9.0,-0.27375355,1.0
2005-01-24 00:00:00+00,LONG,2990,1.0,9.0,-0.30899695,1.0
2005-01-24 00:00:00+00,LONG,1330,0.0,5.0,-0.4171464,1.0
2005-01-24 00:00:00+00,LONG,1410,0.0,8.0,-0.26253653,1.0
2005-01-24 00:00:00+00,LONG,1700,0.0,8.0,-0.26085544,1.0
2005-01-24 00:00:00+00,LONG,3802,0.6141444192178867,7.0,-0.44540134,1.0
2005-01-24 00:00:00+00,LONG,1985,1.0,12.0,-0.30677503,1.0
2005-01-24 00:00:00+00,LONG,4049,0.4796424770151398,14.0,-0.29449105,1.0
2005-01-25 00:00:00+00,LONG,270,0.22313783781565832,10.0,-0.25699663,1.0
2005-01-25 00:00:00+00,LONG,988,0.9655172413793104,5.0,-0.43465593,1.0
2005-01-25 00:00:00+00,LONG,1076,0.9615384615384616,8.0,-0.38355306,1.0
2005-01-25 00:00:00+00,LONG,1667,0.26289468945933714,8.0,-0.4065623,1.0
2005-01-25 00:00:00+00,LONG,3802,0.37337933157379277,8.0,-0.41224808,1.0
2005-01-25 00:00:00+00,LONG,1966,1.0,10.0,-0.4763294,1.0
2005-01-25 00:00:00+00,LONG,4049,0.48227459053458716,15.0,-0.370661,1.0
2005-01-26 00:00:00+00,LONG,4218,0.5007562820183394,4.0,-0.28477597,1.0
2005-01-26 00:00:00+00,LONG,2681,0.47694718647866663,15.0,-0.31971535,1.0
2005-01-26 00:00:00+00,LONG,730,0.4133321801286727,11.0,-0.3524446,1.0
2005-01-26 00:00:00+00,LONG,2815,1.0,6.0,-0.33734965,1.0
2005-01-26 00:00:00+00,LONG,3148,0.0,21.0,-0.43852997,1.0
2005-01-26 00:00:00+00,LONG,3802,0.37967198282306963,9.0,-0.35979953,1.0
2005-01-27 00:00:00+00,LONG,4218,0.3403691775889293,5.0,-0.27611542,1.0
2005-01-27 00:00:00+00,LONG,3470,0.4468800984768633,11.0,-0.420813,1.0
2005-01-27 00:00:00+00,LONG,3519,0.2668745781424456,9.0,-0.28710595,1.0
2005-01-27 00:00:00+00,LONG,1514,1.0,12.0,-0.27487454,1.0
2005-01-27 00:00:00+00,LONG,3828,0.36770196191177784,10.0,-0.2862381,1.0
2005-01-27 00:00:00+00,LONG,3918,0.5599568806079668,8.0,-0.4186474,1.0
