time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,ma_cloud_diff_13_100_df007
2005-01-07 00:00:00+00,SHORT,2710,0.4756928243043826,-0.0109240655,0.11477897
2005-01-12 00:00:00+00,SHORT,4107,0.7356405050331996,1.6631304E-4,0.09686539
2005-01-12 00:00:00+00,SHORT,3652,0.6166825291622086,-0.010851396,0.059633106
2005-01-13 00:00:00+00,SHORT,3652,0.9090909090909091,-0.010964053,0.06039696
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,-0.0014050503,0.075147755
2005-01-18 00:00:00+00,SHORT,4107,0.5582660048644676,-0.008042706,0.096483454
2005-01-18 00:00:00+00,SHORT,212,0.19484503805690592,0.0012573199,0.088690735
2005-01-18 00:00:00+00,SHORT,505,0.3114394471744454,-0.0063054645,0.07697442
2005-01-18 00:00:00+00,SHORT,2710,0.18567306322574043,-0.012021676,0.096127115
2005-01-18 00:00:00+00,SHORT,3473,0.32477944236137557,-0.010011374,0.13342586
2005-01-18 00:00:00+00,SHORT,3531,0.3769888912075975,-0.007275426,0.07572194
2005-01-18 00:00:00+00,SHORT,1848,0.0,0.0031148137,0.07010463
2005-01-19 00:00:00+00,SHORT,2188,0.0,-0.009254566,0.09112128
2005-01-19 00:00:00+00,SHORT,212,0.29861072945404976,-0.009520468,0.08899593
2005-01-19 00:00:00+00,SHORT,3283,0.0,-0.008504431,0.111600675
2005-01-19 00:00:00+00,SHORT,1848,0.0,-0.0040687467,0.06937699
2005-01-20 00:00:00+00,SHORT,2979,1.0,-0.0033910403,0.021538755
2005-01-20 00:00:00+00,SHORT,1848,0.0,-0.007579958,0.06847278
2005-01-21 00:00:00+00,SHORT,2462,0.4042363621007479,-0.009846247,0.054842163
2005-01-21 00:00:00+00,SHORT,663,1.0,-0.0011511474,0.07488298
2005-01-24 00:00:00+00,SHORT,2462,0.31594921338669385,-0.010642493,0.055106003
2005-01-31 00:00:00+00,SHORT,3760,0.5454545454545454,-0.01017489,0.015902607
2005-01-31 00:00:00+00,SHORT,1762,0.0,-0.00269022,0.10765852
