time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,weighted_neg_sum_20_df036
2005-01-18 00:00:00+00,SHORT,3610,0.20662808787718168,-0.0029508467,0.07396014
2005-01-18 00:00:00+00,SHORT,1848,0.0,-0.0018389148,0.055765886
2005-01-19 00:00:00+00,SHORT,2088,0.0,-0.0038939337,0.0658679
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,0.0013157954,0.10377764
2005-02-02 00:00:00+00,SHORT,1396,0.0,2.5795787E-4,0.25815827
2005-02-02 00:00:00+00,SHORT,1471,0.0,-0.004645282,0.092735685
2005-02-03 00:00:00+00,SHORT,2640,0.0,0.0047088126,0.13845383
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.0047368486,0.057321496
2005-02-03 00:00:00+00,SHORT,3716,0.0,-0.004615251,0.12615024
2005-02-04 00:00:00+00,SHORT,2640,1.0,-8.3390507E-4,0.12506098
2005-02-07 00:00:00+00,SHORT,2365,0.43011810749388096,-8.0469996E-4,0.060369603
2005-02-07 00:00:00+00,SHORT,2410,0.4582382412573718,-0.0020638404,0.061195336
2005-02-07 00:00:00+00,SHORT,1463,0.30658142804991717,-0.001948419,0.06372335
2005-02-07 00:00:00+00,SHORT,1690,0.0,-4.022462E-4,0.06638321
2005-02-09 00:00:00+00,SHORT,1303,0.8390741663926007,-4.1042877E-4,0.16173097
2005-02-09 00:00:00+00,SHORT,1832,0.6448237495078485,0.015405873,0.08740509
2005-02-10 00:00:00+00,SHORT,1832,0.34835181236263796,-0.0024116505,0.08922368
2005-02-15 00:00:00+00,SHORT,2716,1.0,0.001481193,0.17462438
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,-9.282699E-4,0.05831167
2005-03-01 00:00:00+00,SHORT,131,0.31177551826788025,-0.0029774462,0.06329246
2005-03-01 00:00:00+00,SHORT,424,1.0,0.006133092,0.07046076
2005-03-02 00:00:00+00,SHORT,3825,0.5602593389242179,-0.0019026557,0.10131853
2005-03-04 00:00:00+00,SHORT,3275,0.5046025998307173,0.004818514,0.07758325
2005-03-04 00:00:00+00,SHORT,2041,0.7760307124604644,-0.0041487995,0.11592752
2005-03-07 00:00:00+00,SHORT,4107,0.38939885088252435,0.00739688,0.10067025
2005-03-07 00:00:00+00,SHORT,641,0.24430411668534546,-0.00482129,0.068741165
2005-03-07 00:00:00+00,SHORT,1299,0.6707059601389428,-0.0053659827,0.051359046
2005-03-07 00:00:00+00,SHORT,3355,1.0,-0.0037430474,0.053767603
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,-0.0047632824,0.0529321
2005-03-09 00:00:00+00,SHORT,2116,0.6668150181773671,0.008773042,0.11930215
2005-03-16 00:00:00+00,SHORT,2747,1.0,-0.0049933842,0.06384332
