time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,dist_upper_bb_20_2.5_df055
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,0.32606363,-0.008155602
2005-01-18 00:00:00+00,SHORT,3610,0.20662808787718168,0.39060915,-0.0029508467
2005-01-19 00:00:00+00,SHORT,2088,0.0,0.59196335,-0.0038939337
2005-01-21 00:00:00+00,SHORT,663,1.0,0.4936316,-0.0074927867
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,0.31364533,0.0013157954
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.4184655,0.0047368486
2005-02-04 00:00:00+00,SHORT,3716,0.0,0.28920162,-0.012557676
2005-02-04 00:00:00+00,SHORT,3742,0.6762588627194943,0.31879845,-0.006663503
2005-02-07 00:00:00+00,SHORT,2365,0.43011810749388096,0.36561215,-8.0469996E-4
2005-02-07 00:00:00+00,SHORT,2410,0.4582382412573718,0.38396254,-0.0020638404
2005-02-07 00:00:00+00,SHORT,2452,0.5469566607193057,0.37390766,-0.006418438
2005-02-07 00:00:00+00,SHORT,2972,0.4045212862717394,0.27678558,-0.010370857
2005-02-07 00:00:00+00,SHORT,3742,0.6850487371929544,0.3701016,-0.009700191
2005-02-08 00:00:00+00,SHORT,1099,0.6028763699275718,0.46147802,-0.011388686
2005-02-08 00:00:00+00,SHORT,1690,0.0,0.33837578,-0.00729583
2005-02-09 00:00:00+00,SHORT,1832,0.6448237495078485,0.29950598,0.015405873
2005-02-10 00:00:00+00,SHORT,1832,0.34835181236263796,0.29010448,-0.0024116505
2005-02-16 00:00:00+00,SHORT,2643,1.0,0.5568294,-0.009513338
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,0.28438467,-0.00640018
2005-02-25 00:00:00+00,SHORT,3595,1.0,0.45922026,-0.0074286093
2005-02-28 00:00:00+00,SHORT,2285,0.5616442607190459,0.3823161,-0.009228712
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,0.45983678,-9.282699E-4
2005-03-01 00:00:00+00,SHORT,131,0.31177551826788025,0.36797386,-0.0029774462
2005-03-01 00:00:00+00,SHORT,424,1.0,0.38411874,0.006133092
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,0.46949315,-0.005814785
2005-03-02 00:00:00+00,SHORT,131,0.32896278869290235,0.27491373,-0.012415198
2005-03-04 00:00:00+00,SHORT,2815,0.511020806788842,0.30211186,-0.006744866
2005-03-04 00:00:00+00,SHORT,1184,0.661327978851013,0.55309397,-0.0060031093
2005-03-04 00:00:00+00,SHORT,2041,0.7760307124604644,0.35598657,-0.0041487995
2005-03-07 00:00:00+00,SHORT,1299,0.6707059601389428,0.36971262,-0.0053659827
2005-03-07 00:00:00+00,SHORT,3355,1.0,0.4451331,-0.0037430474
2005-03-07 00:00:00+00,SHORT,3359,0.6503051574669447,0.29896322,-0.012229549
2005-03-08 00:00:00+00,SHORT,440,0.6034642438997424,0.29399613,-0.007449434
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,0.4068719,-0.0100174565
2005-03-08 00:00:00+00,SHORT,869,1.0,0.34875992,-0.011938724
2005-03-08 00:00:00+00,SHORT,3124,0.5671183428946235,0.47866917,-0.012385331
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,0.36725736,-0.010859917
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,0.40716153,-0.0047632824
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,0.47828734,-0.006966267
2005-03-10 00:00:00+00,SHORT,440,0.5025932986543172,0.28150946,-0.0070178886
2005-03-10 00:00:00+00,SHORT,2665,0.26494977502041517,0.32646677,-0.009913589
2005-03-15 00:00:00+00,SHORT,3244,0.5301757312030042,0.5235828,-0.010653704
2005-03-16 00:00:00+00,SHORT,2747,1.0,0.28570107,-0.0049933842
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,0.31892738,-0.008603645
2005-03-22 00:00:00+00,SHORT,3794,1.0,0.3543802,-0.009218474
2005-03-23 00:00:00+00,SHORT,2923,1.0,0.42206898,0.006315365
2005-03-28 00:00:00+00,SHORT,4218,1.0,0.41676462,-0.0013289801
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,0.35555068,-0.01160858
2005-04-06 00:00:00+00,SHORT,2297,0.0,0.43301994,-0.004162621
2005-04-07 00:00:00+00,SHORT,2261,0.0,0.38904727,-0.010945626
2005-04-11 00:00:00+00,SHORT,2269,0.0,0.36540788,-0.012527466
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.4414319,0.00832698
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.36647198,-0.003121222
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.5240093,0.0050639417
2005-04-13 00:00:00+00,SHORT,424,0.0,0.4259614,-5.986993E-4
2005-04-13 00:00:00+00,SHORT,780,1.0,0.45835084,-0.005547461
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,0.43412006,-0.009337649
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,0.33037075,-0.0021785533
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,0.37613073,-0.006140465
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.337034,-0.0047884393
2005-05-04 00:00:00+00,SHORT,3513,0.5124445080982103,0.42013565,3.192602E-5
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,0.3281953,-0.009427783
2005-05-18 00:00:00+00,SHORT,3049,0.6737077460851749,0.621072,-0.0065133725
2005-06-02 00:00:00+00,SHORT,19,1.0,0.5137694,-0.0042795963
2005-06-10 00:00:00+00,SHORT,2640,0.0,0.3559338,0.006762379
2005-06-13 00:00:00+00,SHORT,3837,0.8112702773646968,0.42636174,0.0038674867
2005-06-14 00:00:00+00,SHORT,4223,0.12167269913384068,0.27005526,-0.001829168
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,0.32348472,-0.007834798
2005-06-14 00:00:00+00,SHORT,3837,0.624959555785825,0.38641417,-0.01210688
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,0.40690976,0.003646286
2005-06-17 00:00:00+00,SHORT,2106,0.0,0.6427816,0.021593234
2005-06-17 00:00:00+00,SHORT,2367,0.2372412825140687,0.30106297,8.0710277E-4
2005-06-17 00:00:00+00,SHORT,335,0.0,0.32958835,-0.0056228773
2005-06-17 00:00:00+00,SHORT,498,0.0,0.54515445,-0.011662884
2005-06-17 00:00:00+00,SHORT,817,0.0,0.5777149,0.0049443142
2005-06-17 00:00:00+00,SHORT,838,0.0,0.39005452,-0.009972896
2005-06-17 00:00:00+00,SHORT,907,0.5469040794819283,0.3204749,-0.012499017
2005-06-17 00:00:00+00,SHORT,2993,0.0,0.45277312,0.0085847555
2005-06-17 00:00:00+00,SHORT,988,0.4045858058783273,0.42061517,-1.5306695E-4
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.55411816,0.017460912
2005-06-17 00:00:00+00,SHORT,3573,0.0,0.52070147,-0.0011866931
2005-06-17 00:00:00+00,SHORT,3882,0.7932087374802296,0.4063173,-0.006491663
2005-06-20 00:00:00+00,SHORT,245,0.34415895296479115,0.29160357,-0.011725156
2005-06-20 00:00:00+00,SHORT,907,0.5434883358259087,0.36395934,-0.008218817
2005-06-20 00:00:00+00,SHORT,3748,0.0,0.6260794,0.0072010243
2005-06-20 00:00:00+00,SHORT,1719,0.0,0.39424413,0.003269365
2005-06-20 00:00:00+00,SHORT,3882,0.6435406730365354,0.46235332,-0.009931215
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,0.4951657,-0.009377437
2005-06-22 00:00:00+00,SHORT,2006,0.9375,0.28048447,-0.007364409
2005-06-23 00:00:00+00,SHORT,2176,0.6969690877519389,0.4790322,-0.010892263
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,0.29805174,-0.0045648576
2005-06-23 00:00:00+00,SHORT,2006,0.34561637383817523,0.32306412,-0.011068777
2005-06-24 00:00:00+00,SHORT,323,0.7030225634076364,0.43719447,1.593238E-4
2005-06-29 00:00:00+00,SHORT,2055,0.0,0.33104178,-0.008448569
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,0.3361903,-0.009584085
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,0.2739495,-0.009907624
2005-07-08 00:00:00+00,SHORT,3677,0.4620251988102702,0.3816122,-0.0067479904
2005-07-11 00:00:00+00,SHORT,1250,0.11673948630413597,0.30297256,-0.0065183737
2005-07-12 00:00:00+00,SHORT,28,1.0,0.27677736,-1.6078782E-5
2005-07-12 00:00:00+00,SHORT,2028,0.0,0.29836616,-0.011247511
2005-07-13 00:00:00+00,SHORT,3573,0.0,0.3505736,0.002636838
2005-07-14 00:00:00+00,SHORT,3897,0.794696663239638,0.36741254,-0.010226218
2005-07-14 00:00:00+00,SHORT,2041,0.0,0.30198145,-0.012497534
2005-07-15 00:00:00+00,SHORT,791,0.0,0.2954972,-0.01237992
2005-07-15 00:00:00+00,SHORT,1939,1.0,0.29759055,-0.002193191
2005-07-18 00:00:00+00,SHORT,791,0.0,0.2868655,-0.012374909
2005-07-19 00:00:00+00,SHORT,1423,1.0,0.2703525,-0.003431892
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,0.4923967,-0.011331635
2005-07-20 00:00:00+00,SHORT,1761,0.6182015794127816,0.4009709,-0.006249675
2005-07-21 00:00:00+00,SHORT,1677,1.0,0.33877346,-0.006861921
2005-07-21 00:00:00+00,SHORT,1678,1.0,0.3388115,-0.0068634297
2005-07-22 00:00:00+00,SHORT,3748,1.0,0.44552624,0.01791012
2005-07-26 00:00:00+00,SHORT,2640,0.0,0.46735126,0.04285424
2005-07-27 00:00:00+00,SHORT,2196,0.7428505431346715,0.35190967,-0.012500457
2005-07-27 00:00:00+00,SHORT,2640,0.0,0.49478674,0.026226219
2005-07-27 00:00:00+00,SHORT,786,0.2821124318588489,0.40782878,0.0027340106
2005-07-28 00:00:00+00,SHORT,4163,0.0,0.29165512,0.009278194
2005-07-28 00:00:00+00,SHORT,786,0.30023162707351003,0.38748813,-4.6037926E-4
2005-07-28 00:00:00+00,SHORT,3273,1.0,0.4429737,-0.008653554
2005-07-28 00:00:00+00,SHORT,3818,1.0,0.6648932,-0.0027621454
2005-07-29 00:00:00+00,SHORT,69,1.0,0.35519356,-5.3532276E-4
2005-07-29 00:00:00+00,SHORT,2638,0.0,0.3941399,-0.0026627348
2005-07-29 00:00:00+00,SHORT,786,0.2694643678978534,0.4357562,-0.008001529
2005-08-01 00:00:00+00,SHORT,3703,0.21595723047922383,0.58894324,0.0132569065
2005-08-02 00:00:00+00,SHORT,2261,1.0,0.44479296,-0.0105238985
2005-08-02 00:00:00+00,SHORT,918,0.14886855719294073,0.28151157,-0.0092086755
2005-08-02 00:00:00+00,SHORT,1299,0.5815576484720051,0.44268262,-0.011284262
2005-08-02 00:00:00+00,SHORT,1462,0.4546536772646413,0.40408924,-0.009209227
2005-08-03 00:00:00+00,SHORT,2196,0.26688739658286587,0.5075459,-0.008452253
2005-08-03 00:00:00+00,SHORT,2352,0.3227993618422308,0.35833064,-0.0073329145
2005-08-03 00:00:00+00,SHORT,694,0.23949441381084485,0.32342163,0.0034633942
2005-08-03 00:00:00+00,SHORT,2961,0.0,0.31962335,-0.0073135975
2005-08-03 00:00:00+00,SHORT,3052,0.2706318670855964,0.39959875,-0.0058868197
2005-08-03 00:00:00+00,SHORT,3067,0.0,0.47533494,1.1003015E-4
2005-08-03 00:00:00+00,SHORT,1039,0.0,0.35276103,0.001135639
2005-08-03 00:00:00+00,SHORT,3198,0.3100617070951723,0.5603219,-0.010436718
2005-08-03 00:00:00+00,SHORT,1210,0.23167060115975807,0.29900298,-0.006479795
2005-08-03 00:00:00+00,SHORT,1333,0.3458584605134093,0.27055755,-0.006987439
2005-08-04 00:00:00+00,SHORT,2196,0.1311876700927067,0.3245172,-0.01077384
