time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,price_to_sales_rev_growth_zscore_universe_df073,earnings_drift_10_df011,joint_fall_flag_5_5_df042
2005-04-08 00:00:00+00,SHORT,1064,0.34950530185589707,0.0031739385,-0.1132,0.0,0.0
2005-04-11 00:00:00+00,SHORT,3310,0.31437550715959905,-0.0034011824,-0.1158,0.0,0.0
2005-04-22 00:00:00+00,SHORT,2720,1.0,-1.9738277E-4,-0.1185,0.0,0.0
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,0.0014091071,-0.1066,0.04969291,0.0
2005-06-20 00:00:00+00,SHORT,1297,0.22841790891231653,0.0064721443,-0.08,0.0,0.0
2005-06-21 00:00:00+00,SHORT,2351,0.0,-1.6078989E-4,-0.112,0.0,0.0
2005-07-12 00:00:00+00,SHORT,984,0.0,0.0040759654,-0.0906,0.0,0.0
2005-07-29 00:00:00+00,SHORT,1817,0.0,0.010788133,-0.1003,0.0,0.0
2005-08-02 00:00:00+00,SHORT,1826,0.14848991259398828,0.006347919,-0.08,0.0,0.0
2005-08-04 00:00:00+00,SHORT,2430,0.19918426047399074,0.0087303985,-0.0842,0.0,0.0
2005-08-04 00:00:00+00,SHORT,3067,0.0,-0.0043785055,-0.0772,0.0,0.0
2005-08-09 00:00:00+00,SHORT,2747,0.7894314205451733,0.0029733446,-0.0855,0.072987065,0.0
2005-08-10 00:00:00+00,SHORT,2508,0.9024492543606908,4.470418E-4,-0.0858,0.013597733,0.0
2005-08-11 00:00:00+00,SHORT,1012,0.0,-0.004482975,-0.0872,0.03459692,0.0
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,0.0012779027,-0.0879,0.032786883,0.0
2005-08-11 00:00:00+00,SHORT,3244,0.633626173917877,0.0041252584,-0.0828,0.0,0.0
2005-08-11 00:00:00+00,SHORT,3831,0.18206726729262862,0.0015949758,-0.0821,0.048708882,0.0
2005-08-12 00:00:00+00,SHORT,2125,0.0,0.008439278,-0.1002,0.17077465,0.0
2005-08-12 00:00:00+00,SHORT,3283,0.0,0.010442326,-0.0756,0.12213818,0.0
2005-08-12 00:00:00+00,SHORT,3831,0.024803706860761842,-0.004553612,-0.0823,0.049025543,0.0
2005-08-15 00:00:00+00,SHORT,2742,0.0,0.023193095,-0.078,0.0,0.0
2005-08-15 00:00:00+00,SHORT,1303,0.513771775337734,0.0021527077,-0.089,0.07059849,0.0
2005-08-15 00:00:00+00,SHORT,1404,0.0,-0.0048844083,-0.0829,0.036381043,0.0
2005-08-16 00:00:00+00,SHORT,2125,0.0,-0.001199635,-0.0983,0.0,0.0
2005-09-01 00:00:00+00,SHORT,3116,0.0,0.0034182745,-0.077,0.0,0.0
2005-09-02 00:00:00+00,SHORT,69,0.0,0.0026318496,-0.0907,0.0,0.0
2005-09-02 00:00:00+00,SHORT,1668,0.332099787628739,0.0056138923,-0.0815,0.0,0.0
2005-09-07 00:00:00+00,SHORT,1022,0.3445755270648829,-0.0013826521,-0.0907,0.0,0.0
2005-09-08 00:00:00+00,SHORT,2095,0.5055051885223582,0.021954818,-0.0853,0.12145015,0.0
2005-09-08 00:00:00+00,SHORT,2248,0.6753857445877683,0.0032419194,-0.0837,0.0,0.0
2005-09-09 00:00:00+00,SHORT,2095,0.438970012886374,0.001193443,-0.0859,0.11419939,0.0
2005-09-09 00:00:00+00,SHORT,2248,0.6399212219856023,-0.0022392406,-0.0841,0.0,0.0
2005-09-09 00:00:00+00,SHORT,2440,0.46604191243343696,0.00611981,-0.0853,0.0,0.0
2005-09-09 00:00:00+00,SHORT,675,0.39570095352302104,-0.0011007026,-0.0928,0.0,0.0
2005-09-09 00:00:00+00,SHORT,1051,0.28908609003810826,2.7629986E-4,-0.0793,0.0,0.0
2005-09-09 00:00:00+00,SHORT,3686,0.8001636388888144,-0.0021562027,-0.0849,0.0,0.0
2005-09-12 00:00:00+00,SHORT,191,0.0,-1.680119E-4,-0.0766,0.0,0.0
2005-09-12 00:00:00+00,SHORT,2291,1.0,0.0046070735,-0.0835,0.07097276,0.0
2005-09-12 00:00:00+00,SHORT,2440,0.3092192967401994,-0.005000542,-0.0819,0.0,0.0
2005-09-12 00:00:00+00,SHORT,443,0.5,-0.0019077316,-0.084,0.05665128,0.0
2005-09-12 00:00:00+00,SHORT,3244,0.13348951359437625,-0.0014035526,-0.08,0.0,0.0
2005-09-12 00:00:00+00,SHORT,3614,0.48740076925033815,-0.0012526503,-0.1017,0.0,0.0
2005-09-12 00:00:00+00,SHORT,3703,0.11223958153356524,0.0063895574,-0.0861,0.0,0.0
2005-09-13 00:00:00+00,SHORT,3596,0.4389152520376686,-0.0017447066,-0.0759,0.0,0.0
2005-09-13 00:00:00+00,SHORT,3703,0.14884372244685729,-0.0025159323,-0.0861,0.0,0.0
2005-09-13 00:00:00+00,SHORT,3824,0.6215049087066531,-0.0017888383,-0.0895,0.0,0.0
2005-09-13 00:00:00+00,SHORT,3973,0.9089600274601755,-0.0043062717,-0.0834,0.0,0.0
2005-09-16 00:00:00+00,SHORT,3271,0.5290549303387385,-0.0041456292,-0.077,0.0,0.0
2005-09-16 00:00:00+00,SHORT,3652,0.5908918599139246,-0.004075998,-0.0859,0.0,0.0
2005-09-19 00:00:00+00,SHORT,2659,0.2621443178413516,0.021711307,-0.0807,0.0,0.0
2005-09-29 00:00:00+00,SHORT,2690,1.0,-0.0026741186,-0.0833,0.0,0.0
2005-09-29 00:00:00+00,SHORT,1012,1.0,0.004423658,-0.0867,0.0,0.0
2005-09-29 00:00:00+00,SHORT,1740,1.0,-5.269459E-4,-0.0783,0.0,0.0
2005-09-30 00:00:00+00,SHORT,335,0.3430085424077395,-0.0039436966,-0.082,0.0,0.0
2005-09-30 00:00:00+00,SHORT,2816,0.6082839007581399,0.0024039005,-0.0775,0.0,0.0
2005-09-30 00:00:00+00,SHORT,3811,0.05871772391149543,-0.0011267368,-0.077,0.0,0.0
2005-09-30 00:00:00+00,SHORT,1832,0.33074164277339796,-0.0022086357,-0.0834,0.0,0.0
2005-10-03 00:00:00+00,SHORT,4123,1.0,6.278983E-4,-0.0833,0.0,0.0
2005-10-03 00:00:00+00,SHORT,191,0.25422856674801236,0.006918012,-0.076,0.0,0.0
2005-10-03 00:00:00+00,SHORT,2248,1.0,-0.003872439,-0.0817,0.0,0.0
2005-10-03 00:00:00+00,SHORT,220,0.6555241429718353,0.0078098443,-0.0772,0.0,0.0
2005-10-03 00:00:00+00,SHORT,2285,0.21452067610611805,0.0027090753,-0.1173,0.0,0.0
2005-10-03 00:00:00+00,SHORT,2437,0.431268646291442,3.4389968E-4,-0.0879,0.0,0.0
2005-10-03 00:00:00+00,SHORT,2567,0.29354802469742813,0.012568555,-0.0768,0.0,0.0
2005-10-03 00:00:00+00,SHORT,3114,0.7774963464060076,0.009647507,-0.0906,0.0,0.0
2005-10-03 00:00:00+00,SHORT,3116,0.9375,-0.0048573627,-0.0758,0.0,0.0
2005-10-03 00:00:00+00,SHORT,4000,0.6666666666666667,-0.004981797,-0.0876,0.0,0.0
2005-10-03 00:00:00+00,SHORT,2041,0.4361334070509408,-6.7523425E-4,-0.0868,0.0,0.0
2005-10-04 00:00:00+00,SHORT,91,1.0,0.001301787,-0.0794,0.0,0.0
2005-10-04 00:00:00+00,SHORT,93,0.46559073133151685,0.0156597,-0.0839,0.0,0.0
2005-10-04 00:00:00+00,SHORT,791,0.44143711571989197,0.0033299872,-0.083,0.0,0.0
2005-10-04 00:00:00+00,SHORT,3067,0.5065484310807038,-0.004057986,-0.0787,0.0,0.0
2005-10-04 00:00:00+00,SHORT,3179,0.6748973953658362,-0.0045165177,-0.0827,0.0,0.0
2005-10-04 00:00:00+00,SHORT,3357,0.24055465214302377,0.016597074,-0.0838,0.0,0.0
2005-10-04 00:00:00+00,SHORT,3903,0.15030394506542374,-0.0014091316,-0.082,0.0,0.0
2005-10-17 00:00:00+00,SHORT,1803,0.5358972140818143,-0.003601607,-0.0879,0.0,0.0
2005-10-19 00:00:00+00,SHORT,2247,0.0,0.0086165685,-0.0791,0.0,0.0
2005-10-19 00:00:00+00,SHORT,2681,0.0,0.0064972104,-0.085,0.0,0.0
2005-10-19 00:00:00+00,SHORT,3098,0.0,-0.002920725,-0.0831,0.0,0.0
2005-10-20 00:00:00+00,SHORT,2247,0.0,0.0024006257,-0.0787,0.0,0.0
2005-10-20 00:00:00+00,SHORT,3716,0.0,0.010279031,-0.0822,0.0,0.0
2005-10-24 00:00:00+00,SHORT,2269,0.19354463365000457,-0.0042742305,-0.0839,0.0,0.0
2005-10-24 00:00:00+00,SHORT,245,0.0,-0.004538312,-0.0806,0.0,0.0
2005-10-24 00:00:00+00,SHORT,3244,0.3687661242730742,0.0024184885,-0.0794,0.0,0.0
2005-10-24 00:00:00+00,SHORT,1250,0.1628828691532853,-0.001105544,-0.0852,0.0,0.0
2005-10-24 00:00:00+00,SHORT,3430,0.3146163285139102,0.010615457,-0.0842,0.0,0.0
2005-11-02 00:00:00+00,SHORT,1175,0.67224417878262,0.012300803,-0.0849,0.097562455,0.0
2005-11-03 00:00:00+00,SHORT,2569,0.0,0.0018019982,-0.084,0.0,0.0
2005-11-03 00:00:00+00,SHORT,576,0.4052312288576687,0.004812672,-0.0838,0.031626508,0.0
