time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,ma_cloud_diff_13_100_df007,joint_fall_flag_21_20_df042,price_drift_21_df005
2005-01-12 00:00:00+00,SHORT,4107,0.7356405050331996,-0.007824996,0.09686539,0.0,0.07576678
2005-01-21 00:00:00+00,SHORT,663,1.0,-0.0074927867,0.07488298,0.0,0.08303548
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,0.0013157954,0.031039031,0.0,0.09133155
2005-02-03 00:00:00+00,SHORT,4223,0.5832005901423709,-0.0129542705,0.03740193,0.0,0.09073676
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.0047368486,0.100525945,0.0,0.08153234
2005-02-03 00:00:00+00,SHORT,1677,0.8888888888888888,-0.012031478,0.13943581,0.0,0.08412426
2005-02-03 00:00:00+00,SHORT,1678,0.8888888888888888,-0.012028136,0.13943708,0.0,0.08411311
2005-02-04 00:00:00+00,SHORT,4223,0.6330999778392027,-0.018876554,0.042342603,0.0,0.107455015
2005-02-07 00:00:00+00,SHORT,2365,0.43011810749388096,-8.0469996E-4,0.09731508,0.0,0.069122985
2005-02-07 00:00:00+00,SHORT,2410,0.4582382412573718,-0.0020638404,0.034870047,0.0,0.08743718
2005-02-07 00:00:00+00,SHORT,3716,0.0,-0.018610677,0.013536904,0.0,0.059175257
2005-02-08 00:00:00+00,SHORT,2410,0.3768328275207129,-0.015178715,0.036398053,0.0,0.06972112
2005-02-08 00:00:00+00,SHORT,2452,0.6959857238125656,-0.012780631,0.04238592,0.0,0.0695752
2005-02-08 00:00:00+00,SHORT,1099,0.6028763699275718,-0.011388686,0.086282104,0.0,0.09827015
2005-02-10 00:00:00+00,SHORT,1832,0.34835181236263796,-0.0024116505,0.013919204,0.0,0.07132134
2005-02-11 00:00:00+00,SHORT,687,0.5364291485844503,-0.013352363,0.095563665,0.0,0.105004676
2005-02-14 00:00:00+00,SHORT,2778,1.0,-0.014053515,-2.509873E-4,0.0,0.08148148
2005-02-15 00:00:00+00,SHORT,4112,0.5262692562561426,-0.009466623,-0.0028119038,0.0,0.1194814
2005-02-15 00:00:00+00,SHORT,2716,1.0,0.001481193,0.10216235,0.0,0.07240949
2005-02-16 00:00:00+00,SHORT,2643,1.0,-0.009513338,0.08738952,0.0,0.090946436
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,-0.015922647,0.05946838,0.0,0.06345257
2005-02-18 00:00:00+00,SHORT,3791,0.5378446040268953,-0.00640018,0.014772219,0.0,0.059391234
2005-02-28 00:00:00+00,SHORT,2285,0.5616442607190459,-0.009228712,0.11367731,0.0,0.098150305
2005-02-28 00:00:00+00,SHORT,602,0.4173214120357523,-9.282699E-4,0.0962497,0.0,0.11940559
2005-03-01 00:00:00+00,SHORT,131,0.31177551826788025,-0.0029774462,0.13052268,0.0,0.1059456
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,-0.005814785,0.011455666,0.0,0.07800511
2005-03-02 00:00:00+00,SHORT,131,0.32896278869290235,-0.012415198,0.13158716,0.0,0.06793729
2005-03-02 00:00:00+00,SHORT,558,0.9333333333333333,-0.015830956,0.015186564,0.0,0.07337884
2005-03-03 00:00:00+00,SHORT,3841,1.0,-0.014452516,0.08217183,0.0,0.07253289
2005-03-04 00:00:00+00,SHORT,1184,0.661327978851013,-0.0060031093,0.06434214,0.0,0.11227667
