time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,delta_volume_21_df024,skew_weighted_10_df037
2005-01-19 00:00:00+00,SHORT,2088,0.0,-0.0038939337,710500.0,0.73717237
2005-01-20 00:00:00+00,SHORT,2088,0.0,-0.02857393,232700.0,0.81811714
2005-01-21 00:00:00+00,SHORT,3744,0.47706298928493834,-0.04657894,360889.0,0.75780576
2005-02-02 00:00:00+00,SHORT,142,0.0,-0.0427009,119200.0,0.7457237
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.0047368486,402800.0,0.80279297
2005-02-07 00:00:00+00,SHORT,2349,0.17724182476749034,-0.022483729,-28800.0,0.7788286
2005-02-07 00:00:00+00,SHORT,2365,0.43011810749388096,-8.0469996E-4,1471271.0,0.8121991
2005-02-07 00:00:00+00,SHORT,2452,0.5469566607193057,-0.006418438,306100.0,0.79621834
2005-02-07 00:00:00+00,SHORT,675,0.6189015680061758,-0.015136346,124710.0,0.69349396
2005-02-07 00:00:00+00,SHORT,1463,0.30658142804991717,-0.001948419,-164700.0,0.790216
2005-02-08 00:00:00+00,SHORT,192,0.0,-0.0508556,385425.0,0.7209981
2005-02-08 00:00:00+00,SHORT,2452,0.6959857238125656,-0.012780631,-33000.0,0.77115494
2005-02-08 00:00:00+00,SHORT,3310,0.6343557773493125,-0.04806738,-81182.0,0.7437931
2005-02-10 00:00:00+00,SHORT,2088,0.7293362415894306,-0.03189531,12300.0,0.8328166
2005-02-10 00:00:00+00,SHORT,2452,0.5640653729199218,-0.023502108,173300.0,0.694231
2005-02-11 00:00:00+00,SHORT,2088,0.6386069153239097,-0.043614324,116000.0,0.7006405
2005-02-11 00:00:00+00,SHORT,2452,0.57506392065574,-0.021573612,151800.0,0.71836036
2005-02-15 00:00:00+00,SHORT,643,0.32282551961239486,-0.024931666,1619200.0,0.78815264
2005-02-16 00:00:00+00,SHORT,270,0.7579321538535742,-0.012930081,9600.0,0.8065398
2005-02-16 00:00:00+00,SHORT,643,0.0,-0.053540125,-128900.0,0.764454
2005-02-17 00:00:00+00,SHORT,643,0.2226510651499088,-0.072587796,-176300.0,0.83877563
2005-02-17 00:00:00+00,SHORT,1360,0.5,-0.064017214,114611.0,0.72193104
2005-02-25 00:00:00+00,SHORT,309,1.0,-0.026700804,223446.0,0.83311766
2005-02-25 00:00:00+00,SHORT,712,0.7250965422838958,-0.06303033,997200.0,0.70840794
2005-03-01 00:00:00+00,SHORT,424,1.0,0.006133092,-5200.0,0.7892735
2005-03-02 00:00:00+00,SHORT,1244,0.9090909090909091,-0.04886443,801400.0,0.71662045
2005-03-08 00:00:00+00,SHORT,91,0.2661820954356924,-0.03497596,189800.0,0.8180696
2005-03-08 00:00:00+00,SHORT,869,1.0,-0.011938724,1889200.0,0.7006806
2005-03-08 00:00:00+00,SHORT,3046,0.8397319692654984,-0.008588286,786300.0,0.8104644
2005-03-08 00:00:00+00,SHORT,1184,0.6176307542600878,-0.026055947,94500.0,0.7841581
2005-03-08 00:00:00+00,SHORT,1423,1.0,-0.029812206,1050588.0,0.75078523
