time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,skew_weighted_60_df037
2005-01-12 00:00:00+00,SHORT,4107,0.7356405050331996,1.6631304E-4,0.26786643
2005-01-12 00:00:00+00,SHORT,3610,0.0,-0.0033001127,0.23465776
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,-0.0014050503,0.32417926
2005-01-18 00:00:00+00,SHORT,212,0.19484503805690592,0.0012573199,0.20692767
2005-01-18 00:00:00+00,SHORT,505,0.3114394471744454,-0.0063054645,0.17761141
2005-01-18 00:00:00+00,SHORT,3610,0.20662808787718168,0.011825029,0.34684885
2005-01-18 00:00:00+00,SHORT,1848,0.0,0.0031148137,0.3439426
2005-01-19 00:00:00+00,SHORT,1848,0.0,-0.0040687467,0.3519587
2005-01-20 00:00:00+00,SHORT,2979,1.0,-0.0033910403,0.17285249
2005-01-31 00:00:00+00,SHORT,1762,0.0,-0.00269022,0.23068643
2005-02-01 00:00:00+00,SHORT,135,1.0,-0.0040712715,-0.02350187
2005-02-01 00:00:00+00,SHORT,2479,0.0,-3.823106E-4,0.269994
2005-02-01 00:00:00+00,SHORT,2508,0.0,0.005332488,0.054601368
2005-02-01 00:00:00+00,SHORT,845,0.0,-0.0050150217,0.11196033
2005-02-01 00:00:00+00,SHORT,1762,0.0,0.008591729,0.22717778
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,0.015420122,0.09483894
2005-02-02 00:00:00+00,SHORT,1396,0.0,0.0198692,-0.058986302
2005-02-02 00:00:00+00,SHORT,1471,0.0,0.009202127,0.06714173
2005-02-02 00:00:00+00,SHORT,1677,1.0,-0.002170277,0.16983199
2005-02-02 00:00:00+00,SHORT,1678,1.0,-0.0021676838,0.16982552
2005-02-02 00:00:00+00,SHORT,1719,0.7920163121280953,-0.0016407027,0.34777316
2005-02-03 00:00:00+00,SHORT,4223,0.5832005901423709,0.0025666065,0.1334166
2005-02-03 00:00:00+00,SHORT,2640,0.0,0.015637212,0.08434984
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.019612232,0.31166714
2005-02-03 00:00:00+00,SHORT,3716,0.0,0.0036561438,0.014601235
2005-02-03 00:00:00+00,SHORT,1677,0.8888888888888888,0.0065327636,0.1729556
2005-02-03 00:00:00+00,SHORT,1678,0.8888888888888888,0.006535154,0.17294936
2005-02-04 00:00:00+00,SHORT,4223,0.6330999778392027,-0.0018227367,0.15508448
2005-02-04 00:00:00+00,SHORT,2640,1.0,0.012199827,0.10409564
2005-02-04 00:00:00+00,SHORT,694,0.40485165892327396,0.0050175115,0.34491548
2005-02-04 00:00:00+00,SHORT,3716,0.0,-0.0042127557,0.023278998
2005-02-04 00:00:00+00,SHORT,3742,0.6762588627194943,6.8419543E-4,0.08383667
2005-02-07 00:00:00+00,SHORT,2365,0.43011810749388096,0.009509775,0.33876157
