time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,dist_upper_bb_50_2.5_df055,co_fall_count_1_5_df044
2005-01-07 00:00:00+00,SHORT,2710,0.4756928243043826,-0.017918756,-0.022390531,1.0
2005-01-12 00:00:00+00,SHORT,4107,0.7356405050331996,-0.007824996,-0.025001487,1.0
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,-0.008155602,-0.018654425,1.0
2005-01-18 00:00:00+00,SHORT,212,0.19484503805690592,-0.0077448725,-0.0028958966,1.0
2005-01-18 00:00:00+00,SHORT,505,0.3114394471744454,-0.013461651,-0.06106662,1.0
2005-01-19 00:00:00+00,SHORT,4171,0.0,-0.021086495,-0.071106344,1.0
2005-01-19 00:00:00+00,SHORT,1719,0.4555826141662643,-0.016340002,-0.086891666,1.0
2005-01-19 00:00:00+00,SHORT,1848,0.0,-0.009348597,-0.037541274,1.0
2005-02-01 00:00:00+00,SHORT,2479,0.0,-0.011932986,-0.05141027,1.0
2005-02-02 00:00:00+00,SHORT,2479,0.0,-0.02098594,-0.060764816,1.0
2005-02-02 00:00:00+00,SHORT,1396,0.0,2.5795787E-4,-0.06879175,1.0
2005-02-02 00:00:00+00,SHORT,1677,1.0,-0.018260311,-0.025062177,1.0
2005-02-02 00:00:00+00,SHORT,1678,1.0,-0.018256705,-0.02506127,1.0
2005-02-03 00:00:00+00,SHORT,4223,0.5832005901423709,-0.0129542705,6.368329E-4,1.0
2005-02-03 00:00:00+00,SHORT,3716,0.0,-0.004615251,-0.032665808,1.0
2005-02-03 00:00:00+00,SHORT,1677,0.8888888888888888,-0.012031478,-0.0077456892,1.0
2005-02-03 00:00:00+00,SHORT,1678,0.8888888888888888,-0.012028136,-0.0077447044,1.0
2005-02-07 00:00:00+00,SHORT,2410,0.4582382412573718,-0.0020638404,-7.253024E-4,1.0
2005-02-07 00:00:00+00,SHORT,675,0.6189015680061758,-0.015136346,0.0049276175,1.0
2005-02-08 00:00:00+00,SHORT,1099,0.6028763699275718,-0.011388686,0.006876374,1.0
2005-02-11 00:00:00+00,SHORT,2452,0.57506392065574,-0.021573612,-0.0035350444,1.0
2005-02-11 00:00:00+00,SHORT,1761,0.7680473719945151,-0.013167381,-0.021586915,1.0
2005-02-14 00:00:00+00,SHORT,2778,1.0,-0.014053515,-0.06496732,1.0
2005-02-15 00:00:00+00,SHORT,4112,0.5262692562561426,-0.009466623,-0.11839748,1.0
2005-02-15 00:00:00+00,SHORT,2778,0.9230769230769231,-0.02038266,-0.06348858,1.0
2005-02-16 00:00:00+00,SHORT,4153,1.0,-0.010732304,-0.045679655,1.0
2005-02-16 00:00:00+00,SHORT,212,0.0,-0.020264102,-0.033502143,1.0
2005-02-16 00:00:00+00,SHORT,270,0.7579321538535742,-0.012930081,-0.09318065,1.0
2005-02-16 00:00:00+00,SHORT,3244,0.0,-0.014585154,-0.07283029,1.0
2005-02-17 00:00:00+00,SHORT,2352,0.359476250649854,-0.01457861,-0.061831467,1.0
2005-02-17 00:00:00+00,SHORT,3021,0.3535409426643509,-0.020807255,-0.055577546,1.0
2005-02-17 00:00:00+00,SHORT,995,0.48509695626580557,-0.01753103,-0.042462043,1.0
2005-02-25 00:00:00+00,SHORT,1012,0.6575197197697998,-0.020245656,-0.002651164,1.0
2005-02-28 00:00:00+00,SHORT,2285,0.5616442607190459,-0.009228712,-0.02586134,1.0
2005-02-28 00:00:00+00,SHORT,1740,0.27067994537866985,-0.017446645,-0.028211579,1.0
2005-03-01 00:00:00+00,SHORT,2297,0.0,-0.018315744,-0.10810983,1.0
2005-03-02 00:00:00+00,SHORT,558,0.9333333333333333,-0.015830956,-0.039468016,1.0
2005-03-04 00:00:00+00,SHORT,84,1.0,-0.0114017455,-0.011578803,1.0
2005-03-04 00:00:00+00,SHORT,194,0.3956311047117868,-0.00964147,-0.038948234,1.0
2005-03-04 00:00:00+00,SHORT,335,0.6292497478549502,-0.010731334,-0.031205717,1.0
2005-03-04 00:00:00+00,SHORT,2815,0.511020806788842,-0.006744866,-0.032177106,1.0
2005-03-04 00:00:00+00,SHORT,3466,0.8840482875978609,-0.015575317,-0.021489363,1.0
2005-03-04 00:00:00+00,SHORT,2041,0.7760307124604644,-0.0041487995,-0.03860038,1.0
2005-03-07 00:00:00+00,SHORT,4107,0.38939885088252435,0.00739688,-0.081505425,1.0
2005-03-07 00:00:00+00,SHORT,2119,0.3251296549859206,-0.019968536,-0.02653822,1.0
2005-03-07 00:00:00+00,SHORT,2553,0.339363682436687,-0.009589685,-0.036852352,1.0
2005-03-07 00:00:00+00,SHORT,516,0.5816076007064094,-0.010684951,-0.10579987,1.0
2005-03-07 00:00:00+00,SHORT,1288,0.30880491838340446,-0.01656645,-0.046650555,1.0
2005-03-07 00:00:00+00,SHORT,1299,0.6707059601389428,-0.0053659827,-0.07184912,1.0
2005-03-07 00:00:00+00,SHORT,1780,0.33618952275231945,-0.020328838,-0.031313248,1.0
2005-03-07 00:00:00+00,SHORT,3841,0.8888888888888888,-0.017647093,-0.03753722,1.0
2005-03-07 00:00:00+00,SHORT,1851,0.32022596222075916,-0.01319949,-0.02278726,1.0
2005-03-07 00:00:00+00,SHORT,2041,0.5581656950695252,-0.019214174,-0.053990062,1.0
2005-03-08 00:00:00+00,SHORT,4107,0.45146578723241276,-0.017308287,-0.097761795,1.0
2005-03-08 00:00:00+00,SHORT,2553,0.39549922347210165,-0.019653438,-0.040832095,1.0
