time,side,ticker_id,mv_dn_composite_labels,ma_cloud_diff_8_50_df007,dist_upper_bb_20_2.0_df055,dist_upper_bb_50_2.5_df055
2005-01-07 00:00:00+00,SHORT,2710,0.4756928243043826,0.029367706,-0.0109240655,-0.022390531
2005-01-12 00:00:00+00,SHORT,3652,0.6166825291622086,0.010884004,-0.010851396,-0.03035117
2005-01-13 00:00:00+00,SHORT,3652,0.9090909090909091,0.009930576,-0.010964053,-0.026546933
2005-01-18 00:00:00+00,SHORT,212,0.19484503805690592,0.022786228,0.0012573199,-0.0028958966
2005-01-18 00:00:00+00,SHORT,2546,0.5285211140694025,-0.040278427,-0.009523418,-0.11737903
2005-01-18 00:00:00+00,SHORT,2710,0.18567306322574043,0.024874162,-0.012021676,-0.028289758
2005-01-18 00:00:00+00,SHORT,1220,0.0,-0.006835458,-0.014555446,-0.024107108
2005-01-18 00:00:00+00,SHORT,1848,0.0,0.02737229,0.0031148137,-0.031934343
2005-01-19 00:00:00+00,SHORT,2188,0.0,0.008690572,-0.009254566,-0.03734425
2005-01-19 00:00:00+00,SHORT,212,0.29861072945404976,0.027729407,-0.009520468,-0.011465564
2005-01-19 00:00:00+00,SHORT,1650,0.3463167987723435,-0.0017878427,-0.015589944,-0.085756585
2005-01-19 00:00:00+00,SHORT,1848,0.0,0.028290173,-0.0040687467,-0.037541274
2005-01-20 00:00:00+00,SHORT,2979,1.0,0.019311069,-0.0033910403,-0.016889611
2005-01-20 00:00:00+00,SHORT,1848,0.0,0.028334443,-0.007579958,-0.039112367
2005-01-21 00:00:00+00,SHORT,2462,0.4042363621007479,0.019522589,-0.009846247,-0.021381224
2005-01-24 00:00:00+00,SHORT,2462,0.31594921338669385,0.02053588,-0.010642493,-0.022287473
2005-01-31 00:00:00+00,SHORT,68,0.0,-0.050936047,-0.014302676,-0.11362011
2005-01-31 00:00:00+00,SHORT,3114,0.08875854852954977,-0.018926866,-0.014781215,-0.08539966
2005-01-31 00:00:00+00,SHORT,3760,0.5454545454545454,-0.0055442774,-0.01017489,-0.049575713
2005-01-31 00:00:00+00,SHORT,1762,0.0,0.0043953606,-0.00269022,-0.027565842
2005-02-01 00:00:00+00,SHORT,135,1.0,1.9036137E-4,-0.0040712715,-0.045930404
2005-02-01 00:00:00+00,SHORT,2479,0.0,0.014978655,-3.823106E-4,-0.05141027
2005-02-01 00:00:00+00,SHORT,2508,0.0,-0.050427556,0.005332488,-0.14040738
2005-02-01 00:00:00+00,SHORT,2640,0.2857142857142858,-0.029637123,-0.0139655685,-0.13071516
2005-02-01 00:00:00+00,SHORT,845,0.0,-0.043452002,-0.0050150217,-0.087146655
2005-02-01 00:00:00+00,SHORT,3760,0.2310174401112161,-0.0049958923,-0.012304526,-0.050311454
2005-02-01 00:00:00+00,SHORT,1762,0.0,0.019130066,0.008591729,-0.02852263
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,0.009978474,0.015420122,0.006857014
2005-02-02 00:00:00+00,SHORT,2188,0.0,-0.013313612,-0.014702138,-0.02411741
2005-02-02 00:00:00+00,SHORT,2479,0.0,0.017926447,-0.0100457715,-0.060764816
2005-02-02 00:00:00+00,SHORT,2508,0.0,-0.044986233,-0.008555275,-0.14567201
2005-02-02 00:00:00+00,SHORT,1396,0.0,-0.029478265,0.0198692,-0.06879175
2005-02-02 00:00:00+00,SHORT,1471,0.0,-0.028452594,0.009202127,-0.0673847
2005-02-02 00:00:00+00,SHORT,1677,1.0,0.020430539,-0.002170277,-0.025062177
2005-02-02 00:00:00+00,SHORT,1678,1.0,0.02043413,-0.0021676838,-0.02506127
2005-02-02 00:00:00+00,SHORT,3760,0.36363636363636365,-0.0051260567,-0.012113081,-0.047806483
2005-02-02 00:00:00+00,SHORT,3782,0.2416082772963994,0.012598062,-0.013732148,-0.054372963
2005-02-03 00:00:00+00,SHORT,4223,0.5832005901423709,0.018086156,0.0025666065,6.368329E-4
2005-02-03 00:00:00+00,SHORT,2640,0.0,-0.020465825,0.015637212,-0.099686995
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.017389167,0.019612232,-0.011432832
2005-02-03 00:00:00+00,SHORT,1532,0.0,-0.014432055,-0.012847647,-0.06861335
2005-02-03 00:00:00+00,SHORT,3716,0.0,-0.0070980587,0.0036561438,-0.032665808
2005-02-03 00:00:00+00,SHORT,3782,0.22725114157620543,0.018024677,-0.015439035,-0.052252457
2005-02-04 00:00:00+00,SHORT,4223,0.6330999778392027,0.026705043,-0.0018227367,0.002236663
2005-02-04 00:00:00+00,SHORT,2640,1.0,-0.014860793,0.012199827,-0.09117698
2005-02-04 00:00:00+00,SHORT,3287,0.4455369539894817,0.01076391,-0.007280248,-0.031423606
2005-02-04 00:00:00+00,SHORT,1471,0.0,-0.0057783965,-0.010123399,-0.07126263
2005-02-04 00:00:00+00,SHORT,3716,0.0,-0.0010516023,-0.0042127557,-0.03659236
2005-02-04 00:00:00+00,SHORT,3742,0.6762588627194943,0.020154305,6.8419543E-4,-6.5527775E-4
2005-02-04 00:00:00+00,SHORT,3885,0.0,-0.037409734,-0.015173446,-0.08424384
2005-02-07 00:00:00+00,SHORT,157,0.6226466911898311,-0.0386413,-0.015215404,-0.10152287
2005-02-07 00:00:00+00,SHORT,2349,0.17724182476749034,0.018984353,-0.010562588,-0.007538174
2005-02-07 00:00:00+00,SHORT,2452,0.5469566607193057,0.009759035,0.0034189979,0.0010662817
2005-02-07 00:00:00+00,SHORT,2972,0.4045212862717394,0.024698354,-0.002291205,-0.014659901
2005-02-07 00:00:00+00,SHORT,1463,0.30658142804991717,-0.018599443,0.0069174934,-0.07861654
2005-02-07 00:00:00+00,SHORT,3716,0.0,0.0013244068,-0.010147638,-0.038738865
2005-02-07 00:00:00+00,SHORT,1690,0.0,0.026427144,0.007885755,-0.012398315
2005-02-07 00:00:00+00,SHORT,3742,0.6850487371929544,0.023885978,-0.0019997905,-0.0023298422
