time,side,ticker_id,mv_dn_composite_labels,price_to_sales_zscore_universe_df070,joint_fall_flag_1_20_df042,joint_fall_flag_5_5_df042,dist_upper_bb_20_2.0_df055
2005-08-04 00:00:00+00,SHORT,2430,0.19918426047399074,-0.0924,0.0,0.0,0.0087303985
2005-08-04 00:00:00+00,SHORT,3052,0.19126561857226418,-0.0886,0.0,0.0,-0.011554929
2005-08-04 00:00:00+00,SHORT,3067,0.0,-0.0896,0.0,0.0,-0.0043785055
2005-08-04 00:00:00+00,SHORT,1022,0.0,-0.0962,0.0,0.0,-0.008586736
2005-08-04 00:00:00+00,SHORT,1039,0.0,-0.0876,0.0,0.0,-0.008286516
2005-08-04 00:00:00+00,SHORT,1262,0.0,-0.0862,0.0,0.0,-0.0019244856
2005-08-04 00:00:00+00,SHORT,1462,0.4356966579726634,-0.0993,0.0,0.0,-0.012834262
2005-08-05 00:00:00+00,SHORT,2430,0.12022401192110671,-0.0932,0.0,0.0,-0.011075821
2005-08-08 00:00:00+00,SHORT,3804,0.0,-0.0831,0.0,0.0,-0.00932254
2005-08-09 00:00:00+00,SHORT,2747,0.7894314205451733,-0.0978,0.0,0.0,0.0029733446
2005-08-10 00:00:00+00,SHORT,2508,0.9024492543606908,-0.0961,0.0,0.0,4.470418E-4
2005-08-11 00:00:00+00,SHORT,2751,0.3160402844500197,-0.0822,0.0,0.0,-8.924346E-4
2005-08-11 00:00:00+00,SHORT,1012,0.0,-0.1006,0.0,0.0,-0.004482975
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,-0.1022,0.0,0.0,0.0012779027
2005-08-11 00:00:00+00,SHORT,1141,0.875,-0.0835,0.0,0.0,-0.00969543
2005-08-11 00:00:00+00,SHORT,3244,0.633626173917877,-0.0943,0.0,0.0,0.0041252584
2005-08-11 00:00:00+00,SHORT,3831,0.18206726729262862,-0.0972,0.0,0.0,0.0015949758
2005-08-12 00:00:00+00,SHORT,4107,0.43768717009466557,-0.1034,0.0,0.0,-0.0053233453
2005-08-12 00:00:00+00,SHORT,2391,0.9411764705882353,-0.0907,0.0,0.0,-0.0128636295
2005-08-12 00:00:00+00,SHORT,2508,0.6732653409727407,-0.0975,0.0,0.0,-0.008202147
2005-08-12 00:00:00+00,SHORT,2751,0.22343106911071797,-0.0824,0.0,0.0,-0.007562757
2005-08-12 00:00:00+00,SHORT,2896,0.0,-0.0896,0.0,0.0,-0.012728574
2005-08-12 00:00:00+00,SHORT,897,1.0,-0.1033,0.0,0.0,-0.009591601
2005-08-12 00:00:00+00,SHORT,3831,0.024803706860761842,-0.0976,0.0,0.0,-0.004553612
2005-08-15 00:00:00+00,SHORT,2391,0.8823529411764706,-0.0905,0.0,0.0,-0.011721072
2005-08-15 00:00:00+00,SHORT,2508,0.47650557052401893,-0.0974,0.0,0.0,-0.008388597
2005-08-15 00:00:00+00,SHORT,2742,0.0,-0.0892,0.0,0.0,0.023193095
2005-08-15 00:00:00+00,SHORT,1141,0.75,-0.0836,0.0,0.0,-0.009258134
2005-08-15 00:00:00+00,SHORT,1303,0.513771775337734,-0.1036,0.0,0.0,0.0021527077
2005-08-15 00:00:00+00,SHORT,3357,0.26874748169933077,-0.0906,0.0,0.0,-0.008312394
2005-08-15 00:00:00+00,SHORT,1404,0.0,-0.09,0.0,0.0,-0.0048844083
2005-08-15 00:00:00+00,SHORT,4000,0.0,-0.104,0.0,0.0,-0.010514059
2005-08-16 00:00:00+00,SHORT,2742,0.0,-0.0894,0.0,0.0,-0.006876973
2005-08-16 00:00:00+00,SHORT,1610,0.0,-0.0869,0.0,0.0,-0.0018292244
2005-08-16 00:00:00+00,SHORT,3686,0.5541877500920666,-0.0968,0.0,0.0,-0.005902038
2005-08-17 00:00:00+00,SHORT,2305,0.0,-0.0842,0.0,0.0,-0.011835299
2005-08-25 00:00:00+00,SHORT,3811,0.20328032297303222,-0.0971,0.0,0.0,-0.0126305
2005-08-26 00:00:00+00,SHORT,3811,0.2142379368099149,-0.0968,0.0,0.0,-0.010198194
2005-08-30 00:00:00+00,SHORT,3067,0.0,-0.0941,0.0,0.0,-0.012590608
2005-08-31 00:00:00+00,SHORT,3287,0.03450481287875588,-0.0957,0.0,0.0,-0.0067335097
2005-09-01 00:00:00+00,SHORT,870,1.0,-0.0853,0.0,0.0,0.0012869909
2005-09-01 00:00:00+00,SHORT,1210,0.0,-0.1009,0.0,0.0,-0.0055407532
2005-09-02 00:00:00+00,SHORT,69,0.0,-0.1069,0.0,0.0,0.0026318496
2005-09-02 00:00:00+00,SHORT,1668,0.332099787628739,-0.0984,0.0,0.0,0.0056138923
2005-09-06 00:00:00+00,SHORT,69,0.0,-0.1071,0.0,0.0,-0.0074268417
2005-09-07 00:00:00+00,SHORT,1022,0.3445755270648829,-0.1022,0.0,0.0,-0.0013826521
2005-09-07 00:00:00+00,SHORT,3686,0.0,-0.0998,0.0,0.0,-0.00845427
2005-09-08 00:00:00+00,SHORT,2095,0.5055051885223582,-0.0999,0.0,0.0,0.021954818
2005-09-08 00:00:00+00,SHORT,3612,0.8358917926016469,-0.0993,0.0,0.0,-0.008518084
2005-09-09 00:00:00+00,SHORT,2248,0.6399212219856023,-0.0973,0.0,0.0,-0.0022392406
2005-09-09 00:00:00+00,SHORT,2440,0.46604191243343696,-0.095,0.0,0.0,0.00611981
2005-09-09 00:00:00+00,SHORT,675,0.39570095352302104,-0.1087,0.0,0.0,-0.0011007026
2005-09-09 00:00:00+00,SHORT,1051,0.28908609003810826,-0.0929,0.0,0.0,2.7629986E-4
2005-09-09 00:00:00+00,SHORT,3612,0.8018978005971031,-0.0999,0.0,0.0,-0.011380388
2005-09-09 00:00:00+00,SHORT,3686,0.8001636388888144,-0.1,0.0,0.0,-0.0021562027
2005-09-12 00:00:00+00,SHORT,191,0.0,-0.0933,0.0,0.0,-1.680119E-4
2005-09-12 00:00:00+00,SHORT,2291,1.0,-0.0991,0.0,0.0,0.0046070735
2005-09-12 00:00:00+00,SHORT,2440,0.3092192967401994,-0.093,0.0,0.0,-0.005000542
2005-09-12 00:00:00+00,SHORT,443,0.5,-0.1,0.0,0.0,-0.0019077316
2005-09-12 00:00:00+00,SHORT,1092,1.0,-0.0961,0.0,0.0,-0.00629423
2005-09-12 00:00:00+00,SHORT,3244,0.13348951359437625,-0.0937,0.0,0.0,-0.0014035526
2005-09-12 00:00:00+00,SHORT,3703,0.11223958153356524,-0.1011,0.0,0.0,0.0063895574
2005-09-13 00:00:00+00,SHORT,2305,0.12273266381768295,-0.0832,0.0,0.0,-0.011048158
2005-09-13 00:00:00+00,SHORT,1330,1.0,-0.1013,0.0,0.0,-0.0070844498
2005-09-13 00:00:00+00,SHORT,3596,0.4389152520376686,-0.0927,0.0,0.0,-0.0017447066
2005-09-13 00:00:00+00,SHORT,1731,0.3160811991771269,-0.0997,0.0,0.0,-0.01038124
2005-09-13 00:00:00+00,SHORT,3824,0.6215049087066531,-0.1068,0.0,0.0,-0.0017888383
2005-09-14 00:00:00+00,SHORT,3742,0.6426289231429544,-0.1024,0.0,0.0,-0.008544637
2005-09-15 00:00:00+00,SHORT,3824,0.5750978201213767,-0.1068,0.0,0.0,-0.00610864
2005-09-16 00:00:00+00,SHORT,1011,0.7272727272727273,-0.1029,0.0,0.0,-0.009694217
2005-09-16 00:00:00+00,SHORT,3271,0.5290549303387385,-0.0925,0.0,0.0,-0.0041456292
2005-09-16 00:00:00+00,SHORT,3652,0.5908918599139246,-0.1011,0.0,0.0,-0.004075998
