time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_20_df042,joint_fall_flag_1_10_df042,dist_upper_bb_50_2.5_df055
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,0.0,0.0,-0.018654425
2005-01-18 00:00:00+00,SHORT,212,0.19484503805690592,0.0,0.0,-0.0028958966
2005-01-18 00:00:00+00,SHORT,1064,0.5602941628795357,0.0,0.0,-0.008043973
2005-01-18 00:00:00+00,SHORT,3244,0.4041186703910989,0.0,0.0,-0.016583044
2005-01-19 00:00:00+00,SHORT,2088,0.0,0.0,0.0,-0.0016010047
2005-01-19 00:00:00+00,SHORT,212,0.29861072945404976,0.0,0.0,-0.011465564
2005-01-19 00:00:00+00,SHORT,1149,0.5720953070605285,0.0,0.0,-0.010491851
2005-01-20 00:00:00+00,SHORT,2979,1.0,0.0,0.0,-0.016889611
2005-01-21 00:00:00+00,SHORT,663,1.0,0.0,0.0,-0.019813944
2005-01-27 00:00:00+00,SHORT,1740,0.0,0.0,0.0,0.0010959319
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,0.0,0.0,0.006857014
2005-02-02 00:00:00+00,SHORT,3236,0.06267807669039374,0.0,0.0,-0.007772858
2005-02-03 00:00:00+00,SHORT,4223,0.5832005901423709,0.0,0.0,6.368329E-4
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.0,0.0,-0.011432832
2005-02-03 00:00:00+00,SHORT,1677,0.8888888888888888,0.0,0.0,-0.0077456892
2005-02-03 00:00:00+00,SHORT,1678,0.8888888888888888,0.0,0.0,-0.0077447044
2005-02-04 00:00:00+00,SHORT,91,1.0,0.0,0.0,-0.012544557
2005-02-04 00:00:00+00,SHORT,4223,0.6330999778392027,0.0,0.0,0.002236663
2005-02-04 00:00:00+00,SHORT,3742,0.6762588627194943,0.0,0.0,-6.5527775E-4
2005-02-07 00:00:00+00,SHORT,2349,0.17724182476749034,0.0,0.0,-0.007538174
2005-02-07 00:00:00+00,SHORT,2365,0.43011810749388096,0.0,0.0,-0.014791585
2005-02-07 00:00:00+00,SHORT,2410,0.4582382412573718,0.0,0.0,-7.253024E-4
2005-02-07 00:00:00+00,SHORT,2452,0.5469566607193057,0.0,0.0,0.0010662817
2005-02-07 00:00:00+00,SHORT,2548,1.0,0.0,0.0,-0.012685651
2005-02-07 00:00:00+00,SHORT,675,0.6189015680061758,0.0,0.0,0.0049276175
2005-02-07 00:00:00+00,SHORT,2972,0.4045212862717394,0.0,0.0,-0.014659901
2005-02-07 00:00:00+00,SHORT,1690,0.0,0.0,0.0,-0.012398315
2005-02-07 00:00:00+00,SHORT,3742,0.6850487371929544,0.0,0.0,-0.0023298422
2005-02-08 00:00:00+00,SHORT,192,0.0,0.0,0.0,-0.010241983
2005-02-08 00:00:00+00,SHORT,2349,0.29018255257133135,0.0,0.0,-0.018920299
2005-02-08 00:00:00+00,SHORT,2367,0.6819721846116832,0.0,0.0,-0.002366387
