time,side,ticker_id,mv_dn_composite_labels,price_drift_1_df005,dist_upper_bb_50_2.5_df055,price_drift_5_df005,joint_fall_flag_5_5_df042
2005-01-07 00:00:00+00,SHORT,2710,0.4756928243043826,0.0013732491,-0.022390531,0.0074606244,0.0
2005-01-14 00:00:00+00,SHORT,3531,0.4245699214183346,0.009726132,-0.018654425,0.032182105,0.0
2005-01-18 00:00:00+00,SHORT,2349,0.10524064958006757,-0.0068528354,-0.020346327,0.006248915,0.0
2005-01-18 00:00:00+00,SHORT,1064,0.5602941628795357,0.004347826,-0.008043973,0.06845514,0.0
2005-01-18 00:00:00+00,SHORT,3244,0.4041186703910989,0.0,-0.016583044,0.027560975,0.0
2005-01-19 00:00:00+00,SHORT,212,0.29861072945404976,-0.006842105,-0.011465564,0.008551577,0.0
2005-01-19 00:00:00+00,SHORT,1149,0.5720953070605285,-0.014275437,-0.010491851,0.028002491,0.0
2005-01-20 00:00:00+00,SHORT,212,0.06759154046947373,-0.010598834,-0.022134623,0.007011866,0.0
2005-01-21 00:00:00+00,SHORT,2462,0.4042363621007479,-0.005888377,-0.021381224,0.021036023,0.0
2005-01-21 00:00:00+00,SHORT,663,1.0,0.0030092585,-0.019813944,0.028808856,0.0
2005-01-24 00:00:00+00,SHORT,2462,0.31594921338669385,2.5753284E-4,-0.022287473,0.021298975,0.0
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,-0.008811153,0.006857014,0.069505565,0.0
2005-02-02 00:00:00+00,SHORT,3236,0.06267807669039374,-0.013949904,-0.007772858,0.025653359,0.0
2005-02-04 00:00:00+00,SHORT,91,1.0,8.4222347E-4,-0.012544557,0.0073467083,0.0
2005-02-04 00:00:00+00,SHORT,3742,0.6762588627194943,0.0019379845,-6.5527775E-4,0.040660225,0.0
2005-02-07 00:00:00+00,SHORT,2349,0.17724182476749034,0.008700103,-0.007538174,0.041021127,0.0
2005-02-07 00:00:00+00,SHORT,2452,0.5469566607193057,0.0042112083,0.0010662817,0.05072873,0.0
2005-02-07 00:00:00+00,SHORT,2972,0.4045212862717394,0.00747889,-0.014659901,0.029078364,0.0
2005-02-07 00:00:00+00,SHORT,3310,0.7379800374599258,-0.007262971,0.015886405,0.0508263,0.0
2005-02-07 00:00:00+00,SHORT,1690,0.0,0.0010031767,-0.012398315,0.045034036,0.0
2005-02-07 00:00:00+00,SHORT,3742,0.6850487371929544,0.0015473887,-0.0023298422,0.033945687,0.0
2005-02-08 00:00:00+00,SHORT,192,0.0,0.0022848323,-0.010241983,0.032162093,0.0
2005-02-08 00:00:00+00,SHORT,2349,0.29018255257133135,-0.009808896,-0.018920299,0.01543531,0.0
2005-02-08 00:00:00+00,SHORT,2367,0.6819721846116832,0.0,-0.002366387,0.022090046,0.0
2005-02-08 00:00:00+00,SHORT,2410,0.3768328275207129,-0.0073937154,-0.012734287,0.015122874,0.0
2005-02-08 00:00:00+00,SHORT,2452,0.6959857238125656,0.0017204301,-8.9812966E-4,0.03453637,0.0
2005-02-08 00:00:00+00,SHORT,1099,0.6028763699275718,-0.0013386881,0.006876374,0.036111113,0.0
2005-02-08 00:00:00+00,SHORT,3310,0.6343557773493125,0.008940555,0.011743857,0.06797377,0.0
2005-02-08 00:00:00+00,SHORT,3652,0.2025801875469939,-0.006815203,-0.01670118,0.010265298,0.0
2005-02-08 00:00:00+00,SHORT,1690,0.0,0.0013362285,-0.014962999,0.05620155,0.0
2005-02-09 00:00:00+00,SHORT,2452,0.5600750950457013,-0.01459854,-0.016924527,0.01864181,0.0
2005-02-10 00:00:00+00,SHORT,2452,0.5640653729199218,0.01198257,-0.007905408,0.016411379,0.0
2005-02-10 00:00:00+00,SHORT,1099,0.3706356566914699,0.0,-0.0149386255,0.019097222,0.0
2005-02-11 00:00:00+00,SHORT,2452,0.57506392065574,0.00818084,-0.0035350444,0.011337869,0.0
