time,side,ticker_id,mv_dn_composite_labels,ev_ebitda_minmax_sector_df077,dist_upper_bb_20_2.5_df055
2005-01-10 00:00:00+00,SHORT,1807,1.0,0.2292,-0.014795617
2005-01-12 00:00:00+00,SHORT,3652,0.6166825291622086,0.7549,-0.018179085
2005-01-13 00:00:00+00,SHORT,3652,0.9090909090909091,0.7536,-0.01861644
2005-01-14 00:00:00+00,SHORT,2504,1.0,0.5458,-0.01257533
2005-01-18 00:00:00+00,SHORT,505,0.3114394471744454,0.3059,-0.013461651
2005-01-18 00:00:00+00,SHORT,1848,0.0,0.5611,-0.0018389148
2005-01-19 00:00:00+00,SHORT,2088,0.0,0.2175,-0.0038939337
2005-01-19 00:00:00+00,SHORT,1848,0.0,0.547,-0.009348597
2005-01-20 00:00:00+00,SHORT,2979,1.0,0.7555,-0.008568499
2005-01-20 00:00:00+00,SHORT,1848,0.0,0.5508,-0.013101431
2005-01-21 00:00:00+00,SHORT,2462,0.4042363621007479,0.7376,-0.015298993
2005-01-24 00:00:00+00,SHORT,2462,0.31594921338669385,0.7404,-0.016241914
2005-01-31 00:00:00+00,SHORT,3760,0.5454545454545454,0.2351,-0.017453318
2005-02-01 00:00:00+00,SHORT,135,1.0,0.6887,-0.018457385
2005-02-01 00:00:00+00,SHORT,2508,0.0,0.1598,-0.007984999
2005-02-02 00:00:00+00,SHORT,4223,0.7370724546117081,0.2509,0.0013157954
2005-02-02 00:00:00+00,SHORT,1471,0.0,0.4143,-0.004645282
2005-02-03 00:00:00+00,SHORT,4223,0.5832005901423709,0.2465,-0.0129542705
2005-02-03 00:00:00+00,SHORT,664,0.625903277521113,0.2359,0.0047368486
2005-02-03 00:00:00+00,SHORT,3716,0.0,0.7211,-0.004615251
2005-02-04 00:00:00+00,SHORT,4223,0.6330999778392027,0.2477,-0.018876554
2005-02-04 00:00:00+00,SHORT,694,0.40485165892327396,0.2171,-0.013269159
2005-02-04 00:00:00+00,SHORT,3716,0.0,0.7201,-0.012557676
2005-02-07 00:00:00+00,SHORT,2365,0.43011810749388096,0.1495,-8.0469996E-4
2005-02-07 00:00:00+00,SHORT,2410,0.4582382412573718,0.2439,-0.0020638404
2005-02-07 00:00:00+00,SHORT,3716,0.0,0.7203,-0.018610677
2005-02-08 00:00:00+00,SHORT,2365,0.3548496757080196,0.1491,-0.018003443
2005-02-08 00:00:00+00,SHORT,2410,0.3768328275207129,0.2408,-0.015178715
2005-02-08 00:00:00+00,SHORT,1114,0.20596401199112765,0.6732,-0.017197289
2005-02-09 00:00:00+00,SHORT,1303,0.8390741663926007,0.5118,-4.1042877E-4
2005-02-14 00:00:00+00,SHORT,2778,1.0,0.4943,-0.014053515
2005-02-15 00:00:00+00,SHORT,4112,0.5262692562561426,0.539,-0.009466623
2005-02-16 00:00:00+00,SHORT,4153,1.0,0.5526,-0.010732304
2005-02-16 00:00:00+00,SHORT,270,0.7579321538535742,0.3343,-0.012930081
2005-02-17 00:00:00+00,SHORT,2352,0.359476250649854,0.3638,-0.01457861
2005-02-17 00:00:00+00,SHORT,4089,0.5788111257695832,0.1886,-0.01882122
2005-02-25 00:00:00+00,SHORT,3595,1.0,0.387,-0.0074286093
2005-02-28 00:00:00+00,SHORT,2285,0.5616442607190459,0.5862,-0.009228712
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,0.2485,-0.005814785
2005-03-02 00:00:00+00,SHORT,558,0.9333333333333333,0.2496,-0.015830956
2005-03-04 00:00:00+00,SHORT,1826,0.508428650487693,0.3823,-0.015931444
2005-03-07 00:00:00+00,SHORT,3355,1.0,0.2321,-0.0037430474
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,0.4575,-0.0100174565
2005-03-08 00:00:00+00,SHORT,898,1.0,0.5676,-0.016483834
