time,side,ticker_id,mv_dn_composite_labels,normalized_6m_df004,skew_weighted_10_df037,weighted_neg_sum_20_df036,dist_upper_bb_50_2.0_df055
2005-07-11 00:00:00+00,SHORT,3443,0.4475376904689488,0.5,0.85617983,0.053671375,0.037515134
2005-07-11 00:00:00+00,SHORT,1762,0.0,0.42857143,0.7604466,0.07086996,0.013400874
2005-07-12 00:00:00+00,SHORT,28,1.0,0.5,0.40423304,0.030529842,0.0021865978
2005-07-12 00:00:00+00,SHORT,984,0.0,0.46153846,0.60919785,0.08355298,0.0010904312
2005-07-12 00:00:00+00,SHORT,1298,0.0,0.3243243,0.7917983,0.06156611,0.022905625
2005-07-12 00:00:00+00,SHORT,2028,0.0,0.3529412,0.83492297,0.11553083,0.008808823
2005-07-13 00:00:00+00,SHORT,1298,0.0,0.3243243,0.7119672,0.06691847,0.0068679783
2005-07-15 00:00:00+00,SHORT,3825,0.5423765053031164,0.3939394,0.8370872,0.08824011,0.010236145
2005-07-19 00:00:00+00,SHORT,2686,0.9256075021455707,0.38297874,0.73140657,0.06377238,0.008641488
2005-07-19 00:00:00+00,SHORT,1667,1.0,0.17391305,0.81149936,0.07164398,0.0069107437
2005-07-20 00:00:00+00,SHORT,858,0.6153846153846154,0.45454547,0.44583258,0.11470531,0.007486581
2005-07-20 00:00:00+00,SHORT,937,0.45469897138321,0.4848485,0.6292572,0.05580423,0.028412543
2005-07-21 00:00:00+00,SHORT,937,0.3677515522596851,0.4375,0.61554486,0.0577014,0.01997015
2005-07-21 00:00:00+00,SHORT,1615,0.0,0.36842105,0.7124059,0.15191872,0.008236162
2005-07-21 00:00:00+00,SHORT,3794,1.0,0.5,0.60991114,0.08197228,0.024018219
2005-07-22 00:00:00+00,SHORT,937,0.341928545424992,0.47058824,0.2599755,0.06967631,0.0034074474
2005-07-22 00:00:00+00,SHORT,3794,0.8,0.44117647,0.5470961,0.061099187,0.0172794
2005-07-25 00:00:00+00,SHORT,3794,0.6,0.45454547,0.55334896,0.061099187,0.019662976
2005-07-26 00:00:00+00,SHORT,3794,0.3999999999999999,0.45454547,0.52093524,0.06429992,0.011678958
2005-07-28 00:00:00+00,SHORT,3273,1.0,0.2631579,0.36245993,0.06226287,0.01282815
2005-07-28 00:00:00+00,SHORT,1700,0.0,0.27083334,0.6328659,0.07581743,0.027357426
2005-07-29 00:00:00+00,SHORT,1514,1.0,0.36842105,0.74380046,0.052265406,0.0066798357
2005-07-29 00:00:00+00,SHORT,1700,0.0,0.26923078,0.53368485,0.07581743,0.020269623
2005-07-29 00:00:00+00,SHORT,1817,0.0,0.24242425,0.37493172,0.22662796,0.053804416
2005-07-29 00:00:00+00,SHORT,4013,0.41824211911162834,0.2857143,0.7187736,0.040368598,0.015173869
2005-08-01 00:00:00+00,SHORT,1700,0.0,0.26923078,0.62900037,0.07581743,0.012970356
